Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,417","4,896","3,435","2,288","3,102","3,874","3,322","1,864","2,641","2,405","1,371"
Market Cap Growth,-5.42%,42.52%,50.12%,-26.23%,-19.93%,16.63%,78.21%,-29.42%,9.83%,75.38%,-16.99%
Enterprise Value,"4,355","5,203","3,688","2,595","3,448","4,719","4,257","2,802","2,846","2,620","1,672"
Last Close Price,98.46,108.58,75.51,50.65,68.52,95.90,83.95,47.29,68.20,62.85,36.18
PE Ratio,17.67,20.48,35.44,-,-,-,67.78,-,46.09,75.69,108.15
Forward PE,14.86,23.53,25.73,44.54,39.68,48.26,25.05,14.32,19.37,22.65,16.73
PS Ratio,1.86,2.01,1.58,1.27,1.57,1.78,1.33,0.78,1.31,1.19,0.73
PB Ratio,2.66,3.47,2.58,1.92,2.72,4.61,4.15,2.54,3.28,3.70,2.20
P/TBV Ratio,7.68,16.58,16.19,35.31,-,-,-,-,19.50,22.48,39.51
P/FCF Ratio,12.93,23.58,35.02,481.44,25.83,61.20,29.64,37.43,18.62,33.26,46.59
P/OCF Ratio,12.05,20.56,27.49,93.40,20.04,35.38,19.22,16.98,13.80,20.76,18.69
PEG Ratio,0.69,1.25,1.25,1.25,3.31,4.83,1.43,0.81,0.92,4.87,1.58
EV/Sales Ratio,1.81,2.13,1.70,1.45,1.74,2.17,1.70,1.18,1.41,1.30,0.89
EV/EBITDA Ratio,12.44,16.19,16.25,30.67,28.49,26.25,17.05,11.74,12.87,12.28,14.75
EV/EBIT Ratio,14.59,19.62,21.55,145.39,93.50,57.23,31.46,24.12,18.03,18.05,44.73
EV/FCF Ratio,12.74,25.06,37.60,546.03,28.71,74.55,37.98,56.27,20.06,36.23,56.82
Debt / Equity Ratio,0.74,0.91,0.38,0.43,0.46,1.20,1.27,1.39,0.76,0.47,0.60
Debt / EBITDA Ratio,3.35,3.69,2.01,4.76,3.63,4.92,3.70,4.26,2.78,1.43,3.31
Debt / FCF Ratio,3.72,6.18,5.12,107.90,4.36,15.89,9.09,20.41,4.33,4.23,12.74
Asset Turnover,0.68,0.81,0.87,0.75,0.79,0.82,0.94,1.01,1.10,1.24,1.10
Inventory Turnover,5.77,5.78,5.70,6.46,8.09,7.66,7.80,7.94,7.52,7.64,7.70
Quick Ratio,1.72,2.65,1.13,0.97,0.92,1.05,0.93,0.86,1.13,1.17,0.97
Current Ratio,2.17,3.44,1.95,1.66,1.50,1.69,1.49,1.37,1.67,1.77,1.59
Return on Equity (ROE),16.80%,17.58%,7.79%,-0.82%,-7.90%,-6.93%,6.83%,-12.55%,8.28%,5.51%,2.27%
Return on Assets (ROA),5.27%,5.51%,4.29%,0.47%,0.92%,1.94%,3.18%,3.08%,5.36%,5.57%,1.36%
Return on Capital (ROIC),6.64%,7.32%,6.05%,0.66%,1.31%,2.81%,4.74%,4.58%,8.30%,9.29%,2.31%
Return on Capital Employed (ROCE),11.00%,9.20%,8.30%,0.90%,1.90%,4.00%,6.60%,5.90%,9.90%,12.50%,3.10%
Earnings Yield,5.83%,4.88%,2.82%,-0.43%,-2.62%,-1.50%,1.47%,-5.33%,2.17%,1.32%,0.92%
FCF Yield,7.74%,4.24%,2.85%,0.21%,3.87%,1.63%,3.37%,2.67%,5.37%,3.01%,2.15%
Buyback Yield / Dilution,-0.27%,-0.77%,-1.63%,-1.81%,-10.06%,-0.68%,-1.88%,0.36%,-1.93%,-0.36%,1.73%
