Period Ending,"Oct '25Oct 4, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Cash & Equivalents,215.71,227.15,529.4,555.54,362.79,188.13,364.18,320.63,392.41,423.91
Short-Term Investments,295,350,230,220,377,342,229,293,216,124
Cash & Short-Term Investments,510.71,577.15,759.4,775.54,739.79,530.13,593.18,613.63,608.41,547.91
Cash Growth,-11.51%,-24.00%,-2.08%,4.83%,39.55%,-10.63%,-3.33%,0.86%,11.04%,9.89%
Receivables,183.54,193.91,168.78,335.64,421.19,198.64,195.83,243.37,198.48,130.46
Inventory,160.23,177.74,217.3,184.99,167.32,111.81,89.31,115.19,122.02,87.3
Prepaid Expenses,47.06,44.64,43.57,35.88,23.59,19.06,15.43,14.56,22.59,15.29
Restricted Cash,-,-,-,-,-,-,-,0.52,0.53,-
Other Current Assets,-,1.52,-,-,-,0.56,-,-,1.35,-
Total Current Assets,901.54,994.95,"1,189","1,332","1,352",860.2,893.75,987.27,953.38,780.94
"Property, Plant & Equipment",91.19,100.75,157.2,122.68,109.57,81.84,72.37,76.07,67.76,50.34
Long-Term Investments,16.98,3.14,0.72,5.4,6.39,7.54,6.25,1.37,1.5,-
Goodwill,69.52,89.75,88.67,68.1,72.95,56.7,55.69,56.55,56.32,81.27
Other Intangible Assets,5.6,25.24,29.36,31.94,42.75,37.97,42.65,52.87,62.32,50.81
Long-Term Deferred Tax Assets,16.11,17.9,31.55,25.57,15.72,8.15,6.41,9.02,27.77,16.82
Other Long-Term Assets,3.41,8.43,3.22,2.87,2.36,2.19,2.49,2.59,2.06,2.26
Total Assets,"1,104","1,240","1,500","1,589","1,602","1,055","1,080","1,186","1,171",982.44
Accounts Payable,57.18,58.85,49.3,67.31,154.64,57.69,36.71,48.53,51.35,41.81
Accrued Expenses,97.79,36,37.19,55.3,72.75,40.4,21.71,51.47,56.9,36.42
Short-Term Debt,-,-,-,-,-,-,60.9,-,-,-
Current Portion of Leases,6.18,7.72,6.57,6.77,4.9,5.9,-,-,-,-
Current Income Taxes Payable,27.03,26.43,22.67,40.06,30.77,17.54,12.49,19.57,16.78,12.83
Other Current Liabilities,-,54.8,65.82,79.24,88.82,36.36,42.82,54.51,67.95,34.9
Total Current Liabilities,188.17,183.79,181.55,248.68,351.88,157.89,174.64,174.08,192.98,125.96
Long-Term Debt,-,-,-,-,-,-,14.21,15.19,16.07,16.7
Long-Term Leases,32.37,33.25,41.84,34.93,38.08,18.33,-,-,-,-
Long-Term Deferred Tax Liabilities,35.53,34.59,37.26,34.04,32.83,33.01,32.05,25.59,27.15,27.33
Other Long-Term Liabilities,26.78,44.52,64.56,76.3,83.61,87.35,89.65,90.68,14.87,12.93
Total Liabilities,282.85,296.15,325.22,393.95,506.39,296.57,310.55,305.53,251.08,182.92
Common Stock,620.04,596.7,577.73,561.68,550.12,539.21,533.59,519.24,506.52,498.68
Retained Earnings,"1,200","1,243","1,356","1,342",948.55,616.12,594.63,613.53,569.08,442.98
Treasury Stock,-974.2,-881.83,-737.21,-675.8,-400.41,-394.82,-349.21,-248.66,-157.6,-139.41
Comprehensive Income & Other,-23.85,-13.42,-21.76,-32.9,-3.02,-2.52,-9.94,-3.9,2.04,-2.73
Shareholders' Equity,821.49,944.01,"1,175","1,195","1,095",757.99,769.06,880.21,920.03,799.52
Total Liabilities & Equity,"1,104","1,240","1,500","1,589","1,602","1,055","1,080","1,186","1,171",982.44
Total Debt,38.55,40.96,48.41,41.69,42.99,24.23,75.11,15.19,16.07,16.7
Net Cash (Debt),472.16,536.18,710.99,733.84,696.8,505.9,518.07,598.44,592.34,531.21
Net Cash Growth,-11.94%,-24.59%,-3.11%,5.32%,37.73%,-2.35%,-13.43%,1.03%,11.51%,10.18%
Net Cash Per Share,8.88,9.64,12.35,11.99,10.97,7.98,7.86,8.50,8.22,7.50
Filing Date Shares Outstanding,52.09,53.87,56.72,57.02,62.42,62.03,63.03,67.17,70.6,70.88
Total Common Shares Outstanding,52.09,53.85,56.31,57.13,61.93,61.56,63.17,67.14,70.2,70.42
Working Capital,713.36,811.16,"1,008","1,083","1,000",702.3,719.11,813.2,760.4,654.98
Book Value Per Share,15.77,17.53,20.86,20.91,17.68,12.31,12.17,13.11,13.11,11.35
Tangible Book Value,746.37,829.02,"1,057","1,095",979.54,663.33,670.72,770.79,801.4,667.44
Tangible Book Value Per Share,14.33,15.39,18.76,19.16,15.82,10.78,10.62,11.48,11.42,9.48
Land,-,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,-
Buildings,-,23.95,23.11,22.78,23.31,22.83,41.96,41.62,50.91,34.47
Machinery,-,145.1,133.18,128.37,128.94,119.48,107.77,104.14,94.84,87.71
Construction In Progress,-,10.06,11.1,25,9.56,7.11,6.51,6.94,8,-
Leasehold Improvements,-,84.74,82.93,32.4,30.05,23.11,24.44,23.56,9.88,19.96
Order Backlog,-,148.59,423.82,-,-,-,-,-,-,87.2
