Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,597.97,423.24,270.26,220.18,38.54,-,-,-,-,-
Revenue Growth (YoY),55.68%,56.61%,22.75%,471.24%,-,-,-,-,-,-
Cost of Revenue,282.33,189.22,89.93,46.97,9.94,-,-,-,-,-
Gross Profit,315.65,234.02,180.33,173.21,28.61,-,-,-,-,-
"Selling, General & Admin",180.03,168.01,129.43,97.95,85.95,45.32,34.96,21.56,9.45,6.85
Research & Development,97.46,111.62,76.1,65.49,99.3,112.04,135,86.6,55.96,17.15
Operating Expenses,277.49,279.63,205.52,163.44,185.25,157.36,169.96,108.16,65.4,24
Operating Income,38.15,-45.62,-25.2,9.77,-156.64,-157.36,-169.96,-108.16,-65.4,-24
Interest & Investment Income,-,-,-,-,-,-,6.05,4.72,0.53,0.07
Other Non Operating Income (Expenses),10.47,9.46,8.54,1.25,0.1,1.13,-,-,-,-
Pretax Income,48.62,-36.15,-16.65,11.03,-156.54,-156.23,-163.91,-103.44,-64.87,-23.94
Income Tax Expense,12.7,7.04,-30.74,-172.34,1.39,5.15,-2.05,-0.21,0,0.04
Net Income,35.92,-43.19,14.08,183.36,-157.92,-161.38,-161.87,-103.23,-64.87,-23.97
Net Income to Common,35.92,-43.19,14.08,183.36,-157.92,-161.38,-161.87,-103.23,-64.87,-23.97
Net Income Growth,-,-,-92.32%,-,-,-,-,-,-,-
Shares Outstanding (Basic),73,71,70,69,69,62,54,30,2,0
Shares Outstanding (Diluted),77,71,72,70,69,62,54,30,2,0
Shares Change (YoY),7.99%,-0.69%,2.13%,2.69%,10.89%,14.42%,82.92%,1532.68%,591.55%,-
EPS (Basic),0.49,-0.60,0.20,2.64,-2.30,-2.61,-2.99,-3.49,-35.85,-91.61
EPS (Diluted),0.47,-0.60,0.20,2.60,-2.30,-2.61,-2.99,-3.49,-35.85,-91.61
EPS Growth,-,-,-92.31%,-,-,-,-,-,-,-
Free Cash Flow,101.73,25.41,13.17,5.7,-126.71,-136.82,-161.57,-86.3,-50.29,-21.87
Free Cash Flow Per Share,1.33,0.36,0.18,0.08,-1.85,-2.21,-2.99,-2.92,-27.79,-83.57
Gross Margin,52.79%,55.29%,66.72%,78.67%,74.22%,-,-,-,-,-
Operating Margin,6.38%,-10.78%,-9.32%,4.44%,-406.38%,-,-,-,-,-
Profit Margin,6.01%,-10.21%,5.21%,83.28%,-409.72%,-,-,-,-,-
Free Cash Flow Margin,17.01%,6.00%,4.87%,2.59%,-328.75%,-,-,-,-,-
EBITDA,39.64,-43.92,-22.86,12.18,-154.28,-154.96,-167.9,-107.87,-65.37,-23.98
EBITDA Margin,6.63%,-10.38%,-8.46%,5.53%,-,-,-,-,-,-
D&A For EBITDA,1.49,1.7,2.34,2.4,2.36,2.41,2.07,0.29,0.03,0.02
EBIT,38.15,-45.62,-25.2,9.77,-156.64,-157.36,-169.96,-108.16,-65.4,-24
EBIT Margin,6.38%,-10.78%,-9.32%,4.44%,-,-,-,-,-,-
Revenue as Reported,597.97,423.24,270.26,220.18,38.54,-,-,-,-,-
Advertising Expenses,-,11.43,9.07,5.73,-,-,-,-,-,-
