Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Market Capitalization,"7,444","10,676","11,768","11,296","28,446","37,967",Upgrade
Market Cap Growth,-32.34%,-9.28%,4.18%,-60.29%,-25.08%,66.57%,Upgrade
Enterprise Value,"9,363","14,574","15,850","15,175","32,472","38,886",Upgrade
Last Close Price,51.73,69.66,75.55,71.06,150.73,147.62,Upgrade
PE Ratio,9.45,12.29,17.11,8.99,38.86,95.40,Upgrade
PS Ratio,7.33,10.51,12.00,11.59,28.79,744.46,Upgrade
PB Ratio,0.84,1.09,1.30,1.33,2.81,2.81,Upgrade
P/TBV Ratio,0.84,1.33,1.64,1.71,3.47,3.30,Upgrade
P/OCF Ratio,48.97,102.65,735.51,-,9481.87,-,Upgrade
EV/Sales Ratio,9.22,14.34,16.16,15.56,32.87,762.47,Upgrade
EV/EBITDA Ratio,31.63,48.74,52.31,52.33,123.00,-,Upgrade
EV/EBIT Ratio,104.03,158.41,217.13,541.96,-,-,Upgrade
Debt / Equity Ratio,0.23,0.42,0.46,0.49,0.42,0.39,Upgrade
Debt / EBITDA Ratio,6.42,11.49,11.30,12.03,12.98,-,Upgrade
Asset Turnover,0.07,0.06,0.06,0.06,0.05,0.00,Upgrade
Quick Ratio,0.24,1.79,1.89,0.34,0.68,2.93,Upgrade
Current Ratio,0.24,2.12,2.42,0.39,0.79,3.02,Upgrade
Return on Equity (ROE),12.94%,9.23%,7.85%,13.49%,6.19%,3.29%,Upgrade
Return on Assets (ROA),0.38%,0.36%,0.30%,0.11%,-0.01%,-0.22%,Upgrade
Return on Capital (ROIC),0.46%,0.42%,0.35%,0.13%,-0.01%,-0.25%,Upgrade
Return on Capital Employed (ROCE),0.70%,0.60%,0.50%,0.20%,-,-,Upgrade
Earnings Yield,10.59%,8.14%,5.85%,11.13%,2.57%,1.05%,Upgrade
FCF Yield,-1.28%,-1.34%,-1.75%,-2.10%,-0.46%,-0.26%,Upgrade
Buyback Yield / Dilution,0.60%,2.72%,6.96%,15.05%,-1.64%,-0.12%,Upgrade
