Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Cash & Equivalents,73,163,158,375,191,"1,418",Upgrade
Cash & Short-Term Investments,73,163,158,375,191,"1,418",Upgrade
Cash Growth,-56.55%,3.16%,-57.87%,96.34%,-86.53%,2751.74%,Upgrade
Accounts Receivable,-,195,178,201,206,349,Upgrade
Other Receivables,12,-,-,-,-,24,Upgrade
Receivables,12,195,178,201,206,373,Upgrade
Prepaid Expenses,-,65,78,60,47,40,Upgrade
Restricted Cash,-,-,16,24,15,15,Upgrade
Total Current Assets,85,423,430,660,459,"1,846",Upgrade
"Property, Plant & Equipment",-,"1,259","1,158","1,125","1,185","1,198",Upgrade
Long-Term Investments,"13,051","13,057","12,116","11,433","13,260","16,179",Upgrade
Goodwill,-,755,755,755,762,746,Upgrade
Other Intangible Assets,-,"1,002","1,051","1,103","1,160","1,257",Upgrade
Other Long-Term Assets,57,191,131,66,142,147,Upgrade
Total Assets,"13,193","16,687","15,641","15,142","16,968","21,373",Upgrade
Accounts Payable,22,112,86,92,99,98,Upgrade
Current Portion of Long-Term Debt,102,3,3,"1,376",28,31,Upgrade
Current Portion of Leases,-,49,46,46,51,38,Upgrade
Current Unearned Revenue,-,21,30,20,25,25,Upgrade
Other Current Liabilities,98,15,13,141,379,420,Upgrade
Total Current Liabilities,350,200,178,"1,675",582,612,Upgrade
Long-Term Debt,"1,890","3,954","3,935","2,627","3,936","4,988",Upgrade
Long-Term Leases,-,132,139,151,191,154,Upgrade
Long-Term Unearned Revenue,-,113,65,63,35,40,Upgrade
Long-Term Deferred Tax Liabilities,"2,083","2,388","2,216","2,040","1,998","1,978",Upgrade
Other Long-Term Liabilities,-,92,85,85,87,86,Upgrade
Total Liabilities,"4,323","6,879","6,618","6,641","6,829","7,858",Upgrade
Common Stock,1,1,1,1,1,2,Upgrade
Additional Paid-In Capital,"1,638","3,007","3,107","3,318","6,214","10,320",Upgrade
Retained Earnings,"7,209","6,712","5,843","5,155","3,898","3,166",Upgrade
Comprehensive Income & Other,22,73,52,9,14,15,Upgrade
Total Common Equity,"8,870","9,793","9,003","8,483","10,127","13,503",Upgrade
Minority Interest,-,15,20,18,12,12,Upgrade
Shareholders' Equity,"8,870","9,808","9,023","8,501","10,139","13,515",Upgrade
Total Liabilities & Equity,"13,193","16,687","15,641","15,142","16,968","21,373",Upgrade
Total Debt,"1,992","4,138","4,123","4,200","4,206","5,211",Upgrade
Net Cash (Debt),"-1,919","-3,975","-3,965","-3,825","-4,015","-3,793",Upgrade
Net Cash Per Share,-13.41,-27.80,-26.97,-24.21,-21.59,-20.73,Upgrade
Filing Date Shares Outstanding,143.49,143.28,142.93,146.3,167.87,195.32,Upgrade
Total Common Shares Outstanding,143.49,143.28,143.96,146.6,170.63,196.53,Upgrade
Working Capital,-265,223,252,"-1,015",-123,"1,234",Upgrade
Book Value Per Share,61.82,68.35,62.54,57.87,59.35,68.71,Upgrade
Tangible Book Value,"8,870","8,036","7,197","6,625","8,205","11,500",Upgrade
Tangible Book Value Per Share,61.82,56.09,49.99,45.19,48.09,58.52,Upgrade
Land,-,13,16,16,16,16,Upgrade
Buildings,-,114,108,105,98,94,Upgrade
Machinery,-,"1,313","1,190","1,097",965,905,Upgrade
Construction In Progress,-,302,197,126,108,61,Upgrade
