Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,"1,635","1,607","1,370","1,736","6,263",614.41,351.68
Short-Term Investments,701.91,"2,424","2,490","2,177",-,0.51,0.51
Cash & Short-Term Investments,"2,337","4,031","3,860","3,913","6,263",614.92,352.19
Cash Growth,-32.69%,4.44%,-1.36%,-37.52%,918.50%,74.60%,-
Accounts Receivable,137.64,112.03,51.82,19.54,3.15,0.26,0.41
Other Receivables,17.4,19.6,11.1,7.5,-,-,20.46
Receivables,155.04,131.63,62.92,27.04,3.15,0.26,20.87
Inventory,981.06,407.77,696.24,834.4,127.25,1.04,0.68
Prepaid Expenses,58.14,52.95,69.68,63.55,70.35,21.84,29.61
Restricted Cash,4,0.01,1.56,1.56,10.74,11.28,19.77
Other Current Assets,264.85,250.6,67.01,72.49,32.59,13.22,0.12
Total Current Assets,"3,800","4,874","4,757","4,912","6,507",662.56,423.24
"Property, Plant & Equipment","3,980","3,474","3,032","2,382","1,344",713.27,142.81
Long-Term Investments,687.67,"1,050",542.56,529.97,-,-,-
Other Long-Term Assets,355.2,249.44,180.63,55.3,30.61,26.85,13.55
Total Assets,"8,823","9,648","8,513","7,879","7,882","1,403",579.6
Accounts Payable,393.03,133.83,108.72,229.08,41.34,17.33,12.66
Accrued Expenses,470.15,313.22,221.11,284.12,92.48,67.8,15.28
Short-Term Debt,313.32,126.42,72.53,9.6,-,0.98,-
Current Portion of Leases,137.25,42.38,36.63,21.86,15.24,-,-
Current Unearned Revenue,27.11,18.47,7.71,-,-,-,-
Other Current Liabilities,764.13,530.97,561.7,392.9,247.04,96.17,37.92
Total Current Liabilities,"2,105","1,165","1,008",937.56,396.1,182.28,65.86
Long-Term Debt,"2,040","2,002","1,997","1,992","1,987",-,-
Long-Term Leases,322.6,305.93,321.78,325.18,191.41,-,0.24
Long-Term Unearned Revenue,114.8,112.7,107.8,-,-,-,-
Other Long-Term Liabilities,519.2,889.2,226.08,274.96,"1,398",39.14,58.82
Total Liabilities,"5,102","4,475","3,661","3,530","3,972",221.42,124.92
Common Stock,0.03,0.3,0.23,0.18,0.17,0,0
Additional Paid-In Capital,"16,605","16,808","15,066","11,752","9,996",38.11,16.43
Retained Earnings,"-14,797","-12,913","-10,199","-7,370","-6,066","-1,357",-637.51
Treasury Stock,-20.72,-20.72,-20.72,-20.72,-20.72,-,-
Comprehensive Income & Other,13.11,-2.1,4.85,-11.57,-,-,-
Total Common Equity,"1,800","3,873","4,852","4,350","3,909","-1,319",-621.08
Shareholders' Equity,"3,721","5,173","4,852","4,350","3,909","1,181",454.69
Total Liabilities & Equity,"8,823","9,648","8,513","7,879","7,882","1,403",579.6
Total Debt,"2,814","2,477","2,428","2,348","2,193",0.98,0.24
Net Cash (Debt),-476.51,"1,554","1,432","1,565","4,069",613.94,351.95
Net Cash Growth,-,8.54%,-8.48%,-61.56%,562.85%,74.44%,-
Net Cash Per Share,-1.58,6.36,6.88,9.24,54.96,247.30,170.89
Filing Date Shares Outstanding,324.17,303.15,230,182.96,165.33,12.72,2.06
Total Common Shares Outstanding,324.16,303.14,229.93,182.93,164.76,10.89,2.06
Working Capital,"1,695","3,709","3,749","3,974","6,111",480.27,357.38
Book Value Per Share,5.55,12.78,21.10,23.78,23.73,-121.11,-797.34
Tangible Book Value,"1,800","3,873","4,852","4,350","3,909","-1,319",-621.08
Tangible Book Value Per Share,5.55,12.78,21.10,23.78,23.73,-121.11,-797.34
Land,70.97,70.97,69.72,64.68,1.05,1.05,-
Buildings,"1,088","1,075",576.1,197.41,195.95,-,-
Machinery,"2,464","1,877","1,165",819.71,645.11,49.05,26.57
Construction In Progress,762.47,672.53,"1,185","1,077",276.92,636.85,119.74
Leasehold Improvements,288.03,268.09,221.62,182.9,135.53,47.19,10.44
