Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"4,603","9,094","9,638","12,481","62,644","2,590",-
Market Cap Growth,-25.09%,-5.65%,-22.78%,-80.08%,2318.62%,-,-
Enterprise Value,"5,080","9,086","7,622","11,482","58,064","2,238",-
Last Close Price,14.20,30.20,42.10,68.30,380.50,100.10,-
PS Ratio,4.02,11.26,16.19,20.52,2310.66,651.43,-
PB Ratio,2.56,1.76,1.99,2.87,16.02,2.19,-
P/TBV Ratio,2.56,2.35,1.99,2.87,16.02,-,-
EV/Sales Ratio,4.77,11.25,12.80,18.88,2141.70,562.85,-
Debt / Equity Ratio,0.76,0.48,0.50,0.54,0.56,0.00,0.00
Asset Turnover,0.12,0.09,0.07,0.08,0.01,0.00,-
Inventory Turnover,2.84,3.14,2.53,3.42,2.42,3.56,-
Quick Ratio,1.18,3.57,3.89,4.20,15.82,3.38,5.67
Current Ratio,1.81,4.18,4.72,5.24,16.43,3.64,6.43
Return on Equity (ROE),-61.12%,-54.15%,-61.48%,-31.59%,-101.35%,-87.95%,-
Return on Assets (ROA),-22.89%,-20.65%,-23.45%,-20.57%,-20.61%,-37.79%,-
Return on Capital (ROIC),-31.24%,-25.12%,-27.50%,-25.33%,-26.26%,-45.75%,-
Earnings Yield,-68.25%,-29.84%,-29.34%,-10.45%,-4.12%,-27.77%,-
FCF Yield,-73.49%,-31.93%,-35.28%,-26.45%,-2.36%,-39.76%,-
Buyback Yield / Dilution,-30.64%,-17.46%,-22.95%,-128.70%,-2882.34%,-20.54%,-
