Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,"2,322","2,191","2,363","2,514","2,080","1,446","1,504","1,718","1,222","1,056",867.86
Revenue Growth (YoY),5.78%,-7.27%,-6.02%,20.87%,43.87%,-3.87%,-12.49%,40.68%,15.66%,21.70%,1.86%
Cost of Revenue,"1,464","1,403","1,462","1,491","1,300",944.52,957.58,"1,028",715,633.61,532.17
Gross Profit,857.64,787.54,900.24,"1,023",780.32,501.17,546.3,690.34,506.53,422.55,335.7
"Selling, General & Admin",370.34,350.42,353.46,335.71,272.96,206.44,221.08,276.86,210.92,204.5,143.54
Research & Development,106.27,107.77,102.43,95.6,65.94,52.54,80,87.26,50.49,42.2,30.8
Amortization of Goodwill & Intangibles,58.93,62.13,65.79,55.7,42.73,40.04,40.03,52.19,24.7,19.34,11.9
Operating Expenses,535.54,520.32,521.68,487.01,381.63,299.01,341.1,416.31,286.11,266.03,186.24
Operating Income,322.09,267.22,378.56,535.5,398.69,202.16,205.19,274.03,220.43,156.52,149.46
Interest Expense,-35.39,-38.73,-39.89,-26.23,-18.53,-21.08,-22.27,-22.57,-13.38,-8.63,-4.09
Interest & Investment Income,28,28,18.9,5,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),-1.96,9.23,-12.3,-24.36,-17.16,14.88,-5.22,0.86,-2.38,-0.47,1.47
Other Non Operating Income (Expenses),-10.4,-4.82,0.52,-12.19,12.93,7.01,11.12,2.13,1.59,2,5.42
EBT Excluding Unusual Items,302.35,260.9,345.8,477.71,375.94,202.97,188.82,254.45,206.26,149.42,152.25
Merger & Restructuring Charges,-18.85,-14.93,-12.85,-31.81,-15.06,-7.88,-13.03,-49.51,-2.23,-11.33,-13.4
Impairment of Goodwill,-44.7,-44.7,-,-,-,-33.84,-,-,-,-8.79,-
Gain (Loss) on Sale of Investments,-0.6,-0.6,0.5,-,-,-,-7.3,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-2.6,-,-,-,-
Asset Writedown,-48.02,-48.82,-4.85,-2.86,-,-,-,-,-,-6.02,-
Other Unusual Items,-,-,-,-,-19.86,-,-,-,-,-,-31.9
Pretax Income,190.18,151.86,328.6,443.04,341.03,161.25,165.88,204.94,204.04,123.27,106.95
Income Tax Expense,71.53,51.67,69.11,69.74,57.22,31.27,26.8,40.38,84.52,18.79,26.08
Net Income,118.65,100.19,259.49,373.31,283.81,129.99,139.08,164.57,119.52,104.49,80.87
Net Income to Common,118.65,100.19,259.49,373.31,283.81,129.99,139.08,164.57,119.52,104.49,80.87
Net Income Growth,-39.11%,-61.39%,-30.49%,31.54%,118.34%,-6.54%,-15.48%,37.69%,14.38%,29.21%,-17.57%
Shares Outstanding (Basic),25,25,25,25,25,24,25,25,23,23,23
Shares Outstanding (Diluted),25,25,25,25,25,25,25,25,23,23,23
Shares Change (YoY),-0.22%,-0.25%,0.46%,0.22%,1.38%,-0.91%,-1.65%,10.05%,0.90%,0.03%,-0.03%
EPS (Basic),4.79,4.04,10.44,15.09,11.54,5.33,5.66,6.62,5.27,4.63,3.58
EPS (Diluted),4.74,4.00,10.34,14.94,11.38,5.29,5.60,6.52,5.21,4.60,3.56
EPS Growth,-39.03%,-61.31%,-30.79%,31.28%,115.12%,-5.54%,-14.11%,25.14%,13.26%,29.21%,-17.59%
Free Cash Flow,381.21,291.74,371.2,315.38,282.78,201.84,183.43,257.08,203.25,133.91,121.81
Free Cash Flow Per Share,15.25,11.65,14.79,12.62,11.34,8.21,7.39,10.19,8.86,5.89,5.36
Dividend Per Share,2.850,2.700,2.500,2.260,2.020,1.920,1.820,1.600,1.400,1.240,1.080
Dividend Growth,7.55%,8.00%,10.62%,11.88%,5.21%,5.50%,13.75%,14.29%,12.90%,14.82%,14.89%
Gross Margin,36.94%,35.95%,38.10%,40.67%,37.52%,34.67%,36.33%,40.17%,41.47%,40.01%,38.68%
Operating Margin,13.87%,12.20%,16.02%,21.30%,19.17%,13.98%,13.64%,15.95%,18.05%,14.82%,17.22%
Profit Margin,5.11%,4.57%,10.98%,14.85%,13.64%,8.99%,9.25%,9.58%,9.78%,9.89%,9.32%
Free Cash Flow Margin,16.42%,13.32%,15.71%,12.54%,13.60%,13.96%,12.20%,14.96%,16.64%,12.68%,14.04%
EBITDA,454.7,397.67,515.99,656.2,497.33,298.34,297.7,377.22,283.44,209.65,191.06
EBITDA Margin,19.58%,18.15%,21.84%,26.10%,23.91%,20.64%,19.79%,21.95%,23.20%,19.85%,22.02%
D&A For EBITDA,132.61,130.45,137.43,120.71,98.64,96.18,92.5,103.19,63.01,53.14,41.6
EBIT,322.09,267.22,378.56,535.5,398.69,202.16,205.19,274.03,220.43,156.52,149.46
EBIT Margin,13.87%,12.20%,16.02%,21.30%,19.17%,13.98%,13.64%,15.95%,18.05%,14.82%,17.22%
Effective Tax Rate,37.61%,34.03%,21.03%,15.74%,16.78%,19.39%,16.16%,19.70%,41.42%,15.24%,24.39%
Advertising Expenses,-,5,4,3.8,2.1,2.1,2.7,2.8,2.9,2.9,2.3
