Period Ending,"Jul '25Jul 2, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,483","2,025","1,245","1,128","2,581","1,599","1,832","2,884","2,890","2,124","2,160"
Market Cap Growth,93.00%,62.59%,10.35%,-56.28%,61.40%,-12.69%,-36.49%,-0.20%,36.09%,-1.70%,104.17%
Enterprise Value,"3,244","1,812","1,061","1,121","2,589","1,264","1,325","2,564","2,909","2,210","2,176"
Last Close Price,177.73,107.15,71.42,66.80,99.67,64.17,67.30,87.57,88.36,65.57,69.96
PE Ratio,-,-,23.88,-,45.18,-,2.91,20.12,230.17,-,9.40
Forward PE,47.59,53.58,35.07,-,-,33.23,11.25,52.80,58.25,45.32,72.97
PS Ratio,18.57,12.11,9.48,5.75,10.69,9.78,15.23,11.47,20.48,19.49,30.04
PB Ratio,4.20,2.44,1.78,1.89,3.14,2.25,2.39,5.14,6.90,5.73,7.80
P/TBV Ratio,7.30,4.42,4.18,8.11,7.85,-,4.15,12.93,34.17,31.18,10.40
P/FCF Ratio,64.96,21.26,27.04,8.99,36.86,31.90,-,14.93,33.44,36.07,51.89
P/OCF Ratio,62.92,20.86,25.12,8.19,32.76,29.30,-,14.86,32.63,34.97,51.77
PEG Ratio,3.17,3.57,2.34,-,-,1.61,0.48,1.76,2.12,1.12,1.55
EV/Sales Ratio,17.29,10.84,8.08,5.71,10.72,7.73,11.01,10.20,20.62,20.28,30.26
EV/EBITDA Ratio,253.84,31.11,22.90,27.11,22.09,18.31,34.85,14.37,36.46,40.05,72.64
EV/EBIT Ratio,-,78.73,108.04,369.11,39.07,30.77,-,15.66,42.74,50.35,79.62
EV/FCF Ratio,60.49,19.03,23.04,8.93,36.96,25.22,-,13.27,33.67,37.53,52.27
Debt / Equity Ratio,0.01,0.01,0.01,0.15,0.40,0.64,0.85,1.13,0.54,0.57,0.73
Debt / EBITDA Ratio,0.27,0.12,0.13,2.09,2.74,6.42,16.21,3.57,2.81,3.86,6.74
Debt / FCF Ratio,0.11,0.08,0.13,0.70,4.63,9.11,-,3.29,2.60,3.62,4.85
Asset Turnover,0.21,0.19,0.17,0.19,0.18,0.11,0.09,0.26,0.22,0.20,0.19
Inventory Turnover,4.67,1.71,1.88,4.38,3.50,4.20,9.33,5.95,10.25,15.07,17.68
Quick Ratio,4.59,8.05,12.49,2.50,10.39,4.70,65.38,10.09,0.95,0.69,0.93
Current Ratio,5.45,8.93,14.15,2.67,11.15,5.00,66.09,10.58,0.99,0.72,0.96
Return on Equity (ROE),-9.46%,-0.53%,8.29%,-0.74%,9.98%,0.89%,94.76%,29.26%,3.18%,-0.73%,150.97%
Return on Assets (ROA),-0.98%,1.66%,0.79%,0.18%,3.11%,1.80%,-0.26%,10.59%,6.69%,4.97%,4.49%
Return on Capital (ROIC),-1.10%,1.86%,0.88%,0.21%,3.58%,1.99%,-0.27%,11.12%,6.94%,5.16%,4.89%
Return on Capital Employed (ROCE),-,2.50%,1.30%,0.50%,5.30%,3.30%,-,13.90%,15.80%,11.70%,9.80%
Earnings Yield,-2.18%,-0.20%,4.19%,-2.96%,2.21%,-0.19%,34.36%,4.97%,0.43%,-0.08%,10.64%
FCF Yield,1.54%,4.70%,3.70%,11.12%,2.71%,3.13%,-1.74%,6.70%,2.99%,2.77%,1.93%
Buyback Yield / Dilution,-5.60%,-3.00%,-5.27%,2.19%,-2.50%,14.84%,17.91%,-2.50%,-12.72%,1.87%,0.96%
