Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"6,133","3,130","1,047",643,"1,267",440,322,-,-,-
Market Cap Growth,87.67%,198.92%,62.76%,-49.20%,187.90%,36.55%,-,-,-,-
Enterprise Value,"5,988","2,989",988,606,"1,222",379,244,-,-,-
Last Close Price,73.21,41.27,-,-,-,-,-,-,-,-
PS Ratio,13.36,8.43,3.44,2.82,11.25,5.46,5.47,-,-,-
PB Ratio,15.67,8.73,4.24,2.63,5.07,6.82,4.46,-,-,-
P/TBV Ratio,28.28,16.99,15.41,11.06,6.01,6.90,4.52,-,-,-
P/FCF Ratio,99.77,99.62,149.23,-,-,-,-,-,-,-
P/OCF Ratio,95.59,95.99,139.19,-,-,-,-,-,-,-
EV/Sales Ratio,13.05,8.05,3.24,2.66,10.85,4.70,4.13,-,-,-
EV/EBITDA Ratio,211.45,1529.06,-,-,-,-,-,-,-,-
EV/FCF Ratio,97.43,95.13,140.77,-,-,-,-,-,-,-
Debt / Equity Ratio,0.79,0.00,0.02,0.03,0.06,0.05,-,0.24,0.29,-
Debt / EBITDA Ratio,10.77,0.30,-,-,-,-,-,-,-,-
Debt / FCF Ratio,5.05,0.02,0.79,-,-,-,-,-,-,-
Asset Turnover,0.76,0.97,0.92,0.71,0.58,0.92,0.94,0.99,-,-
Inventory Turnover,7.33,15.19,10.95,12.42,-,-,-,-,-,-
Quick Ratio,6.41,2.85,1.58,1.26,5.88,3.36,4.79,2.47,2.10,-
Current Ratio,6.80,3.12,1.86,1.63,6.19,4.04,5.44,2.74,2.29,-
Return on Equity (ROE),8.12%,-1.50%,-11.46%,-37.05%,-21.34%,-23.89%,-62.45%,-102.86%,-,-
Return on Assets (ROA),1.62%,-1.28%,-4.91%,-19.08%,-8.90%,-11.92%,-28.76%,-35.29%,-,-
Return on Capital (ROIC),1.89%,-1.60%,-6.42%,-23.68%,-10.42%,-14.88%,-37.10%,-48.05%,-,-
Earnings Yield,0.48%,-0.15%,-2.69%,-14.24%,-2.65%,-3.71%,-8.98%,-,-,-
FCF Yield,1.00%,1.00%,0.67%,-8.87%,-0.97%,-1.80%,-9.60%,-,-,-
Buyback Yield / Dilution,-17.00%,-8.06%,-6.22%,-21.65%,-4.68%,-42.89%,-228.95%,-1.80%,-,-
