Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Market Capitalization,"7,727","6,205","3,407",-,-
Market Cap Growth,43.29%,82.15%,-,-,-
Enterprise Value,"9,303","7,277","4,341",-,-
Last Close Price,84.10,68.06,37.39,-,-
Forward PE,129.38,22.00,21.61,-,-
PB Ratio,-,-18.41,-20.65,-,-
Debt / Equity Ratio,-3.51,-4.62,-7.98,-3.64,-1.50
Quick Ratio,0.16,108.33,3.81,-,-
Current Ratio,0.16,108.33,3.81,-,-
Return on Assets (ROA),-1.09%,-0.58%,-0.75%,-,-
Return on Capital (ROIC),-1.16%,-0.58%,-0.76%,-,-
Earnings Yield,-4.59%,-0.50%,-4.17%,-,-
