Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,526","1,534","1,296",935.06,425.21,339.41,347.34,343.37,331.38,301.85,293.46
Revenue Growth (YoY),1.95%,18.32%,38.65%,119.91%,25.28%,-2.28%,1.15%,3.62%,9.78%,2.86%,-2.70%
Cost of Revenue,576.31,545.62,464.49,353.36,237.51,200.65,172.53,168.49,169.24,164.07,157.94
Gross Profit,949.62,988.29,831.94,581.7,187.7,138.76,174.81,174.89,162.14,137.78,135.52
"Selling, General & Admin",440.83,374.33,276.47,233.83,209.32,98.27,103.13,93.33,92.16,75.37,78.63
Research & Development,165.15,168.1,62.11,311.68,44.97,30.09,20.02,17.07,18.13,12.2,14.36
Operating Expenses,605.98,542.43,338.58,545.51,254.28,128.36,123.15,110.4,110.28,87.58,92.99
Operating Income,343.64,445.87,493.37,36.2,-66.59,10.4,51.66,64.49,51.85,50.2,42.53
Interest Expense,-19.72,-19.67,-20.02,-7.19,-7.75,-9.48,-13.62,-17.41,-18.41,-26.62,-38.72
Interest & Investment Income,29.88,36.84,19.64,2.61,0.05,0.24,0.69,0.17,0.02,-,-
Currency Exchange Gain (Loss),-1.23,-0.73,-0.02,-0.26,-0.27,-0.26,0.03,-0.56,0.25,-0.85,-1.75
Other Non Operating Income (Expenses),4.37,1.13,-5.09,-4.06,-7.12,2.22,-10.39,2.86,8.37,1.07,1.69
EBT Excluding Unusual Items,356.95,463.43,487.88,27.31,-81.69,3.12,28.37,49.55,42.08,23.81,3.75
Merger & Restructuring Charges,-,-,-,-,-,-11.9,-,-,-,-,-
Gain (Loss) on Sale of Investments,-118.19,-43.56,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,2.16,8.42,51.79,-,15.26,-,-,-,-,6.39,-
Asset Writedown,-,-,-138,-,-9.5,-2.7,-,-,-,-,-
Other Unusual Items,1.72,2.7,9.28,-0.59,0.89,-,0.26,-,-2.44,-1.9,-15.53
Pretax Income,242.64,430.98,410.94,26.72,-75.04,-11.48,28.63,49.55,39.64,28.29,-11.78
Income Tax Expense,74.96,118.54,84.28,-1.35,-3.76,1.99,-3.04,9.03,-83.75,1.53,2.97
Net Income,167.68,312.44,326.66,28.07,-71.28,-13.47,31.67,40.52,123.39,26.76,-14.75
Net Income to Common,167.68,312.44,326.66,28.07,-71.28,-13.47,31.67,40.52,123.39,26.76,-14.75
Net Income Growth,-60.79%,-4.35%,1063.86%,-,-,-,-21.84%,-67.16%,361.05%,-,-
Shares Outstanding (Basic),68,69,68,68,67,54,39,38,37,32,24
Shares Outstanding (Diluted),70,72,70,71,67,54,40,40,39,33,24
Shares Change (YoY),-1.56%,2.01%,-0.61%,4.72%,24.66%,34.95%,1.55%,1.57%,19.10%,33.62%,35.17%
EPS (Basic),2.45,4.52,4.79,0.41,-1.06,-0.25,0.81,1.06,3.31,0.84,-0.60
EPS (Diluted),2.39,4.36,4.65,0.40,-1.06,-0.25,0.79,1.03,3.17,0.82,-0.60
EPS Growth,-60.26%,-6.24%,1062.50%,-,-,-,-23.30%,-67.51%,286.58%,-,-
Free Cash Flow,414.02,412.21,213.36,3.43,41.78,3.92,58.32,41.06,37.23,42.24,8.61
Free Cash Flow Per Share,5.92,5.75,3.04,0.05,0.62,0.07,1.45,1.04,0.96,1.29,0.35
Gross Margin,62.23%,64.43%,64.17%,62.21%,44.14%,40.88%,50.33%,50.93%,48.93%,45.65%,46.18%
Operating Margin,22.52%,29.07%,38.06%,3.87%,-15.66%,3.06%,14.87%,18.78%,15.65%,16.63%,14.49%
Profit Margin,10.99%,20.37%,25.20%,3.00%,-16.76%,-3.97%,9.12%,11.80%,37.23%,8.87%,-5.03%
Free Cash Flow Margin,27.13%,26.87%,16.46%,0.37%,9.83%,1.16%,16.79%,11.96%,11.24%,13.99%,2.93%
EBITDA,408.19,510.49,553.41,84.12,-24.3,35.09,65.04,78.42,71.08,68.47,62.18
EBITDA Margin,26.75%,33.28%,42.69%,9.00%,-5.71%,10.34%,18.73%,22.84%,21.45%,22.68%,21.19%
D&A For EBITDA,64.55,64.62,60.04,47.93,42.29,24.69,13.38,13.93,19.23,18.26,19.65
EBIT,343.64,445.87,493.37,36.2,-66.59,10.4,51.66,64.49,51.85,50.2,42.53
EBIT Margin,22.52%,29.07%,38.06%,3.87%,-15.66%,3.06%,14.87%,18.78%,15.65%,16.63%,14.49%
Effective Tax Rate,30.89%,27.50%,20.51%,-,-,-,-,18.22%,-,5.42%,-
Advertising Expenses,-,29.7,26,26,17.5,5.2,3.8,4,4.4,3.6,3.1
