Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"3,221","3,188","2,902","2,512","2,153","1,699","2,388","3,363","3,084","2,883","2,759"
Revenue Growth (YoY),1.87%,9.86%,15.53%,16.67%,26.72%,-28.85%,-28.99%,9.05%,6.96%,4.52%,54.43%
Cost of Revenue,878,931,872,738,609,610,746,"1,255","1,164","1,106","1,069"
Gross Profit,"2,343","2,257","2,030","1,774","1,544","1,089","1,642","2,108","1,920","1,777","1,690"
"Selling, General & Admin",859,872,808,717,679,627,619,697,613,584.5,567.7
Research & Development,260,262,228,218,190,148,166,202,184,204.8,183.9
Operating Expenses,"1,514","1,495","1,386","1,355","1,267","1,224","1,318","1,570","1,480","1,528","1,485"
Operating Income,829,762,644,419,277,-135,324,538,440,249.1,205.1
Interest Expense,-299,-293,-309,-327,-478,-503,-589,-597,-610,-661.4,-664.9
Interest & Investment Income,20,20,34,17,5,-,-,-,-,-,-
Earnings From Equity Investments,-,-,-,-,-,-,-,25,27,13,16.9
Currency Exchange Gain (Loss),-6,-6,-29,-13,8,-,-,-,-,2.2,-28.9
Other Non Operating Income (Expenses),-7,6,6,7,20,-4,13,17,1,8.9,7.3
EBT Excluding Unusual Items,537,489,346,103,-168,-642,-252,-17,-142,-388.2,-464.5
Merger & Restructuring Charges,7,-7,-61,-93,-101,-29,-8,-45,-31,-57,-21.9
Impairment of Goodwill,-,-,-,-,-,-54,-,-,-,-69,"-1,003"
Gain (Loss) on Sale of Assets,28,28,-,-,-,-,-,-,-1,2.8,-
Asset Writedown,-,-,-29,-,-,-,-9,-19,-,-,-205.2
Legal Settlements,-79,-79,-,-8,-25,-,-,-152,-,-,-
Other Unusual Items,6,-10,-51,-165,-,-79,-108,-106,-53,25.2,-
Pretax Income,499,421,205,-163,-294,-804,-377,-339,-227,-478.7,"-1,694"
Income Tax Expense,100,85,25,13,-318,-3,-47,13,15,-125,-299.9
Earnings From Continuing Operations,399,336,180,-176,24,-801,-330,-352,-242,-353.7,"-1,394"
Earnings From Discontinued Operations,-,-,-,"3,873",366,253,212,-,-,-,-
Net Income to Company,399,336,180,"3,697",390,-548,-118,-352,-242,-353.7,"-1,394"
Minority Interest in Earnings,-,-,-17,-22,-19,-21,-12,-,-,-,-
Net Income,399,336,163,"3,675",371,-569,-130,-352,-242,-353.7,"-1,394"
Net Income to Common,399,336,163,"3,675",371,-569,-130,-352,-242,-353.7,"-1,394"
Net Income Growth,35.25%,106.14%,-95.56%,890.57%,-,-,-,-,-,-,-
Shares Outstanding (Basic),85,89,91,95,96,95,93,91,89,87,86
Shares Outstanding (Diluted),87,91,93,95,98,95,93,91,89,87,86
Shares Change (YoY),-6.23%,-2.15%,-2.10%,-3.06%,3.16%,2.15%,2.20%,2.25%,1.95%,1.63%,1.54%
EPS (Basic),4.72,3.78,1.79,38.68,3.86,-5.99,-1.40,-3.87,-2.72,-4.05,-16.23
EPS (Diluted),4.59,3.68,1.75,38.68,3.78,-6.03,-1.40,-3.87,-2.72,-4.05,-16.23
EPS Growth,43.14%,110.29%,-95.48%,921.97%,-,-,-,-,-,-,-
Free Cash Flow,389,338,348,-597,514,334,322,-45,213,146.1,90.6
Free Cash Flow Per Share,4.50,3.71,3.74,-6.28,5.25,3.52,3.46,-0.49,2.39,1.67,1.05
Gross Margin,72.74%,70.80%,69.95%,70.62%,71.71%,64.10%,68.76%,62.68%,62.26%,61.63%,61.27%
Operating Margin,25.74%,23.90%,22.19%,16.68%,12.87%,-7.95%,13.57%,16.00%,14.27%,8.64%,7.43%
Profit Margin,12.39%,10.54%,5.62%,146.30%,17.23%,-33.49%,-5.44%,-10.47%,-7.85%,-12.27%,-50.54%
Free Cash Flow Margin,12.08%,10.60%,11.99%,-23.77%,23.87%,19.66%,13.48%,-1.34%,6.91%,5.07%,3.28%
EBITDA,"1,142","1,045",964,769,594,217,759,"1,029",970,824.1,764.2
EBITDA Margin,35.45%,32.78%,33.22%,30.61%,27.59%,12.77%,31.78%,30.60%,31.45%,28.58%,27.70%
D&A For EBITDA,313,283,320,350,317,352,435,491,530,575,559.1
EBIT,829,762,644,419,277,-135,324,538,440,249.1,205.1
EBIT Margin,25.74%,23.90%,22.19%,16.68%,12.87%,-7.95%,13.57%,16.00%,14.27%,8.64%,7.43%
Effective Tax Rate,20.04%,20.19%,12.20%,-,-,-,-,-,-,-,-
Revenue as Reported,"3,221","3,188","2,902","2,512","2,153","1,699","2,388","3,363","3,084","2,883","2,759"
Advertising Expenses,-,177,160,162,124,123,125,102,83,71.3,41.1
