Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,117.91,136.29,128.32,145.72,131.57,182.33,118.08,119.05,106.82,106.55,84.61
Short-Term Investments,-,-,-,-,-,-,-,9.62,4.98,10.31,17.97
Cash & Short-Term Investments,117.91,136.29,128.32,145.72,131.57,182.33,118.08,128.68,111.8,116.86,102.57
Cash Growth,-5.13%,6.21%,-11.94%,10.76%,-27.84%,54.41%,-8.23%,15.10%,-4.33%,13.93%,-59.75%
Receivables,102.87,98.94,115.57,101.37,85.53,70.19,70.49,70.03,55.1,99.64,88.47
Inventory,90.72,103.41,98.83,110.38,67.59,64.6,54.98,67.1,79.9,79.17,75.9
Prepaid Expenses,30.73,26.2,25.24,21.71,16.66,16.72,18.88,18.62,16.57,19.04,18.92
Total Current Assets,342.23,364.83,367.95,379.17,301.35,333.84,262.43,284.42,263.37,314.7,285.86
"Property, Plant & Equipment",91.1,66.86,64.03,65.2,61.91,61.84,62.82,34.88,40.42,49.48,51.85
Long-Term Investments,-,-,-,-,-,-,-,-,2.29,4.05,4.51
Goodwill,315.36,315.36,315.36,315.36,315.36,267.51,267.51,267.51,267.51,269.76,267.55
Other Intangible Assets,4.73,4.59,20.97,25.07,29.78,6.32,6.98,21.33,51.31,118.86,162.58
Long-Term Deferred Tax Assets,68.99,66.98,57.76,1.02,0.95,-,0.48,0.22,0.2,0.37,0.58
Other Long-Term Assets,21.96,25.29,14.82,12.89,17.14,10.55,11.8,15.33,10.86,9.66,12.99
Total Assets,844.36,843.9,840.89,798.71,726.49,680.07,612.02,623.69,635.96,766.88,785.92
Accounts Payable,47.71,36.83,34.49,42.04,34.6,27.53,44.35,31.88,35.35,37.8,18.62
Accrued Expenses,32.1,21.87,31.69,46.45,34.02,23.73,20.03,17.34,20.15,37.56,48.5
Current Portion of Long-Term Debt,-,-,-,-,17.17,12.76,21.47,8.29,1.51,33.77,7.56
Current Portion of Leases,5.81,5.82,5.57,6.45,5.7,4.15,4.69,-,-,-,-
Current Income Taxes Payable,-,3.38,6.76,4.27,-,-,-,-,-,-,-
Current Unearned Revenue,6.01,11.18,5.3,17.67,4.77,3.07,2.31,1.61,17.32,32.99,19.86
Other Current Liabilities,14.15,20.55,13.59,10.5,9.93,8.49,6.96,10.3,9.32,15.44,16.64
Total Current Liabilities,105.78,99.62,97.4,127.37,106.18,79.73,99.82,69.42,83.65,157.55,111.18
Long-Term Debt,-,-,-,128.75,140.76,157.93,125.07,251.36,299.67,300.86,330.87
Long-Term Leases,16.28,12.43,10.74,13.62,19.25,18.91,21.44,-,-,-,-
Long-Term Deferred Tax Liabilities,-,2.35,6.18,7.8,8.6,1.75,-,-,-,-,-
Other Long-Term Liabilities,15.9,18.56,34.56,34.01,40.07,37.32,38.03,44.46,34.95,38.05,38.35
Total Liabilities,137.96,132.97,148.87,311.55,314.86,295.64,284.36,365.23,418.27,496.45,480.4
Common Stock,1.37,1.38,1.37,1.37,1.37,1.36,1.34,1.3,1.24,1.22,1.19
Additional Paid-In Capital,488.68,504.3,545.59,599.3,701.69,770.71,762.21,736.27,695.77,680.32,660.09
Retained Earnings,219.83,209.1,147.97,-111.09,-289.98,-385.9,-433.29,-476.78,-477.86,-406.95,-352.85
Comprehensive Income & Other,-3.47,-3.84,-2.91,-2.41,-1.45,-1.75,-2.6,-2.33,-1.45,-4.16,-2.91
Shareholders' Equity,706.4,710.93,692.02,487.16,411.63,384.43,327.66,258.46,217.69,270.43,305.52
Total Liabilities & Equity,844.36,843.9,840.89,798.71,726.49,680.07,612.02,623.69,635.96,766.88,785.92
Total Debt,22.08,18.25,16.31,148.82,182.88,193.75,172.67,259.65,301.18,334.62,338.43
Net Cash (Debt),95.83,118.04,112.01,-3.1,-51.31,-11.42,-54.59,-130.97,-189.38,-217.76,-235.85
Net Cash Growth,-7.08%,5.39%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,0.69,0.85,0.80,-0.02,-0.36,-0.08,-0.40,-1.03,-1.54,-1.81,-2.01
Filing Date Shares Outstanding,136.79,137.83,137.55,137.38,137.69,136.53,134.32,131.6,124.21,121.75,118.99
Total Common Shares Outstanding,136.75,137.7,137.34,137.1,137.24,136.24,133.88,129.73,123.9,121.65,118.65
Working Capital,236.45,265.21,270.55,251.79,195.17,254.11,162.61,215.01,179.72,157.15,174.69
Book Value Per Share,5.17,5.16,5.04,3.55,3.00,2.82,2.45,1.99,1.76,2.22,2.57
Tangible Book Value,386.31,390.99,355.69,146.74,66.49,110.59,53.17,-30.38,-101.13,-118.19,-124.61
Tangible Book Value Per Share,2.82,2.84,2.59,1.07,0.48,0.81,0.40,-0.23,-0.82,-0.97,-1.05
Buildings,-,-,-,-,-,-,-,-,-,3.55,3.55
Machinery,-,163.5,161.88,151.55,135.04,137.94,152.7,163.6,158.41,165.85,152.88
Leasehold Improvements,-,15.39,13.52,12.42,12.96,12.91,12.52,12.65,13.28,14.87,14.37
