Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"8,834","8,135","9,523","8,892","10,553","6,239","2,568",882,713,894,763
Market Cap Growth,15.57%,-14.57%,7.09%,-15.73%,69.15%,142.91%,191.17%,23.70%,-20.22%,17.16%,-6.47%
Enterprise Value,"8,738","8,032","9,426","8,942","10,559","6,251","2,654","1,040",908,"1,130",990
Last Close Price,65.56,58.96,68.99,64.88,77.06,45.82,19.23,6.81,5.78,7.36,6.47
PE Ratio,325.61,133.07,36.76,49.71,110.01,131.64,59.05,-,-,-,-
Forward PE,47.20,64.21,36.45,33.10,66.59,63.74,30.40,36.17,-,29.44,-
PS Ratio,18.20,15.97,12.92,13.47,20.48,15.29,6.36,2.21,1.85,2.09,1.88
PB Ratio,12.69,11.44,13.76,18.25,25.64,16.23,7.84,3.41,3.28,3.31,2.50
P/TBV Ratio,22.87,20.81,26.77,60.60,158.70,56.41,48.31,-,-,-,-
P/FCF Ratio,68.87,67.85,38.17,41.27,66.84,78.41,23.66,20.48,27.79,35.73,-
P/OCF Ratio,54.21,57.74,35.32,37.24,62.92,68.04,20.69,17.14,18.51,21.42,-
PEG Ratio,1.49,-,2.63,2.21,5.33,5.10,2.43,2.41,30.58,3.93,-
EV/Sales Ratio,17.66,15.77,12.79,13.54,20.49,15.32,6.57,2.61,2.35,2.65,2.44
EV/EBITDA Ratio,169.66,80.79,37.92,40.69,82.91,76.75,27.55,15.22,18.52,19.13,46.07
EV/EBIT Ratio,566.18,132.37,44.01,46.96,102.59,111.03,41.67,35.07,-,-,-
EV/FCF Ratio,68.12,66.99,37.78,41.50,66.88,78.56,24.45,24.14,35.38,45.18,-
Debt / Equity Ratio,0.03,0.03,0.02,0.31,0.44,0.50,0.53,1.00,1.38,1.24,1.11
Debt / EBITDA Ratio,0.37,0.17,0.06,0.65,1.35,2.18,1.66,3.80,6.14,5.67,15.74
Debt / FCF Ratio,0.17,0.15,0.07,0.69,1.16,2.44,1.59,6.03,11.74,13.38,-
Asset Turnover,0.58,0.61,0.90,0.87,0.73,0.63,0.65,0.63,0.55,0.55,0.63
Inventory Turnover,1.70,1.67,2.13,2.34,2.93,2.72,2.71,2.44,2.13,2.32,2.56
Quick Ratio,2.09,2.36,2.50,1.94,2.05,3.17,1.89,2.86,2.00,1.37,1.72
Current Ratio,3.24,3.66,3.78,2.98,2.84,4.19,2.63,4.10,3.15,2.00,2.57
Return on Equity (ROE),3.86%,8.71%,43.94%,39.80%,24.10%,13.31%,14.84%,-11.06%,-28.91%,-18.79%,-42.66%
Return on Assets (ROA),1.14%,4.50%,16.33%,15.61%,9.15%,5.45%,6.44%,2.94%,-0.79%,-0.22%,-3.65%
Return on Capital (ROIC),1.33%,5.28%,19.91%,19.35%,10.97%,6.53%,7.82%,3.57%,-0.98%,-0.27%,-4.36%
Return on Capital Employed (ROCE),2.10%,8.20%,28.80%,28.40%,16.60%,9.40%,12.40%,5.30%,-,-,-
Earnings Yield,0.31%,0.75%,2.72%,2.01%,0.91%,0.76%,1.69%,-2.98%,-9.90%,-6.05%,-20.87%
FCF Yield,1.45%,1.47%,2.62%,2.42%,1.50%,1.27%,4.23%,4.88%,3.60%,2.80%,-5.39%
Buyback Yield / Dilution,0.28%,1.05%,0.62%,1.04%,-0.61%,-2.92%,-8.46%,-3.17%,-2.24%,-2.22%,2.38%
