Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,"1,306",759.32,558.64,281.09,457.33,319.73,358.32,517.69,"1,106",469.24
Short-Term Investments,686.62,"1,225","1,127","1,516","1,797","1,931","2,492","1,520","1,285",543.1
Cash & Short-Term Investments,"1,993","1,984","1,685","1,797","2,254","2,251","2,850","2,038","2,391","1,012"
Cash Growth,3.40%,17.76%,-6.21%,-20.28%,0.12%,-21.02%,39.86%,-14.76%,136.16%,-
Accounts Receivable,399.16,334.8,305.2,267.3,186.9,89.5,113.8,-,-,-
Other Receivables,-,-,-,-,-,-,-,-,1.7,-
Receivables,399.16,334.8,305.2,267.3,186.9,89.5,113.8,-,1.7,-
Prepaid Expenses,383.39,631.29,585.67,509.9,319.35,244.48,272.57,257.85,171.25,62.75
Restricted Cash,-,-,1.36,1.36,0.66,0.19,1.17,1.42,-,-
Other Current Assets,220.35,-,-,7.5,15.3,8.9,9.7,23.3,-,-
Total Current Assets,"2,995","2,951","2,577","2,583","2,776","2,594","3,247","2,320","2,564","1,075"
"Property, Plant & Equipment",542.65,593.26,564.05,448.62,521.61,589.05,629.86,109.26,14.21,9.55
Long-Term Investments,45.17,42.52,39.87,26.39,80.41,10,-,-,-,-
Goodwill,389.52,251.38,257.79,261.58,180.52,182.69,158.73,152.09,-,-
Other Intangible Assets,134.95,42.78,59.52,76.21,50.77,65.85,82.92,117.73,4.35,-
Long-Term Deferred Charges,-,-,-,-,-,-,-,2.1,-,-
Other Long-Term Assets,"1,835","1,555","1,066","1,161","1,165","1,237","1,573","1,058",434.48,164.35
Total Assets,"5,943","5,435","4,564","4,556","4,774","4,679","5,691","3,760","3,017","1,249"
Accounts Payable,107.35,97.7,72.28,107.8,129.54,84.11,38.84,32.34,66.87,46.19
Accrued Expenses,"3,330","2,857","2,330","2,496","1,788","1,512","1,847","1,055",494.21,184.78
Current Portion of Long-Term Debt,52.77,429.08,25.8,36.29,56.26,35.76,-,-,-,-
Current Portion of Leases,59.57,56.46,67.75,60.86,67.32,70.09,94.2,-,-,-
Current Unearned Revenue,-,-,-,2.36,52.79,-,-,-,-,-
Other Current Liabilities,586.57,440.15,465.77,429.59,422.27,372.88,471.58,361.11,135.74,75.05
Total Current Liabilities,"4,136","3,881","2,962","3,133","2,516","2,074","2,451","1,449",696.82,306.01
Long-Term Debt,"1,010",565.97,839.36,803.21,655.17,644.24,-,-,-,-
Long-Term Leases,196.45,206.43,195.42,196.28,224.47,272.4,382.08,-,-,-
Other Long-Term Liabilities,27.66,14.92,26.6,35.72,36.66,11.7,3.86,30.46,15.3,7.92
Total Liabilities,"5,370","4,668","4,023","4,168","3,433","3,003","2,837","1,479",712.12,313.94
Common Stock,0,0,0,0,0,0,0,-,-,-
Additional Paid-In Capital,"10,744","11,035","10,827","10,335","9,706","8,977","8,399",73.92,55.57,42.06
Retained Earnings,"-10,169","-10,258","-10,281","-9,941","-8,363","-7,300","-5,548","-2,945","-2,034","-1,346"
Comprehensive Income & Other,-1.42,-10.1,-4.95,-5.75,-2.51,-0.47,2.73,0.13,-1.01,-0.09
Total Common Equity,573.04,767.02,541.52,388.67,"1,341","1,676","2,854","-2,871","-1,979","-1,304"
Shareholders' Equity,573.04,767.02,541.52,388.67,"1,341","1,676","2,854","2,281","2,305",935.04
Total Liabilities & Equity,"5,943","5,435","4,564","4,556","4,774","4,679","5,691","3,760","3,017","1,249"
Total Debt,"1,319","1,258","1,128","1,097","1,003","1,022",476.28,-,-,-
Net Cash (Debt),673.69,726.51,556.85,700.17,"1,251","1,229","2,374","2,038","2,391","1,012"
Net Cash Growth,-1.66%,30.47%,-20.47%,-44.02%,1.79%,-48.24%,16.49%,-14.76%,136.16%,-
Net Cash Per Share,1.59,1.76,1.45,1.97,3.74,3.94,10.43,96.23,123.42,54.98
Filing Date Shares Outstanding,399.35,418.01,399.81,378.08,348.56,328.93,306.64,285.88,19.92,18.73
Total Common Shares Outstanding,401.47,418.01,399.81,370.15,344.94,323.74,302.6,35.22,19.92,18.73
Working Capital,"-1,140",-930.21,-384.14,-549.7,259.71,519.67,796,871.62,"1,867",769.07
Book Value Per Share,1.43,1.83,1.35,1.05,3.89,5.18,9.43,-81.53,-99.39,-69.59
Tangible Book Value,48.57,472.86,224.21,50.88,"1,110","1,428","2,612","-3,141","-1,984","-1,304"
Tangible Book Value Per Share,0.12,1.13,0.56,0.14,3.22,4.41,8.63,-89.19,-99.61,-69.59
Machinery,-,494.5,482.62,364.59,312.87,275.99,138.88,77.61,2.06,0.79
Construction In Progress,-,57,72.26,48.52,25.27,19.96,25.14,3.63,1.16,7.09
Leasehold Improvements,-,75.48,77.23,91.33,100.25,105.17,66.49,39.73,14.14,2.33
