Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,691.89,"1,388","1,261",761.24,731.36,762.18,630.03,594.48,"1,079",869.53,892.81
Cash & Short-Term Investments,691.89,"1,388","1,261",761.24,731.36,762.18,630.03,594.48,"1,079",869.53,892.81
Cash Growth,-4.37%,10.03%,65.70%,4.08%,-4.04%,20.98%,5.98%,-44.92%,24.12%,-2.61%,-8.11%
Receivables,"1,390","1,003","1,082",860.22,"1,073","1,034",936.36,970.08,"1,125","1,115","1,145"
Inventory,826.58,501.73,571.61,894.06,777.18,528.47,495.5,542.89,600.7,613.8,587.52
Prepaid Expenses,244.06,214.84,204.77,197.45,276.22,166.45,171.8,225.27,287.98,320.09,359.13
Other Current Assets,2.83,19.26,2.78,16.06,17.08,5.62,14.29,14.48,7.69,21.43,16.5
Total Current Assets,"3,156","3,127","3,122","2,729","2,875","2,497","2,248","2,347","3,100","2,940","3,001"
"Property, Plant & Equipment",847.81,842.44,778.71,787.81,781.45,765.4,853.33,657.6,785.29,773.97,741.15
Goodwill,"1,390","1,382","1,385","1,379","1,390","1,394","1,391","1,386","1,397","1,388","1,385"
Other Intangible Assets,344.67,360.56,393.04,425.1,476.86,518.19,553.11,587.53,639.2,660.45,700.31
Long-Term Deferred Tax Assets,302.02,296.86,299.16,471.67,526.91,72.68,67.9,49.94,77.74,508.36,510.93
Other Long-Term Assets,553.42,535.58,458.05,385.49,343.94,288.1,212.2,209.54,229.01,223.33,197.18
Total Assets,"6,593","6,544","6,436","6,178","6,394","5,535","5,325","5,238","6,228","6,494","6,535"
Accounts Payable,492.83,398.98,442.29,471.48,579.15,495.36,459.36,537.97,572.17,664.86,651.68
Accrued Expenses,725.28,801.68,781.06,593.48,914.31,731.25,692.69,691.25,775.98,619.84,654.68
Short-Term Debt,-,-,-,-,-,0.97,-,4.18,-,192.17,16.91
Current Portion of Long-Term Debt,599.25,-,-,-,-,-,-,-,250,-,300
Current Portion of Leases,82.48,74.76,77.25,75.3,73.75,79.54,74.07,0.29,-,-,-
Current Income Taxes Payable,52.81,38.03,33.91,37.58,27.51,27.13,48.04,13.52,9.5,19.72,18.75
Other Current Liabilities,21.99,2.27,7.97,9.91,3.53,21.13,2.76,2.73,16.16,8.99,3.5
Total Current Liabilities,"1,975","1,316","1,342","1,188","1,598","1,355","1,277","1,250","1,624","1,506","1,646"
