Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"5,228","5,380","5,441","5,435","5,458","4,588","4,505","4,515","4,881","5,453","5,703"
Revenue Growth (YoY),-2.36%,-1.13%,0.12%,-0.42%,18.95%,1.86%,-0.23%,-7.51%,-10.48%,-4.38%,-5.33%
Cost of Revenue,"2,589","2,641","2,859","2,943","2,828","2,340","2,509","2,716","3,057","2,906","2,896"
Gross Profit,"2,638","2,738","2,582","2,492","2,630","2,249","1,996","1,799","1,825","2,547","2,806"
"Selling, General & Admin","2,029","2,005","1,947","1,788","1,881","1,869","1,927","2,043","2,169","1,995","2,193"
Operating Expenses,"2,029","2,005","1,947","1,788","1,881","1,869","1,927","2,043","2,169","1,995","2,193"
Operating Income,609.48,733.69,635.64,704.51,748.39,379.81,69.35,-244.53,-344.34,551.48,612.92
Interest Expense,-117.36,-118.77,-123.79,-132.82,-253.94,-198.33,-201.04,-181.89,-105.21,-95.12,-85.27
Interest & Investment Income,49.36,51.48,25.24,9.4,3.5,3.95,6.17,6.46,7.78,9.14,7.23
Earnings From Equity Investments,28.31,24.94,18.42,25.43,11.84,11.47,-0.77,-2.22,-,-,-
Currency Exchange Gain (Loss),-3.03,5.07,1.55,33.82,-8.22,-0.7,-0.53,-3.33,-6.53,-1.29,-8.29
Other Non Operating Income (Expenses),2.23,-3.81,4.47,-29.5,16.18,5.83,3.97,8.4,6.03,3.73,9.32
EBT Excluding Unusual Items,568.97,692.6,561.53,610.83,517.76,202.03,-122.86,-417.1,-442.27,467.94,535.92
Merger & Restructuring Charges,-27.32,-49.16,-59.7,-36.7,-35.15,-12.9,-37.57,-,-58.97,-39.9,-72
Gain (Loss) on Sale of Assets,-,-,-,-45.37,-,-,-,-,-,-,-
Legal Settlements,-26,4,-18,1,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,-26,-
Pretax Income,515.65,647.44,483.83,529.76,482.61,189.13,-160.43,-417.1,-501.25,402.04,463.92
Income Tax Expense,83.4,105.63,269.48,135.85,-420.38,65.55,58.32,116.2,553.33,89.13,94.5
Net Income,432.25,541.82,214.35,393.91,902.99,123.58,-218.75,-533.3,"-1,055",312.91,369.42
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,1.38,3.18
Net Income to Common,432.25,541.82,214.35,393.91,902.99,123.58,-218.75,-533.3,"-1,055",311.53,366.24
Net Income Growth,-21.16%,152.77%,-45.58%,-56.38%,630.70%,-,-,-,-,-15.30%,-25.95%
Shares Outstanding (Basic),325,340,354,354,350,347,346,345,344,341,339
Shares Outstanding (Diluted),328,343,357,360,357,349,346,345,344,344,340
Shares Change (YoY),-5.61%,-3.86%,-0.69%,0.66%,2.33%,0.86%,0.32%,0.42%,-0.19%,1.32%,-0.30%
EPS (Basic),1.33,1.59,0.61,1.11,2.58,0.36,-0.63,-1.55,-3.07,0.91,1.08
EPS (Diluted),1.32,1.58,0.60,1.10,2.53,0.35,-0.63,-1.55,-3.07,0.91,1.08
EPS Growth,-15.84%,163.33%,-45.45%,-56.52%,622.86%,-,-,-,-,-15.72%,-25.53%
Free Cash Flow,488.31,597.95,709.49,256.34,334.11,166.9,64.63,-179.73,-324.77,332.32,480.38
Free Cash Flow Per Share,1.49,1.74,1.99,0.71,0.94,0.48,0.19,-0.52,-0.94,0.96,1.41
Dividend Per Share,-,-,-,-,-,-,-,-,0.910,1.520,1.520
Dividend Growth,-,-,-,-,-,-,-,-,-40.13%,-,-
Gross Margin,50.47%,50.90%,47.46%,45.86%,48.18%,49.01%,44.31%,39.84%,37.38%,46.70%,49.21%
Operating Margin,11.66%,13.64%,11.68%,12.96%,13.71%,8.28%,1.54%,-5.42%,-7.05%,10.11%,10.75%
Profit Margin,8.27%,10.07%,3.94%,7.25%,16.55%,2.69%,-4.86%,-11.81%,-21.60%,5.71%,6.42%
Free Cash Flow Margin,9.34%,11.12%,13.04%,4.72%,6.12%,3.64%,1.44%,-3.98%,-6.65%,6.09%,8.42%
EBITDA,778.21,901.66,812.98,886.69,932.7,573.26,313.87,27.41,-69.57,813.82,878.35
EBITDA Margin,14.89%,16.76%,14.94%,16.31%,17.09%,12.49%,6.97%,0.61%,-1.43%,14.92%,15.40%
D&A For EBITDA,168.73,167.96,177.34,182.18,184.31,193.45,244.52,271.93,274.77,262.34,265.43
EBIT,609.48,733.69,635.64,704.51,748.39,379.81,69.35,-244.53,-344.34,551.48,612.92
EBIT Margin,11.66%,13.64%,11.68%,12.96%,13.71%,8.28%,1.54%,-5.42%,-7.05%,10.11%,10.75%
Effective Tax Rate,16.17%,16.31%,55.70%,25.64%,-,34.66%,-,-,-,22.17%,20.37%
Advertising Expenses,-,507.32,524.79,534.26,545.67,525.8,550.22,524.29,642.29,634.95,717.85
