Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,740.64,180.13,-,-,-,-,-,-,-,-,-
Cost of Revenue,35.15,6.23,-,-,-,-,-,-,-,-,-
Gross Profit,705.5,173.9,-,-,-,-,-,-,-,-,-
"Selling, General & Admin",715.07,435.06,108.15,48.13,37.32,21.86,22.65,15.29,7.67,6.59,0.81
Research & Development,297.91,236.72,272.35,245.44,205.16,184.81,72.32,25.39,24.39,15.93,2.43
Operating Expenses,"1,013",671.78,380.5,293.57,242.48,206.67,94.97,40.68,32.06,22.52,3.23
Operating Income,-307.48,-497.88,-380.5,-293.57,-242.48,-206.67,-94.97,-40.68,-32.06,-22.52,-3.23
Interest Expense,-17.51,-14.67,-12.71,-3.96,-,-,-,-,-,-1.21,-3.61
Interest & Investment Income,38.98,46.65,19.58,2.19,0.36,4.33,11.02,7.67,0.56,0.05,-
Other Non Operating Income (Expenses),-0.34,-,-,-,0.27,0.1,-,0.2,0.35,-,-
EBT Excluding Unusual Items,-286.35,-465.89,-373.63,-295.35,-241.85,-202.24,-83.95,-32.81,-31.15,-23.69,-6.84
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-2.7,-
Pretax Income,-289.13,-465.89,-373.63,-295.35,-241.85,-202.24,-83.95,-32.81,-31.15,-26.39,-6.84
Net Income,-289.13,-465.89,-373.63,-295.35,-241.85,-202.24,-83.95,-32.81,-31.15,-26.39,-6.84
Net Income to Common,-289.13,-465.89,-373.63,-295.35,-241.85,-202.24,-83.95,-32.81,-31.15,-26.39,-6.84
Shares Outstanding (Basic),22,21,19,17,17,15,15,15,12,5,0
Shares Outstanding (Diluted),22,21,19,17,17,15,15,15,12,5,0
Shares Change (YoY),6.98%,13.83%,9.05%,3.64%,7.05%,0.34%,4.04%,20.84%,135.27%,2943.44%,-83.64%
EPS (Basic),-13.04,-21.90,-19.99,-17.23,-14.63,-13.09,-5.45,-2.22,-2.54,-5.07,-40.03
EPS (Diluted),-13.04,-21.90,-19.99,-17.23,-14.63,-13.09,-5.45,-2.22,-2.54,-5.07,-40.03
Free Cash Flow,-161.63,-457.03,-325.71,-225.07,-184.13,-157.9,-41.8,-25.53,-22.44,-17.61,-3.14
Free Cash Flow Per Share,-7.29,-21.48,-17.43,-13.13,-11.13,-10.22,-2.71,-1.73,-1.83,-3.38,-18.37
Gross Margin,95.25%,96.54%,-,-,-,-,-,-,-,-,-
Operating Margin,-41.52%,-276.39%,-,-,-,-,-,-,-,-,-
Profit Margin,-39.04%,-258.64%,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-21.82%,-253.72%,-,-,-,-,-,-,-,-,-
EBITDA,-306.01,-496.78,-379.97,-293.1,-242.08,-206.2,-94.86,-40.59,-31.99,-22.52,-3.23
EBITDA Margin,-41.32%,-275.78%,-,-,-,-,-,-,-,-,-
D&A For EBITDA,1.48,1.1,0.53,0.47,0.41,0.47,0.11,0.1,0.08,0,0
EBIT,-307.48,-497.88,-380.5,-293.57,-242.48,-206.67,-94.97,-40.68,-32.06,-22.52,-3.23
EBIT Margin,-41.52%,-276.39%,-,-,-,-,-,-,-,-,-
