Year Ending,"Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Cash & Equivalents,1.74,2.27,0.55
Short-Term Investments,-,0.09,1.83
Cash & Cash Equivalents,1.74,2.37,2.39
Cash Growth,-26.44%,-0.71%,-
Other Current Assets,0.1,0.1,0.26
Total Current Assets,1.84,2.46,2.65
"Property, Plant & Equipment",3.39,3.51,3.77
Goodwill and Intangibles,0.16,2.49,3.01
Other Long-Term Assets,2.87,0.28,0.01
Total Long-Term Assets,6.41,6.28,6.78
Total Assets,8.25,8.75,9.43
Accounts Payable,0,0,0.05
Current Debt,8.16,7.82,5.18
Other Current Liabilities,6.1,5.09,1.07
Total Current Liabilities,14.26,12.91,6.29
Long-Term Debt,8.59,6.43,6.61
Other Long-Term Liabilities,19.47,19.04,19.86
Total Long-Term Liabilities,28.06,25.47,26.46
Total Liabilities,42.32,38.38,32.76
Total Debt,16.75,14.25,11.79
Debt Growth,17.51%,20.88%,-
Retained Earnings,-30.06,-25.66,-19.03
Comprehensive Income,0.55,0.59,0.27
Shareholders' Equity,-34.07,-29.63,-23.33
Net Cash (Debt),-15,-11.88,-9.4
Working Capital,-12.42,-10.44,-3.65
