Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,473.3,544.48,451.28,430.75,506.74,460.86,270.12,246.32,167.01,168.24,199.73
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,37.69
Trading Asset Securities,100.5,99.05,99.68,74.41,24.88,19.22,86.43,89.04,91.3,74.21,-
Cash & Short-Term Investments,573.8,643.52,550.96,505.16,531.62,480.08,356.55,335.36,258.32,242.45,237.42
Cash Growth,4.80%,16.80%,9.07%,-4.98%,10.73%,34.65%,6.32%,29.83%,6.54%,2.12%,15.82%
Accounts Receivable,408.13,228.27,374.16,313.51,216.65,167.26,62.02,57.54,52.64,50.67,40.46
Other Receivables,189.12,113.65,288.46,152.36,187.02,95.19,-,-,-,-,-
Receivables,597.24,341.92,662.62,465.86,403.66,262.45,62.02,57.54,52.64,50.67,40.46
Prepaid Expenses,-,46.96,82.48,66.24,26.96,28.95,27.14,21.37,17.52,10.52,9.53
Restricted Cash,169.48,155.98,160.39,141.92,118.83,147.19,4.13,1.1,1.2,1.1,-
Other Current Assets,52.06,11.11,12.39,9.38,11.2,8.89,6.22,4.1,3.17,1.33,0.35
Total Current Assets,"1,393","1,199","1,469","1,189","1,092",927.56,456.05,419.46,332.84,306.06,287.76
"Property, Plant & Equipment",165.03,165.43,165.72,166.36,167.02,161.13,153.19,63.01,38.55,31.1,30.9
Long-Term Investments,56.75,89.51,24.69,-,-,-,137.84,146.97,145.05,118.87,47.01
Goodwill,283.67,236.71,236.71,154.79,154.79,147.39,146.86,59.71,-,-,-
Other Intangible Assets,115.88,98.08,119.11,98.07,116.38,95.35,60.99,2.96,63.06,63.44,64.14
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,3.42,1.74,8.56,9.23
Total Assets,"2,014","1,789","2,015","1,608","1,530","1,331",954.93,695.54,581.23,528.04,439.04
Accounts Payable,26.57,31.3,32.47,37.25,48.72,44.35,20.02,28.35,10.84,14.88,12.26
Accrued Expenses,60.37,68.05,60.12,56.3,59.72,62.33,47.37,39.05,36.5,34.78,29.3
Current Portion of Leases,3.27,12.78,-,-,-,-,-,-,-,-,-
Current Income Taxes Payable,98.74,3.68,7.89,28.45,40.46,42.75,16.69,16.43,13.06,7.58,4.46
Other Current Liabilities,0.5,0.94,-,14.03,-,-,2.77,1.02,3.4,0.27,-
Total Current Liabilities,189.46,116.75,100.49,136.02,148.89,149.43,86.85,84.85,63.8,57.51,46.02
Long-Term Leases,63.6,59.96,79.68,82.68,88.43,93.61,97.99,-,-,-,-
Long-Term Unearned Revenue,4.84,5,4.54,3.99,-,-,-,2.81,2.66,2.52,2.31
Other Long-Term Liabilities,365.83,218.85,537.4,303.99,251.83,133.33,-,-,-,-,-
Total Liabilities,623.73,400.56,722.1,526.68,489.14,376.37,184.84,87.66,66.46,60.03,48.33
Common Stock,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Additional Paid-In Capital,358.61,350.7,333.29,345.47,330.26,329.74,342.54,341.86,331.08,342.31,321.22
Retained Earnings,"1,475","1,406","1,244","1,102",956.97,799.37,591.09,463.25,353.58,255.14,168.01
Treasury Stock,-451.4,-333.37,-260.3,-328.33,-232.71,-169.52,-153.39,-184.96,-159.79,-117.33,-93.41
Comprehensive Income & Other,-3.63,-34.7,-24.37,-37.7,-13.33,-4.65,-10.27,-12.39,-10.23,-12.23,-5.23
Shareholders' Equity,"1,390","1,389","1,293","1,081","1,041",955.06,770.09,607.88,514.77,468.01,390.71
Total Liabilities & Equity,"2,014","1,789","2,015","1,608","1,530","1,331",954.93,695.54,581.23,528.04,439.04
Total Debt,66.87,72.74,79.68,82.68,88.43,93.61,97.99,-,-,-,-
Net Cash (Debt),506.93,570.78,471.29,422.48,443.19,386.47,258.56,335.36,258.32,242.45,237.42
Net Cash Growth,7.32%,21.11%,11.55%,-4.67%,14.68%,49.47%,-22.90%,29.83%,6.54%,2.12%,15.82%
Net Cash Per Share,13.57,15.15,12.52,11.22,11.63,10.13,6.81,8.86,6.79,6.42,6.31
Filing Date Shares Outstanding,37.17,37.69,37.87,37.61,37.84,38,37.92,37.64,37.63,37.59,37.52
Total Common Shares Outstanding,37.15,37.65,37.9,37.65,37.92,38.01,37.94,37.64,37.62,37.54,37.41
Working Capital,"1,203","1,083","1,368","1,053",943.37,778.13,369.21,334.61,269.03,248.55,241.75
Book Value Per Share,37.11,36.89,34.12,28.72,27.46,25.13,20.30,16.15,13.68,12.47,10.44
Tangible Book Value,978.9,"1,054",937.15,828.24,770.14,712.32,562.24,545.2,451.71,404.57,326.57
Tangible Book Value Per Share,26.35,27.99,24.73,22.00,20.31,18.74,14.82,14.48,12.01,10.78,8.73
Machinery,-,64.49,57.03,53.02,61.97,68.56,59.1,54,42.87,26.38,31.7
Leasehold Improvements,-,31.39,31.21,30.66,31.02,29.06,27.97,32.53,11.02,8.35,8.46
