Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,033","1,904","3,643","3,331","9,274",-,-
Market Cap Growth,-31.98%,-47.73%,9.37%,-64.09%,-,-,-
Enterprise Value,"1,261",807,"2,355","1,698","7,621",-,-
Last Close Price,4.82,3.79,6.98,6.11,17.17,-,-
PE Ratio,-,69.78,-,-,-,-,-
PS Ratio,3.92,3.76,5.39,4.45,17.93,-,-
PB Ratio,2.58,1.76,2.93,2.26,5.89,-,-
P/TBV Ratio,3.30,2.04,3.36,2.26,5.89,-,-
P/FCF Ratio,15.78,34.15,179.06,-,171.02,-,-
P/OCF Ratio,15.54,32.73,172.60,-,162.78,-,-
EV/Sales Ratio,2.14,1.59,3.48,2.27,14.74,-,-
EV/FCF Ratio,9.55,14.47,115.79,-,140.54,-,-
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.06,0.14
Debt / FCF Ratio,0.06,0.10,0.44,-,0.28,0.38,-
Asset Turnover,0.40,0.33,0.40,0.42,0.45,0.85,-
Inventory Turnover,-,38.86,73.30,94.22,120.94,-,-
Quick Ratio,1.47,3.29,4.04,6.03,7.43,2.92,2.83
Current Ratio,1.89,3.37,4.13,6.18,7.56,3.05,3.07
Return on Equity (ROE),-4.10%,2.34%,-16.42%,-12.13%,-17.59%,-22.26%,-
Return on Assets (ROA),-2.81%,-1.00%,-10.53%,-7.28%,-8.85%,-8.64%,-
Return on Capital (ROIC),-4.21%,-1.31%,-12.92%,-8.53%,-10.67%,-12.62%,-
Return on Capital Employed (ROCE),-7.70%,-2.20%,-22.60%,-14.10%,-10.20%,-14.90%,-37.00%
Earnings Yield,-1.90%,1.43%,-6.12%,-5.55%,-1.77%,-,-
FCF Yield,6.34%,2.93%,0.56%,-0.46%,0.58%,-,-
Buyback Yield / Dilution,8.41%,2.57%,2.36%,-50.35%,-195.09%,-7.98%,-
