Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 1, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"3,108","2,557","1,484",910.1,712,291.55,217.5,160.73,89.22,188.18,158.26
Short-Term Investments,"6,002","4,272","5,701","6,241",144.3,-,-,-,-,-,-
Trading Asset Securities,"1,624","1,395",845.2,480.8,496.5,251.71,121.56,28.93,6.94,24.01,4.94
Accounts Receivable,"11,043","6,840","4,372","4,685","2,019","1,147",790.69,730.48,509.53,579.96,591.95
Other Receivables,30,219.1,138,5.5,10.3,67.3,24.11,20.83,20.73,17.31,8.17
"Property, Plant & Equipment",88.5,80.7,57.2,45.5,24.9,20.39,27.71,2.48,2.67,2.5,3.78
Goodwill,248.3,176.5,163.6,155.5,208.9,198.4,179.18,140.97,140.97,140.97,140.97
Other Intangible Assets,71.4,56.5,56,25.6,17.5,14.35,7.83,1.86,0.78,0.54,0.77
Investments in Debt & Equity Securities,"1,475",721.4,635.5,432.9,125.2,97.26,45.97,61.55,44.41,42.96,58.2
Other Current Assets,"8,755","7,873","3,795","2,580",616.5,"1,190",975.69,164.55,168.1,111.02,73.87
Long-Term Deferred Tax Assets,20.6,46.7,21.4,7.6,4,0.57,1.37,0.92,1.63,4.76,5.29
Other Long-Term Assets,294.7,46.1,300.4,139.1,805.6,479.06,188.39,81.6,99.67,23.14,45.66
Total Assets,"32,940","24,313","17,612","15,744","5,265","3,767","2,580","1,395","1,085","1,135","1,108"
Accounts Payable,"13,528","9,243","6,377","6,648","3,291","2,410","1,773",859.98,581.61,648.73,640.96
Accrued Expenses,-,478.2,390.2,-,-,122.37,84.16,70.79,57.19,58.85,65.79
Short-Term Debt,"5,113","3,210","3,521","4,689",339.8,376.4,77,48.77,69.31,40,18.94
Current Portion of Long-Term Debt,"2,649","2,120","1,308",823.7,990.1,130,183.25,-,-,12.03,3.54
Current Portion of Leases,11.9,10.5,13.2,6.8,6,5.68,6.48,-,-,-,-
Other Current Liabilities,"7,704","6,675","4,267","2,386",0.9,10.45,1.07,32.18,0.29,0.27,1.41
Long-Term Debt,"2,653","1,485",907.9,472.1,136.6,246.76,12.95,-,-,-,-
Long-Term Leases,72,67,39.4,32.1,17,18.71,21.16,-,-,-,-
Long-Term Deferred Tax Liabilities,5,4.5,3.7,0.1,3.2,1.01,-,-,-,-,-
Total Liabilities,"31,757","23,336","16,836","15,066","4,787","3,323","2,162","1,013",712.27,761.5,734.13
Common Stock,0.1,0.1,0.1,0.1,0.1,0.02,0.02,0.02,176.24,0.02,0.02
Additional Paid-In Capital,225.9,202.6,134.3,134.3,134.3,134.33,134.33,134.52,134.31,134.3,134.29
Retained Earnings,896.7,722.4,555.3,455.3,346.6,132.64,107.01,72.28,62.13,64.63,64.14
Comprehensive Income & Other,114.7,75,96,95.9,-3.3,176.8,176.39,175.12,-0.3,174.88,175.15
Shareholders' Equity,"1,184",976.9,775.9,677.7,477.7,443.79,417.76,381.93,372.38,373.83,373.59
Total Liabilities & Equity,"32,940","24,313","17,612","15,744","5,265","3,767","2,580","1,395","1,085","1,135","1,108"
Total Debt,"10,498","6,892","5,790","6,023","1,490",777.55,300.83,48.77,69.31,52.03,22.48
Net Cash (Debt),235.8,"1,332","2,240","1,608",-136.7,-234.29,38.23,140.89,26.86,160.16,140.72
Net Cash Growth,-,-40.53%,39.28%,-,-,-,-72.87%,424.57%,-83.23%,13.82%,3.45%
Net Cash Per Share,3.07,17.70,31.85,23.80,-2.25,-3.86,0.63,2.32,0.44,2.64,2.32
Filing Date Shares Outstanding,71.72,70.29,58.61,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63
Total Common Shares Outstanding,71.72,70.29,58.61,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63
Working Capital,"1,714","1,405",492.8,375.8,-551.6,-99.77,1.42,92.55,82.26,158.97,118.92
Book Value Per Share,15.09,12.51,11.57,9.57,7.88,7.32,6.89,6.30,6.14,6.17,6.16
Tangible Book Value,859.8,743.9,556.3,496.6,251.3,231.04,230.75,239.1,230.64,232.33,231.85
Tangible Book Value Per Share,10.63,9.19,7.83,6.58,4.14,3.81,3.81,3.94,3.80,3.83,3.82
