Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,538.41,771.74,340.45,467.73,60.38,9.62
Short-Term Investments,164.54,62.45,-,-,-,-
Cash & Short-Term Investments,702.95,834.19,340.45,467.73,60.38,9.62
Cash Growth,66.29%,145.03%,-27.21%,674.64%,527.92%,-
Other Receivables,20.25,21.31,1.88,2.07,4.88,-
Receivables,20.25,21.31,1.88,2.07,4.88,-
Prepaid Expenses,7.83,7.92,4.46,8.18,1.7,1.66
Total Current Assets,732.33,863.41,346.79,477.98,66.96,11.28
"Property, Plant & Equipment",0.57,0.67,0.1,0.15,0.22,0.01
Other Intangible Assets,0.44,0.53,0.17,0.21,-,-
Other Long-Term Assets,-,-,0.04,0.16,-,-
Total Assets,786.43,864.62,347.1,478.5,67.99,11.29
Accounts Payable,3.63,4.74,16.92,11.85,7.07,0.48
Accrued Expenses,10.1,13.61,11.4,6.12,4.1,0.93
Short-Term Debt,-,-,-,-,-,14.25
Current Portion of Leases,0.18,0.25,0.06,0.07,0.06,-
Current Unearned Revenue,-,6.01,8.94,13.87,-,-
Other Current Liabilities,44.36,82.31,12.57,4.15,-,-
Total Current Liabilities,58.27,106.92,49.9,36.06,11.24,15.67
Long-Term Leases,0.09,0.2,-,0.06,0.13,-
Long-Term Unearned Revenue,-,-,1.02,4.79,-,-
Other Long-Term Liabilities,-,-,7.79,7.52,-,-
Total Liabilities,58.36,107.12,58.7,48.43,11.36,15.67
Common Stock,14.11,13.44,10.17,10.06,0.13,0.06
Additional Paid-In Capital,"1,397","1,298",590.77,555.63,95.26,3
Retained Earnings,-687.47,-558.57,-316.97,-140.04,-39.44,-7.43
Comprehensive Income & Other,4.64,4.47,4.42,4.42,0.67,-
Shareholders' Equity,728.07,757.5,288.39,430.07,56.63,-4.38
Total Liabilities & Equity,786.43,864.62,347.1,478.5,67.99,11.29
Total Debt,0.27,0.45,0.06,0.13,0.19,14.25
Net Cash (Debt),755.77,833.74,340.39,467.6,60.19,-4.63
Net Cash Growth,79.00%,144.94%,-27.21%,676.83%,-,-
Net Cash Per Share,6.67,8.84,4.14,24.65,5.48,-0.93
Filing Date Shares Outstanding,113.39,109.82,89.27,81.77,11.33,5
Total Common Shares Outstanding,113.17,108.06,82.47,81.56,11.33,5
Working Capital,674.06,756.5,296.89,441.92,55.72,-4.39
Book Value Per Share,6.43,7.01,3.50,5.27,5.00,-0.88
Tangible Book Value,727.63,756.97,288.22,429.86,56.63,-4.38
Tangible Book Value Per Share,6.43,7.00,3.49,5.27,5.00,-0.88
Machinery,-,-,-,-,0.04,0.02
