Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,127","10,722","12,738","12,286","19,314","17,562","9,635","6,656","5,617","4,134","3,493"
Market Cap Growth,-28.90%,-15.82%,3.67%,-36.39%,9.98%,82.28%,44.75%,18.49%,35.89%,18.34%,13.70%
Enterprise Value,"7,748","9,755","11,788","11,604","18,565","17,022","9,782","6,661","5,690","3,462","3,059"
Last Close Price,131.98,169.84,199.51,192.30,303.60,283.54,155.15,108.21,91.91,68.63,56.75
PE Ratio,15.02,24.23,37.65,46.20,96.95,89.45,51.83,41.77,39.20,35.36,13.50
PS Ratio,2.82,3.92,5.36,5.63,10.05,10.66,6.12,4.61,4.22,4.07,3.77
PB Ratio,2.10,2.98,3.80,4.02,6.81,6.79,4.27,3.30,3.21,2.74,2.47
P/TBV Ratio,10.18,7.75,11.60,11.02,22.97,28.12,23.84,74.52,-,-,5.03
P/FCF Ratio,10.65,13.44,23.93,27.44,44.19,38.50,27.78,18.23,15.83,20.57,14.82
P/OCF Ratio,10.33,12.88,22.69,25.61,41.82,36.57,25.75,16.78,14.23,18.11,13.84
EV/Sales Ratio,2.69,3.57,4.96,5.32,9.66,10.33,6.22,4.61,4.27,3.41,3.30
EV/EBITDA Ratio,9.49,12.99,19.70,22.68,41.28,39.98,23.70,18.71,18.51,15.64,13.68
EV/EBIT Ratio,12.29,17.86,27.35,34.62,69.88,69.83,40.85,33.49,37.67,24.13,18.42
EV/FCF Ratio,10.15,12.23,22.15,25.91,42.48,37.32,28.20,18.24,16.04,17.23,12.98
Debt / Equity Ratio,0.02,0.16,0.23,0.25,0.33,0.31,0.26,0.23,0.26,0.31,-
Debt / EBITDA Ratio,0.10,0.73,1.26,1.46,1.96,1.77,1.36,1.28,1.46,2.10,-
Debt / FCF Ratio,0.11,0.71,1.47,1.74,2.12,1.75,1.70,1.25,1.26,2.32,-
Asset Turnover,0.56,0.53,0.48,0.46,0.43,0.42,0.46,0.48,0.49,0.45,0.53
Inventory Turnover,-,-,-,-,-,-,-,135.65,108.91,61.89,46.11
Quick Ratio,1.19,1.62,1.86,1.91,1.51,1.78,0.86,1.29,1.24,1.00,1.66
Current Ratio,1.41,1.70,2.06,2.12,1.81,1.86,0.93,1.38,1.32,1.08,1.73
Return on Equity (ROE),15.08%,12.72%,10.56%,9.03%,7.34%,8.10%,8.70%,8.46%,8.79%,8.41%,10.70%
Return on Assets (ROA),7.62%,6.55%,5.40%,4.38%,3.71%,3.89%,4.39%,4.11%,3.45%,4.00%,5.96%
Return on Capital (ROIC),9.73%,8.22%,6.76%,5.52%,4.65%,4.89%,5.63%,5.32%,4.52%,5.29%,7.90%
Return on Capital Employed (ROCE),15.10%,14.30%,10.80%,9.00%,7.70%,7.60%,9.00%,7.70%,6.50%,6.60%,11.30%
Earnings Yield,6.90%,4.13%,2.66%,2.17%,1.03%,1.12%,1.93%,2.39%,2.55%,2.83%,7.41%
FCF Yield,9.39%,7.44%,4.18%,3.65%,2.26%,2.60%,3.60%,5.49%,6.32%,4.86%,6.75%
Dividend Yield,-,-,-,-,-,-,-,-,-,0.93%,1.13%
Payout Ratio,-,-,-,-,-,-,-,-,6.73%,32.67%,14.77%
Buyback Yield / Dilution,2.83%,1.15%,0.30%,0.64%,-1.43%,-2.00%,-2.14%,-1.92%,-1.78%,0.40%,-0.63%
Total Shareholder Return,2.83%,1.15%,0.30%,0.64%,-1.43%,-2.00%,-2.14%,-1.92%,-1.78%,1.33%,0.49%
