Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Premiums & Annuity Revenue,593.28,564.69,510.77,475.27,444.29,397.17,345.02,251.2,165.74,110.48,45.51
Total Interest & Dividend Income,98.13,85.32,67.51,46.41,38.07,31.9,30.86,23.54,16.27,13.75,7.25
Gain (Loss) on Sale of Investments,-0.02,0.02,-0.03,0.48,0.73,0.93,0.05,0.06,0.21,-0.69,0.83
Other Revenue,0.83,0.94,0.76,1.19,1.98,3.28,2.86,0.23,0.52,0.28,0.03
Total Revenue,692.21,650.97,579,523.35,485.07,433.28,378.77,275.03,182.74,123.82,53.61
Revenue Growth (YoY),8.86%,12.43%,10.63%,7.89%,11.95%,14.39%,37.72%,50.50%,47.59%,130.96%,178.89%
Policy Benefits,53.73,31.54,22.62,-3.59,12.31,59.25,12.51,5.45,5.34,2.39,0.65
Policy Acquisition & Underwriting Costs,98.02,96.49,91.79,100.07,136.17,129.31,124.42,114.87,106.36,93.22,80.6
"Selling, General & Administrative",2.1,2.1,2,2,2.3,2.3,2.2,2.1,-,-,-
Other Operating Expenses,0.57,0.72,0.77,1.09,2.51,2.84,2.25,0.27,0.62,-,-
Total Operating Expenses,174.23,150.66,134.09,114.99,153.29,193.7,141.38,122.69,112.32,95.62,81.25
Operating Income,517.98,500.31,444.92,408.36,331.78,239.59,237.4,152.34,70.43,28.2,-27.64
Interest Expense,-28.45,-36.9,-32.21,-32.16,-31.8,-24.39,-12.09,-14.98,-13.53,-14.85,-2.06
Other Non Operating Income (Expenses),-,-,-,1.11,0.57,2.91,-8.66,-1.4,-4.11,-1.9,1.91
EBT Excluding Unusual Items,489.53,463.41,412.7,377.31,300.55,218.11,216.65,135.96,52.79,11.45,-27.79
Other Unusual Items,-,-,-,-,-3.83,-,-,-,-,-,-
Pretax Income,489.53,463.41,412.7,377.31,296.73,218.11,216.65,135.96,52.79,11.45,-27.79
Income Tax Expense,108.65,103.31,90.59,84.4,65.6,46.54,44.7,28.03,30.74,-52.55,-
Net Income,380.88,360.11,322.11,292.9,231.13,171.57,171.96,107.93,22.05,64,-27.79
Net Income to Common,380.88,360.11,322.11,292.9,231.13,171.57,171.96,107.93,22.05,64,-27.79
Net Income Growth,6.58%,11.80%,9.97%,26.73%,34.72%,-0.23%,59.33%,389.46%,-65.55%,-,-
Shares Outstanding (Basic),78,80,82,85,86,78,68,65,60,59,59
Shares Outstanding (Diluted),80,81,84,86,87,79,70,68,62,61,59
Shares Change (YoY),-2.62%,-3.08%,-2.49%,-1.02%,9.62%,13.69%,3.06%,8.79%,2.23%,3.66%,0.69%
EPS (Basic),4.87,4.51,3.91,3.45,2.70,2.20,2.54,1.66,0.37,1.08,-0.47
EPS (Diluted),4.79,4.43,3.84,3.39,2.65,2.13,2.47,1.60,0.35,1.05,-0.47
EPS Growth,9.56%,15.37%,13.18%,27.86%,24.71%,-13.85%,54.37%,357.14%,-66.67%,-,-
Free Cash Flow,386.85,386.7,333.31,302.82,313.48,240.44,198.19,137.8,59.25,60.47,35.33
Free Cash Flow Per Share,4.86,4.76,3.98,3.52,3.61,3.03,2.84,2.04,0.95,0.99,0.60
Operating Margin,74.83%,76.85%,76.84%,78.03%,68.40%,55.30%,62.68%,55.39%,38.54%,22.78%,-51.56%
Profit Margin,55.02%,55.32%,55.63%,55.97%,47.65%,39.60%,45.40%,39.24%,12.07%,51.69%,-51.84%
Free Cash Flow Margin,55.89%,59.40%,57.57%,57.86%,64.63%,55.49%,52.33%,50.10%,32.42%,48.84%,65.90%
EBITDA,529.51,512.24,456.46,420.23,343.02,249.52,246.69,160.15,77.09,33.86,-22.78
EBITDA Margin,76.50%,78.69%,78.83%,80.30%,70.71%,57.59%,65.13%,58.23%,42.18%,27.35%,-42.49%
D&A For EBITDA,11.53,11.94,11.54,11.87,11.23,9.93,9.3,7.81,6.66,5.66,4.86
EBIT,517.98,500.31,444.92,408.36,331.78,239.59,237.4,152.34,70.43,28.2,-27.64
EBIT Margin,74.83%,76.85%,76.84%,78.03%,68.40%,55.30%,62.68%,55.39%,38.54%,22.78%,-51.56%
Effective Tax Rate,22.20%,22.29%,21.95%,22.37%,22.11%,21.34%,20.63%,20.62%,58.23%,-,-
Revenue as Reported,692.21,650.97,579,523.35,485.07,433.28,378.77,275.03,182.74,123.82,53.61
