Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,852.72,672.4,517.92,570.73,416.11,269.4,224.91,251.13,221.99,163.9,148.51
Revenue Growth (YoY),39.37%,29.83%,-9.25%,37.16%,54.46%,19.78%,-10.44%,13.13%,35.44%,10.36%,23.13%
Cost of Revenue,365.82,285.31,224.75,253.76,180.67,118.23,103.09,105.9,90.81,73.85,71.43
Gross Profit,486.9,387.09,293.18,316.97,235.44,151.17,121.82,145.23,131.19,90.06,77.08
"Selling, General & Admin",102.36,89.29,72.87,76.58,57.2,42.58,38.28,36.73,32.65,28.36,21.78
Research & Development,136.33,110.26,88.04,90.46,65.86,53.02,44.51,45.45,38.96,35,39.7
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,2.63,2.61,1.76,1.76,1.32
Operating Expenses,238.69,199.55,160.91,167.04,123.06,95.6,85.41,84.79,73.37,65.11,62.8
Operating Income,248.21,187.54,132.26,149.93,112.39,55.57,36.41,60.44,57.82,24.94,14.28
Interest Expense,-1.28,-1.28,-1.28,-1.28,-4.23,-0.87,-,-,-,-,-
Interest & Investment Income,47.21,34.55,22.64,6.48,2.19,4.06,4.61,3.35,1.83,1.22,0.64
Currency Exchange Gain (Loss),-4.19,-4.19,1.3,3.47,-0.95,-2.17,-1.43,-0.28,0.55,-,-
Other Non Operating Income (Expenses),-0.33,-0.33,-0.23,-0.19,-0.15,-0.09,-0.1,-0.09,-0.11,-,-
EBT Excluding Unusual Items,289.62,216.29,154.7,158.41,109.25,56.5,39.49,63.43,60.1,26.16,14.92
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-2.7
Asset Writedown,-,-,-,-,-,-,-,-,-,-1.9,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,-12.88,-
Pretax Income,289.62,216.29,154.7,158.41,109.25,56.5,39.49,63.43,60.1,11.38,12.22
Income Tax Expense,44.6,32.53,18.39,18.2,16.15,8.59,4.32,9.05,13.64,1.74,-3.5
Net Income,245.02,183.76,136.31,140.21,93.1,47.91,35.17,54.38,46.46,9.64,15.73
Net Income to Common,245.02,183.76,136.31,140.21,93.1,47.91,35.17,54.38,46.46,9.64,15.73
Net Income Growth,42.99%,34.81%,-2.78%,50.60%,94.34%,36.21%,-35.32%,17.04%,381.74%,-38.67%,-15.69%
Shares Outstanding (Basic),30,29,29,29,28,28,28,28,28,27,27
Shares Outstanding (Diluted),32,32,32,32,30,29,29,29,29,28,28
Shares Change (YoY),-1.11%,0.15%,0.69%,6.89%,2.99%,1.31%,-0.66%,0.84%,3.71%,-0.02%,-1.07%
EPS (Basic),8.30,6.31,4.73,4.89,3.28,1.71,1.26,1.94,1.68,0.35,0.58
EPS (Diluted),7.71,5.75,4.28,4.43,3.12,1.65,1.23,1.89,1.63,0.35,0.57
EPS Growth,44.31%,34.30%,-3.42%,42.14%,89.09%,34.15%,-34.92%,15.95%,365.71%,-38.60%,-14.92%
Free Cash Flow,229.96,218.05,106.34,98.23,127.45,53.81,19.42,33.45,55.52,-7.29,21.42
Free Cash Flow Per Share,7.20,6.79,3.31,3.08,4.27,1.86,0.68,1.16,1.95,-0.27,0.78
Gross Margin,57.10%,57.57%,56.61%,55.54%,56.58%,56.11%,54.16%,57.83%,59.09%,54.94%,51.90%
Operating Margin,29.11%,27.89%,25.54%,26.27%,27.01%,20.63%,16.19%,24.07%,26.05%,15.22%,9.62%
Profit Margin,28.73%,27.33%,26.32%,24.57%,22.37%,17.78%,15.64%,21.65%,20.93%,5.88%,10.59%
Free Cash Flow Margin,26.97%,32.43%,20.53%,17.21%,30.63%,19.97%,8.64%,13.32%,25.01%,-4.45%,14.42%
EBITDA,268.56,204.92,148.46,164.59,121.32,63.95,44.43,68.13,64,31.54,23.9
EBITDA Margin,31.49%,30.48%,28.67%,28.84%,29.15%,23.74%,19.76%,27.13%,28.83%,19.24%,16.09%
D&A For EBITDA,20.35,17.38,16.2,14.65,8.93,8.38,8.03,7.68,6.18,6.59,9.62
EBIT,248.21,187.54,132.26,149.93,112.39,55.57,36.41,60.44,57.82,24.94,14.28
EBIT Margin,29.11%,27.89%,25.54%,26.27%,27.01%,20.63%,16.19%,24.07%,26.05%,15.22%,9.62%
Effective Tax Rate,15.40%,15.04%,11.89%,11.49%,14.78%,15.20%,10.93%,14.27%,22.69%,15.27%,-
Revenue as Reported,852.72,672.4,517.92,570.73,416.11,269.4,224.91,251.13,221.99,163.9,148.51
