Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,656.82,50.34,36.54,40.96,28.83,39.77
Short-Term Investments,21.86,49.88,79.11,18,-,-
Cash & Short-Term Investments,678.68,100.22,115.65,58.96,28.83,39.77
Cash Growth,298.32%,-13.34%,96.16%,104.51%,-27.51%,-
Receivables,10.77,9.19,9.92,7.58,5.14,4.54
Inventory,94.23,99.81,84.11,70.23,51.46,15.73
Prepaid Expenses,14.64,14.15,11.92,7.01,5.21,3.88
Restricted Cash,-,-,2.23,2.16,2.06,0.36
Total Current Assets,798.32,223.37,223.81,145.93,92.7,64.26
"Property, Plant & Equipment",33.18,33.38,22.8,22.75,9.66,9.93
Long-Term Investments,136.08,68.83,50.51,-,-,-
Goodwill,64.9,64.9,64.9,16.24,16.24,0.31
Other Intangible Assets,36.72,36.46,36,26.8,21.66,5.38
Long-Term Deferred Tax Assets,25.15,8.79,3.92,2.33,1,0.72
Other Long-Term Assets,3.55,3.15,2.96,2.36,1.71,1.15
Total Assets,"1,098",438.88,404.91,216.41,142.97,81.75
Accounts Payable,72.97,79.13,56.19,44.81,37.02,15.89
Accrued Expenses,-,17.17,31.13,32.27,11.62,4.39
Short-Term Debt,-,-,-,3.92,4.43,4.22
Current Portion of Leases,7.26,7.11,3.8,3.89,-,-
Current Unearned Revenue,-,18.95,13.92,4.49,-,1.62
Other Current Liabilities,46.18,2.45,4.27,1.03,2.5,0.37
Total Current Liabilities,126.41,124.8,109.31,90.41,55.57,26.48
Long-Term Debt,-,-,-,0.65,-,1.27
Long-Term Leases,15.59,15.6,8.71,8.08,-,-
Other Long-Term Liabilities,604.67,16.17,3.78,18.57,18.75,1.65
Total Liabilities,746.66,156.58,121.8,117.7,74.32,29.4
Common Stock,0.02,0.02,0.02,0.02,0.02,-
Additional Paid-In Capital,57.93,76.91,178.91,53.71,45.38,43.02
Retained Earnings,290.39,203.27,101.78,43.24,21.52,7.6
Comprehensive Income & Other,2.9,2.11,2.4,1.74,1.74,1.74
Shareholders' Equity,351.24,282.3,283.11,98.71,68.65,52.35
Total Liabilities & Equity,"1,098",438.88,404.91,216.41,142.97,81.75
Total Debt,22.85,22.71,12.51,16.53,4.43,5.49
Net Cash (Debt),791.91,146.34,153.64,42.42,24.4,34.27
Net Cash Growth,214.89%,-4.75%,262.15%,73.89%,-28.82%,-
Net Cash Per Share,12.92,2.37,2.62,0.75,0.46,1.31
Filing Date Shares Outstanding,56.82,55.83,56.87,53.4,53.25,26.13
Total Common Shares Outstanding,56.82,55.83,56.87,53.4,53.25,26.13
Working Capital,671.92,98.57,114.5,55.53,37.13,37.78
Book Value Per Share,6.18,5.06,4.98,1.85,1.29,2.00
Tangible Book Value,249.61,180.94,182.2,55.67,30.75,46.66
Tangible Book Value Per Share,4.39,3.24,3.20,1.04,0.58,1.79
Machinery,-,11.54,8.73,6.96,5.27,3.46
Leasehold Improvements,-,17.05,16.58,16.16,15.51,14.72
