Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"6,276","1,144","3,002",736,"8,950","12,375",-,-,-
Market Cap Growth,385.15%,-61.88%,308.02%,-91.78%,-27.67%,-,-,-,-
Enterprise Value,"7,101","2,841","4,634","7,304","13,547","13,541",-,-,-
Last Close Price,8.12,1.60,4.48,1.16,14.61,22.73,-,-,-
PS Ratio,1.25,0.22,0.43,0.05,1.12,4.79,-,-,-
PB Ratio,7.72,1.61,3.10,0.68,3.98,7.97,-,-,-
P/TBV Ratio,7.77,1.61,3.13,0.69,4.11,8.18,-,-,-
P/FCF Ratio,7.07,-,1.30,1.06,-,18.61,-,-,-
P/OCF Ratio,6.98,-,1.28,1.01,-,18.15,-,-,-
EV/Sales Ratio,1.50,0.55,0.67,0.47,1.69,5.24,-,-,-
EV/FCF Ratio,8.01,-,2.01,10.54,-,20.36,-,-,-
Debt / Equity Ratio,2.20,3.25,2.62,4.97,3.16,0.35,2.29,1.70,-
Debt / FCF Ratio,2.02,-,1.10,7.79,-,0.83,-,-,-
Asset Turnover,1.54,1.54,1.37,1.93,1.37,1.17,2.33,-,-
Inventory Turnover,2.72,2.40,2.07,2.82,2.22,2.66,3.32,-,-
Quick Ratio,1.05,1.28,15.26,0.85,0.50,3.72,0.40,0.26,-
Current Ratio,2.83,5.67,49.21,4.30,2.12,5.22,1.85,1.69,-
Return on Equity (ROE),-39.33%,-46.67%,-26.79%,-81.16%,-34.83%,-22.94%,-51.31%,-,-
Return on Assets (ROA),-4.01%,-5.53%,-4.45%,-6.60%,-6.04%,-4.34%,-7.61%,-,-
Return on Capital (ROIC),-4.13%,-5.67%,-4.53%,-6.71%,-6.15%,-4.50%,-7.84%,-,-
Earnings Yield,-5.05%,-34.26%,-9.16%,-183.91%,-7.40%,-2.04%,-,-,-
FCF Yield,14.13%,-54.19%,76.85%,94.20%,-65.10%,5.37%,-,-,-
Buyback Yield / Dilution,-5.72%,-6.44%,-4.78%,-5.83%,-442.15%,-36.67%,-1.80%,-96.75%,-
