Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,124.42,106.41,95.35,76.75,64.2,80.61,76.1,96.32,84.81,169.65,104.37
Cash & Short-Term Investments,124.42,106.41,95.35,76.75,64.2,80.61,76.1,96.32,84.81,169.65,104.37
Cash Growth,46.28%,11.59%,24.24%,19.55%,-20.36%,5.93%,-20.99%,13.56%,-50.01%,62.55%,119.30%
Accounts Receivable,828.23,837.74,648.16,380.85,307.97,290.65,269.84,238.44,210.74,206.53,141.72
Other Receivables,-,10.96,13.35,7.22,7.84,10.38,15.61,-,-,-,12.5
Receivables,828.23,848.7,661.5,388.06,315.82,301.04,285.45,238.44,210.74,206.53,154.21
Inventory,454.03,407.17,397.94,338.01,333.91,294.21,241.23,273.71,313.55,248.51,273.29
Prepaid Expenses,70.77,60.58,60.73,33.82,32.22,33.55,14.93,32.43,41.59,28.31,23.45
Other Current Assets,-,-,-,3.26,-,-,-,-,-,-,-
Total Current Assets,"1,477","1,423","1,216",839.9,746.14,709.4,617.71,640.9,650.7,653,555.32
"Property, Plant & Equipment",158.55,158.79,144.01,141.55,149.15,141.44,155.87,127.39,115.52,141.54,183.11
Long-Term Investments,0.62,0.93,4.74,5.37,-,-,-,-,-,-,-
Goodwill,385.44,387.39,351.48,349.51,336.36,320.3,310.63,307.11,292.21,242.13,122.82
Other Intangible Assets,182.89,183.29,139.53,140.86,138.37,127.61,128.28,132.95,142,118.45,56.28
Long-Term Deferred Tax Assets,-,14.2,13.68,4.24,3.84,4.16,3.11,4,2.61,34.9,43.48
Other Long-Term Assets,94.21,73.8,67.05,74.26,69.29,81.45,52.94,52.52,52.65,40.07,30.71
Total Assets,"2,299","2,241","1,936","1,556","1,443","1,384","1,269","1,265","1,256","1,230",991.72
Accounts Payable,216.96,205.18,191.15,139.01,125.2,141.26,84.94,93.5,106.89,76.12,69.49
Accrued Expenses,146.58,125.66,104.01,162.5,144.85,149.98,141.83,153.38,135.27,105.05,99.23
Short-Term Debt,252.1,178,384,215,60,-,59,88,113,103,125
Current Portion of Long-Term Debt,5.38,7.5,8.17,8.08,244.58,0.85,0.93,0.8,2.26,2.4,2.76
Current Portion of Leases,11.75,12.34,9.71,9.79,9.7,7.5,8.54,-,-,-,-
Current Income Taxes Payable,-,22.29,17.32,13.69,7.72,4.09,4.09,3.09,8.31,6.45,-
Current Unearned Revenue,154.45,145.97,100.29,21.25,19.92,38.46,28.16,43.23,55.76,37.93,55.41
Other Current Liabilities,4.44,-,-,2.38,1.98,2.63,2.63,-,21.82,15.18,15.95
Total Current Liabilities,791.66,696.94,814.64,571.69,613.95,344.77,330.1,382.01,443.32,346.13,367.84
Long-Term Debt,436.84,462.86,129.38,136.49,48.67,276.42,267.07,257.75,248.98,241.75,6.05
Long-Term Leases,19.16,21.63,21.13,23.73,30.36,16.32,19.71,-,-,-,-
Pension & Post-Retirement Benefits,-,6.72,8.2,8.79,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,1.37,3.33,3.29,6.57,11.11,7.16,5.85,7.98,15,20.68,29.16
Other Long-Term Liabilities,85.54,98.7,95.89,82.24,100.63,99.89,73.66,65.4,58.95,52.31,47.83
Total Liabilities,"1,353","1,290","1,073",829.52,804.73,744.55,696.39,713.14,766.26,660.87,450.88
Common Stock,4.39,29.76,24.29,9.84,0.02,105.72,122.55,168.91,169.48,222.53,219.11
Retained Earnings,962.81,942.25,861.23,735.96,663.87,548.84,474.79,399.54,334.75,363.87,338.99
Comprehensive Income & Other,-21.24,-20.93,-22.04,-19.63,-25.46,-14.75,-25.19,-16.73,-14.78,-17.19,-17.26
Shareholders' Equity,945.96,951.08,863.48,726.17,638.42,639.82,572.15,551.73,489.44,569.21,540.85
Total Liabilities & Equity,"2,299","2,241","1,936","1,556","1,443","1,384","1,269","1,265","1,256","1,230",991.72
Total Debt,725.23,682.32,552.38,393.09,393.31,301.08,355.25,346.56,364.24,347.15,133.81
Net Cash (Debt),-600.82,-575.92,-457.03,-316.34,-329.1,-220.47,-279.15,-250.24,-279.43,-177.5,-29.44
Net Cash Per Share,-34.76,-33.53,-26.34,-18.40,-18.42,-11.99,-15.01,-13.37,-15.03,-9.01,-1.47
Filing Date Shares Outstanding,16.98,16.83,16.57,16.8,16.91,17.89,18.08,18.22,18.09,18.78,18.96
Total Common Shares Outstanding,16.98,16.79,17.06,16.76,16.87,17.85,18.17,18.17,18.03,18.69,18.91
Working Capital,685.79,725.92,400.89,268.21,132.19,364.64,287.61,258.89,207.38,306.87,187.48
Book Value Per Share,55.72,56.63,50.63,43.34,37.84,35.84,31.49,30.37,27.14,30.46,28.60
Tangible Book Value,377.63,380.4,372.47,235.8,163.7,191.91,133.25,111.67,55.22,208.63,361.74
Tangible Book Value Per Share,22.24,22.65,21.84,14.07,9.70,10.75,7.33,6.15,3.06,11.16,19.13
Land,16.08,16.09,15.49,15.69,15.03,16.36,16.52,16.56,16.57,14.21,14.5
Buildings,57.29,55.56,48.55,49.17,47.31,57.56,57.71,55.39,56.59,157.12,170.23
Machinery,181.67,182.5,172.76,163.45,153.23,152.36,149.31,150.35,139.38,188.35,175.53
Construction In Progress,12.47,11.84,13.5,13.81,14.71,15.11,15.42,14.32,5.11,3.64,4.98
Leasehold Improvements,14.43,14.64,13.57,13.55,11.6,8.87,9.05,8.31,9.68,9.03,9.02
Order Backlog,-,"1,800","1,700",-,-,-,-,-,-,-,-
