Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"4,378","3,775","2,345","1,971","1,456","1,828","1,344","2,039","1,398","1,404","1,098"
Market Cap Growth,98.15%,61.02%,18.95%,35.35%,-20.32%,35.94%,-34.07%,45.91%,-0.44%,27.80%,-21.68%
Enterprise Value,"5,121","4,340","2,761","2,302","1,781","2,034","1,631","2,313","1,681","1,581","1,135"
Last Close Price,267.03,224.86,137.52,117.83,85.44,101.64,74.64,112.63,77.33,75.15,58.13
PE Ratio,29.08,25.23,18.30,21.48,12.63,24.68,17.86,31.47,-,66.60,41.99
Forward PE,24.31,22.73,16.35,16.62,13.75,18.48,16.03,25.95,20.83,22.98,25.61
PS Ratio,2.56,2.20,1.52,1.54,1.23,1.59,1.15,1.73,1.28,1.46,1.32
PB Ratio,4.79,3.97,2.72,2.71,2.28,2.86,2.35,3.70,2.86,2.47,2.03
P/TBV Ratio,11.97,9.92,6.30,8.36,8.90,9.52,10.09,18.26,25.31,6.73,3.04
P/FCF Ratio,35.11,51.18,-,24.95,29.79,14.96,12.43,22.24,15.54,30.73,26.45
P/OCF Ratio,29.76,38.68,-,20.79,22.82,13.14,10.41,17.12,10.50,22.36,18.55
PEG Ratio,2.13,1.89,1.42,1.45,1.20,1.82,1.05,1.46,1.17,1.20,1.44
EV/Sales Ratio,2.92,2.53,1.79,1.80,1.51,1.77,1.40,1.96,1.54,1.65,1.37
EV/EBITDA Ratio,19.47,16.70,11.62,12.69,10.61,12.01,10.12,15.07,10.94,10.66,9.60
EV/EBIT Ratio,23.21,20.06,14.13,16.11,13.78,16.21,14.64,20.72,18.50,19.76,18.80
EV/FCF Ratio,39.78,58.84,-,29.13,36.44,16.65,15.08,25.22,18.69,34.60,27.34
Debt / Equity Ratio,0.77,0.72,0.64,0.54,0.62,0.47,0.62,0.63,0.74,0.61,0.25
Debt / EBITDA Ratio,2.60,2.48,2.20,2.02,2.18,1.67,2.05,2.26,2.37,2.34,1.13
Debt / FCF Ratio,5.63,9.25,-,4.98,8.05,2.46,3.29,3.78,4.05,7.60,3.22
Asset Turnover,0.80,0.82,0.88,0.85,0.84,0.87,0.92,0.94,0.88,0.87,0.86
Inventory Turnover,2.56,2.80,2.74,2.52,2.42,2.72,2.90,2.56,2.48,2.44,2.19
Quick Ratio,1.20,1.37,0.93,0.81,0.62,1.11,1.10,0.88,0.67,1.09,0.70
Current Ratio,1.87,2.04,1.49,1.47,1.22,2.06,1.87,1.68,1.47,1.89,1.51
Return on Equity (ROE),17.58%,16.49%,16.12%,13.45%,18.05%,12.22%,13.39%,12.45%,-5.50%,3.80%,4.66%
Return on Assets (ROA),6.25%,6.47%,7.00%,5.95%,5.72%,5.91%,5.50%,5.54%,4.57%,4.50%,3.91%
Return on Capital (ROIC),8.56%,8.87%,9.64%,8.30%,8.19%,8.39%,7.63%,7.96%,6.42%,6.28%,5.95%
Return on Capital Employed (ROCE),14.60%,14.00%,17.40%,14.50%,15.60%,12.10%,11.90%,12.60%,11.20%,9.00%,9.70%
Earnings Yield,3.37%,3.96%,5.47%,4.66%,7.92%,4.05%,5.60%,3.18%,-2.08%,1.50%,2.38%
FCF Yield,2.85%,1.95%,-4.67%,4.01%,3.36%,6.69%,8.04%,4.50%,6.43%,3.25%,3.78%
Buyback Yield / Dilution,0.24%,1.01%,-0.95%,3.81%,2.82%,1.14%,0.64%,-0.69%,5.57%,1.93%,2.19%
