Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"3,121","2,781","2,150","1,033","2,054","2,394","1,496",290.67,440.39,866.36,90.99
Investment Securities,"2,760","1,580","2,070","1,943","1,699","1,808",527.03,649.79,694.85,966.26,455.4
Trading Asset Securities,-,-,-,8.82,14.96,-,-,-,-,-,-
Mortgage-Backed Securities,-,"1,256","1,174","1,549","2,217","1,598","1,750","2,213","1,899",505.36,146.95
Total Investments,"2,760","2,836","3,244","3,500","3,932","3,405","2,277","2,862","2,594","1,472",602.35
Gross Loans,"32,846","29,969","26,459","20,786","18,319","19,228","17,570","17,176","16,180","14,778","8,471"
Allowance for Loan Losses,-532.34,-465.55,-339.39,-208.86,-217.38,-295.82,-108.53,-102.26,-94.12,-76.54,-60.85
Other Adjustments to Gross Loans,-,-,-,-6.92,-11.45,-18.63,-37.56,-57.78,-137.34,-214.84,-136.64
Net Loans,"32,314","29,503","26,120","20,570","18,090","18,913","17,424","17,016","15,949","14,487","8,274"
"Property, Plant & Equipment",890.43,739.11,676.82,678.41,695.86,738.84,711.54,567.19,519.81,504.09,296.24
Goodwill,660.79,660.79,660.79,660.79,660.79,660.79,660.79,660.79,660.79,660.12,125.44
Other Intangible Assets,-,-,-,2.75,8.27,14.67,23.75,35.67,48.25,60.83,26.9
Accrued Interest Receivable,178.31,174.03,170.11,125.13,83.03,88.08,75.21,81.97,64.61,51.92,25.5
Other Receivables,-,-,-,-,-,-,-,33.6,224.9,5.8,-
Other Real Estate Owned & Foreclosed,78.58,69.38,61.72,6.62,5.74,11.09,19.1,16.17,25.36,43.7,22.87
Other Long-Term Assets,"1,575","1,455","1,104","1,037",959.99,898.29,846.82,798.13,719.84,739.14,415.36
Total Assets,"41,607","38,259","34,237","27,657","26,530","27,163","23,556","22,388","21,276","18,890","9,879"
Interest Bearing Deposits,"30,082","22,416","19,339","15,302","13,575","11,237","11,629","11,980","11,512","9,790","4,939"
Institutional Deposits,-,"4,857","3,970","1,540","1,650","6,217","4,050","3,210","2,954","3,196","1,517"
Non-Interest Bearing Deposits,"3,902","3,770","4,096","4,658","4,984","3,997","2,795","2,748","2,727","2,589","1,515"
Total Deposits,"33,985","31,043","27,405","21,500","20,209","21,450","18,474","17,938","17,192","15,575","7,971"
Short-Term Borrowings,-,420,800,600,-,8.01,361.25,115.56,69.33,65.11,228.55
Current Portion of Long-Term Debt,300.55,0.81,5.32,6.67,-,-,1.39,-,-,-,-
Current Portion of Leases,-,7.81,-,-,-,-,-,-,-,-,-
Current Income Taxes Payable,-,-,42.5,32.2,11.2,3.2,18,-,-,-,8.7
Accrued Interest Payable,617.37,408.75,143.37,145.16,111.54,176.04,203.79,216.36,186.16,72.62,43.47
Long-Term Debt,349.18,348.58,347.76,346.95,"1,102",224.05,223.66,223.28,222.9,222.52,-
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,750.93,-,1.69,22.32,41.9,41.79
Long-Term Leases,-,56.17,69.9,56.5,64.1,72.7,-,-,-,-,-
Trust Preferred Securities,113.65,113.65,121.65,121.59,121.03,120.48,119.92,119.36,118.8,118.24,117.69
Other Long-Term Liabilities,147.26,153.81,161.83,156.42,71.61,81.48,-,-,-,-,-
Total Liabilities,"35,513","32,553","29,097","22,966","21,691","22,887","19,402","18,615","17,812","16,095","8,412"
"Preferred Stock, Redeemable",338.98,338.98,338.98,338.98,338.98,-,-,-,-,-,-
Common Stock,1.13,1.14,1.13,1.17,1.25,1.29,1.29,1.29,1.28,1.21,0.91
Additional Paid-In Capital,"1,593","1,626","1,612","1,754","2,094","2,266","2,252","2,238","2,222","1,902",756
Retained Earnings,"4,197","3,816","3,284","2,773","2,378","1,947","1,870","1,565","1,250",914.43,706.63
Treasury Stock,-,-,-,-,-,-,-,-,-,-,-6.86
Comprehensive Income & Other,-36.01,-76.14,-97.37,-177.65,23.84,58.25,27.26,-34.11,-12.71,-25.92,7.96
Total Common Equity,"5,754","5,367","4,800","4,351","4,497","4,272","4,150","3,770","3,461","2,792","1,465"
Minority Interest,0.2,0.57,0.98,1.36,3.12,3.09,3.12,3.04,3.06,3.26,3.16
Shareholders' Equity,"6,094","5,706","5,140","4,691","4,839","4,275","4,153","3,773","3,464","2,795","1,468"
Total Liabilities & Equity,"41,607","38,259","34,237","27,657","26,530","27,163","23,556","22,388","21,276","18,890","9,879"
Total Debt,763.39,947.03,"1,345","1,132","1,288","1,176",706.22,459.9,433.35,447.77,388.03
Net Cash (Debt),"2,358","1,834",804.9,-89.43,781.2,"1,217",789.54,-169.22,7.04,418.59,-297.04
Net Cash Growth,14.57%,127.86%,-,-,-35.84%,54.20%,-,-,-98.32%,-,-
Net Cash Per Share,20.73,16.09,7.01,-0.74,6.03,9.41,6.12,-1.31,0.06,4.00,-3.40
Filing Date Shares Outstanding,112.63,113.6,113.05,117.05,124.64,129.3,129.33,128.94,128.58,121.56,90.7
Total Common Shares Outstanding,112.63,113.46,113.15,117.18,125.44,129.35,128.95,128.61,128.29,121.27,90.48
Book Value Per Share,51.09,47.30,42.42,37.13,35.85,33.03,32.19,29.32,26.98,23.02,16.19
Tangible Book Value,"5,094","4,706","4,139","3,687","3,828","3,597","3,466","3,074","2,752","2,071","1,312"
Tangible Book Value Per Share,45.23,41.48,36.58,31.47,30.52,27.81,26.88,23.90,21.45,17.08,14.50
