Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"6,374","10,203","5,976","3,787","1,256","1,354",-,-,-
Market Cap Growth,-51.44%,70.74%,57.79%,201.58%,-7.24%,-,-,-,-
Enterprise Value,"4,747","8,050","4,724","3,445",978,957,-,-,-
Last Close Price,48.69,81.86,62.80,47.95,23.79,26.57,-,-,-
PB Ratio,2.19,3.09,4.82,3.97,4.42,3.91,-,-,-
P/TBV Ratio,2.20,3.09,4.82,3.97,4.42,3.91,-,-,-
Debt / Equity Ratio,0.03,0.02,0.02,0.02,0.06,-,0.00,0.06,0.14
Quick Ratio,8.56,12.61,7.46,23.08,8.61,8.25,5.35,9.85,8.48
Current Ratio,8.83,12.76,7.54,23.26,8.93,8.30,5.59,9.93,8.53
Return on Equity (ROE),-20.83%,-20.41%,-36.67%,-36.12%,-31.78%,-44.58%,-87.48%,-64.46%,-
Return on Assets (ROA),-15.07%,-14.47%,-24.23%,-21.82%,-18.07%,-24.42%,-49.59%,-40.22%,-
Return on Capital (ROIC),-15.79%,-15.32%,-26.10%,-22.82%,-20.04%,-27.97%,-57.01%,-44.58%,-
Return on Capital Employed (ROCE),-27.30%,-16.90%,-37.10%,-24.10%,-35.10%,-25.90%,-99.10%,-55.40%,-50.40%
Earnings Yield,-10.31%,-4.55%,-6.73%,-5.90%,-7.97%,-6.59%,-,-,-
FCF Yield,-9.74%,-5.60%,-6.10%,-4.66%,-10.19%,-3.53%,-,-,-
Buyback Yield / Dilution,-19.29%,-25.57%,-49.75%,-24.95%,-75.73%,-678.53%,-4.55%,-1.81%,-
