Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,732","1,497","1,433","1,318","1,212","1,018",911.38,891.58,888.47,762.23,682.7
Revenue Growth (YoY),17.00%,4.51%,8.71%,8.76%,19.08%,11.64%,2.22%,0.35%,16.56%,11.65%,15.71%
Cost of Revenue,420.27,390.67,378.48,368.64,336.36,310.91,310.02,301.77,279.67,239.26,213.45
Gross Profit,"1,312","1,107","1,054",949.21,875.29,706.6,601.36,589.82,608.79,522.97,469.25
"Selling, General & Admin",700.92,647.63,655.92,742.52,709.39,613.15,531.03,425.14,352.73,323.88,278.13
Research & Development,308.21,298.07,295.51,294.35,260.63,236.99,205.21,181.71,162.89,145.55,126.37
Operating Expenses,"1,009",945.7,951.43,"1,037",970.02,850.13,736.24,606.85,515.62,469.43,404.5
Operating Income,302.93,160.81,102.7,-87.66,-94.73,-143.53,-134.88,-17.03,93.18,53.55,64.75
Interest Expense,-2.96,-6.84,-6.88,-7.79,-7.96,-19.36,-0.21,-0.01,-,-,-
Interest & Investment Income,18.19,25.78,9.26,1.64,0.7,1.22,2.02,2.72,0.86,0.91,1.06
Currency Exchange Gain (Loss),-5.86,-0.91,-5.24,4.56,-6.46,3.7,-2.34,2.42,-6.41,3.76,-5.22
Other Non Operating Income (Expenses),-1.25,-1.41,-1.44,-50.8,-23.54,33.07,0.56,0.36,-1.39,0.02,0
EBT Excluding Unusual Items,311.05,177.44,98.4,-140.05,-131.99,-124.89,-134.85,-11.54,86.24,58.24,60.59
Merger & Restructuring Charges,-1.21,-4.53,-21.75,-21.74,-,-,-,-,-,-2.9,-0.09
Gain (Loss) on Sale of Investments,19.48,1.63,10.89,-,-,-,-,-,-,-,-
Legal Settlements,-,-32.4,-,-,-,-,-,-,-,-,-
Other Unusual Items,0.5,0.5,7.9,-,-,-,-,-,-,-,-
Pretax Income,329.82,142.64,95.44,-161.8,-131.99,-124.89,-134.85,-11.54,86.24,55.34,60.51
Income Tax Expense,51.87,43.45,27.63,183.79,-68.95,-63.52,-44.41,-22.16,-12.31,10.32,24.18
Net Income,277.95,99.19,67.81,-345.58,-63.04,-61.37,-90.43,10.62,98.55,45.02,36.32
Net Income to Common,277.95,99.19,67.81,-345.58,-63.04,-61.37,-90.43,10.62,98.55,45.02,36.32
Net Income Growth,126.41%,46.28%,-,-,-,-,-,-89.23%,118.92%,23.93%,9.22%
Shares Outstanding (Basic),171,171,166,164,163,161,158,157,155,153,153
Shares Outstanding (Diluted),190,179,170,164,163,161,158,166,166,159,158
Shares Change (YoY),10.20%,5.56%,3.62%,0.69%,1.31%,1.62%,-4.83%,0.28%,3.89%,0.87%,0.65%
EPS (Basic),1.62,0.58,0.41,-2.11,-0.39,-0.38,-0.57,0.07,0.64,0.29,0.24
EPS (Diluted),1.46,0.55,0.37,-2.11,-0.39,-0.38,-0.57,0.06,0.59,0.28,0.23
EPS Growth,116.89%,50.76%,-,-,-,-,-,-89.26%,112.50%,21.74%,9.52%
Free Cash Flow,430.75,338.21,201,-13.04,28.66,-25.93,-52.77,92.46,144.49,20.79,56.78
Free Cash Flow Per Share,2.26,1.89,1.18,-0.08,0.18,-0.16,-0.33,0.56,0.87,0.13,0.36
Dividend Per Share,0.090,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060
Dividend Growth,50.00%,-,-,-,-,-,-,-,-,-,33.33%
Gross Margin,75.74%,73.91%,73.58%,72.03%,72.24%,69.44%,65.98%,66.15%,68.52%,68.61%,68.73%
Operating Margin,17.49%,10.74%,7.17%,-6.65%,-7.82%,-14.11%,-14.80%,-1.91%,10.49%,7.03%,9.48%
Profit Margin,16.05%,6.63%,4.73%,-26.22%,-5.20%,-6.03%,-9.92%,1.19%,11.09%,5.91%,5.32%
Free Cash Flow Margin,24.87%,22.59%,14.03%,-0.99%,2.37%,-2.55%,-5.79%,10.37%,16.26%,2.73%,8.32%
EBITDA,316.64,178.4,121.45,-68.88,-66.14,-122.18,-113.48,8.26,117.89,77.68,87.84
EBITDA Margin,18.28%,11.92%,8.48%,-5.23%,-5.46%,-12.01%,-12.45%,0.93%,13.27%,10.19%,12.87%
D&A For EBITDA,13.71,17.59,18.75,18.78,28.59,21.35,21.4,25.3,24.71,24.14,23.09
EBIT,302.93,160.81,102.7,-87.66,-94.73,-143.53,-134.88,-17.03,93.18,53.55,64.75
EBIT Margin,17.49%,10.74%,7.17%,-6.65%,-7.82%,-14.11%,-14.80%,-1.91%,10.49%,7.03%,9.48%
Effective Tax Rate,15.73%,30.46%,28.95%,-,-,-,-,-,-,18.65%,39.97%
Revenue as Reported,"1,732","1,497","1,433","1,318","1,212","1,018",911.38,891.58,888.47,762.23,682.7
Advertising Expenses,-,4.7,3.5,6.6,11.8,8.7,6.7,6.9,6.1,8.9,9.8
