Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,43.38,83.73,125.15,89.79,86.14,129.14,99.3,141.06,152.39,156.74,248.82
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,17.76
Cash & Short-Term Investments,43.38,83.73,125.15,89.79,86.14,129.14,99.3,141.06,152.39,156.74,266.58
Cash Growth,-50.11%,-33.10%,39.37%,4.24%,-33.30%,30.05%,-29.60%,-7.44%,-2.77%,-41.20%,-31.15%
Accounts Receivable,418.16,416.81,436.15,414,372.23,408.22,350.21,372.91,184.35,165.7,147.31
Other Receivables,-,0.62,0.65,0.52,1.96,0.51,0.52,0.71,2.42,0.79,0.23
Receivables,418.16,417.43,436.8,414.51,374.19,408.73,350.72,373.62,186.77,166.49,147.55
Inventory,-,-,-,76.93,119.65,176.38,71,51.03,52.64,50.43,29.12
Prepaid Expenses,63.37,65.85,66.85,55.19,60.28,62.55,93.94,18.97,18.84,29.46,17.65
Other Current Assets,7.1,18.8,126.46,5.2,5.3,5.5,3.4,29.37,17.99,5.7,2
Total Current Assets,532.01,585.8,755.26,641.63,645.57,782.3,618.36,614.04,428.62,408.81,462.89
"Property, Plant & Equipment",242.02,25.95,47.75,66.56,75.31,94.07,104.95,45.51,48.35,25.97,28.08
Long-Term Investments,259.26,262.62,228.56,231.83,215.55,153.22,133.34,99.64,94.05,92.88,46.93
Goodwill,899.07,897.89,995.85,"1,012",999.91,999.91,941.97,880.71,843.17,906.55,537.96
Other Intangible Assets,237.69,431.37,447.86,605.03,534.17,575.04,577.02,430.32,457.39,539.36,304.22
Long-Term Accounts Receivable,-,58.53,59.03,61.07,54.44,-,-,-,-,-,-
Long-Term Deferred Tax Assets,758.17,762.86,773,653.63,725.03,781.82,430.03,422.01,305.62,482.48,422.85
Long-Term Deferred Charges,-,27.67,28.21,27.91,23.79,23.19,20.74,19.54,0.51,1.05,1.6
Other Long-Term Assets,123.15,44.38,65.94,71.48,83.36,113.34,122.11,48.75,134.51,50.74,50.86
Total Assets,"3,051","3,097","3,401","3,371","3,357","3,523","2,949","2,570","2,312","2,508","1,855"
Accounts Payable,24.08,19.62,22.61,54.38,44.63,85.41,54.84,54.54,47.95,42.82,46
Accrued Expenses,101.27,158.17,158.88,107.7,134.61,148.86,126.76,153.28,123.46,109.36,117.2
Current Portion of Long-Term Debt,280,280,102.53,316.21,250.86,174.24,79.56,27.61,100.25,227.99,5.48
Current Portion of Leases,4.54,9.37,-,-,-,-,-,-,-,-,-
Current Unearned Revenue,73.4,72.26,71.44,24.31,30.46,34.06,35.45,35.62,39.79,44.44,54.5
Other Current Liabilities,371.48,371.21,391.11,312.86,292.58,274.21,199.47,186.98,137.43,146.97,102.88
Total Current Liabilities,854.77,910.63,746.56,815.46,753.14,716.78,496.07,458.02,448.88,571.59,326.06
Long-Term Debt,-,-,-,102.26,203.47,304.33,4.64,6,6.96,6.28,13.86
Long-Term Leases,42.45,2.01,11.17,21.86,32.96,43.1,52.99,-,-,-,-
Long-Term Unearned Revenue,576.37,590.73,599.42,-,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,17.51,4.77,17.57,48.23,-
Other Long-Term Liabilities,49.51,63.13,82.06,97.55,118.71,228.79,"2,238","2,963","3,266","3,544","3,467"
Total Liabilities,"1,523","1,566","1,439","1,037","1,108","1,293","2,809","3,432","3,739","4,170","3,807"
Common Stock,0.83,0.92,1.12,1.26,1.25,1.23,0.72,0.64,0.58,0.52,0.46
Additional Paid-In Capital,"2,215","2,176","2,106","2,178","2,166","2,059",138.55,-,-,-,-
Retained Earnings,-687,-485.05,105.59,405.1,331.69,169.47,-,-775.67,"-1,278","-1,663","-1,952"
Treasury Stock,-,-161.56,-250.13,-250.13,-250.13,-,-,-87.22,-150.06,-,-
Comprehensive Income & Other,-0.08,-0.05,-0.03,-0.01,-0,-,-,-,-,-,-0.04
Shareholders' Equity,"1,528","1,531","1,962","2,334","2,249","2,230",139.26,-862.25,"-1,427","-1,662","-1,951"
Total Liabilities & Equity,"3,051","3,097","3,401","3,371","3,357","3,523","2,949","2,570","2,312","2,508","1,855"
Total Debt,326.99,291.38,113.7,440.33,487.29,521.67,137.19,33.61,107.21,234.27,19.34
Net Cash (Debt),-283.61,-207.65,11.45,-350.54,-401.14,-392.53,-37.89,107.44,45.17,-77.54,277.36
Net Cash Growth,-,-,-,-,-,-,-,137.84%,-,-,-49.01%
Net Cash Per Share,-3.27,-2.26,0.10,-2.92,-3.30,-3.34,-0.31,1.78,0.33,-1.54,1.91
Filing Date Shares Outstanding,82.68,82.55,100.19,119.17,118.07,122.78,121.87,63.29,53.27,53.22,47.39
Total Common Shares Outstanding,82.68,82.54,105.03,119.16,118.05,122.53,71.63,61.94,52.76,51.94,46
Working Capital,-322.76,-324.83,8.69,-173.84,-107.57,65.51,122.29,156.02,-20.26,-162.78,136.83
Book Value Per Share,18.48,18.54,18.68,19.59,19.05,18.20,1.94,-13.92,-27.05,-32.00,-42.43
Tangible Book Value,391.51,201.31,518.52,716.97,714.77,654.94,"-1,380","-2,173","-2,728","-3,108","-2,794"
Tangible Book Value Per Share,4.73,2.44,4.94,6.02,6.05,5.34,-19.26,-35.09,-51.70,-59.84,-60.74
Machinery,-,74.27,71.82,70.33,67.5,70.03,71.16,67.11,74.87,65.54,61.65
Leasehold Improvements,-,19.22,19.22,19.27,19.21,19.06,18.88,18.88,18.93,18.02,16.32
