Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"3,436","2,795","1,373","1,140","1,646","2,267","1,185",-,-,-
Market Cap Growth,46.03%,103.60%,20.45%,-30.78%,-27.39%,91.33%,-,-,-,-
Enterprise Value,"3,293","2,708","1,372","1,136","1,605","2,253","1,168",-,-,-
PE Ratio,20.24,23.77,17.33,21.84,35.91,362.33,111.57,-,-,-
PS Ratio,4.40,5.05,3.65,3.48,6.64,13.46,10.46,-,-,-
PB Ratio,3.88,3.83,2.91,2.96,4.18,6.23,5.42,-,-,-
P/FCF Ratio,9.35,10.71,11.82,6.73,18.75,39.52,28.49,-,-,-
P/OCF Ratio,9.35,10.70,11.82,6.72,18.75,39.43,26.62,-,-,-
EV/Sales Ratio,4.23,4.89,3.65,3.47,6.48,13.37,10.31,-,-,-
EV/EBITDA Ratio,14.32,17.58,12.58,16.25,27.37,348.83,60.35,-,-,-
EV/EBIT Ratio,14.57,17.78,12.77,16.61,28.07,362.06,61.03,-,-,-
EV/FCF Ratio,9.04,10.38,11.82,6.71,18.28,39.28,28.10,-,-,-
Debt / Equity Ratio,-,0.01,0.11,0.10,-,-,-,0.20,0.22,0.23
Debt / EBITDA Ratio,-,0.05,0.48,0.52,-,-,-,0.92,2.50,2.12
Debt / FCF Ratio,-,0.03,0.45,0.22,-,-,-,0.85,0.85,1.14
Quick Ratio,0.28,0.28,0.27,0.26,0.26,0.23,0.40,0.24,0.28,0.38
Current Ratio,0.57,0.56,0.50,0.48,0.62,0.53,0.50,0.58,0.50,0.48
Asset Turnover,0.30,0.28,0.25,0.29,0.30,0.30,0.36,0.35,0.36,-
Return on Equity (ROE),22.24%,19.59%,18.50%,13.40%,12.10%,2.15%,6.75%,20.86%,4.99%,-
Return on Assets (ROA),5.41%,4.80%,4.45%,3.83%,4.32%,0.69%,3.82%,6.11%,2.50%,-
Return on Capital (ROIC),17.87%,15.10%,14.21%,10.49%,9.43%,1.34%,7.17%,12.16%,4.50%,-
Earnings Yield,5.17%,4.21%,5.77%,4.58%,2.79%,0.28%,0.90%,-,-,-
FCF Yield,10.70%,9.34%,8.46%,14.85%,5.33%,2.53%,3.51%,-,-,-
Buyback Yield / Dilution,-6.75%,-3.54%,1.82%,1.21%,-2.00%,-17.24%,-28.44%,-,-,-
