Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,860","8,755","6,634","5,564","7,213","4,863","4,873","3,587","5,113","3,155","2,064"
Market Cap Growth,-16.57%,31.96%,19.23%,-22.86%,48.33%,-0.22%,35.86%,-29.84%,62.08%,52.82%,49.50%
Last Close Price,89.18,113.27,85.53,70.98,91.40,61.12,59.89,42.67,60.77,62.98,46.15
PE Ratio,11.39,19.04,12.13,10.20,14.08,15.96,12.16,9.98,29.39,24.80,21.61
PS Ratio,3.63,5.42,4.14,3.77,5.50,5.20,4.85,3.97,7.69,7.38,6.58
PB Ratio,1.03,1.36,1.10,1.01,1.36,0.99,1.12,0.90,1.38,2.11,1.79
P/FCF Ratio,6.52,10.81,16.58,10.28,11.37,12.53,12.52,8.03,45.50,23.32,28.00
P/OCF Ratio,6.00,9.68,13.87,9.20,10.97,11.40,11.29,7.62,30.83,20.71,24.40
Debt / Equity Ratio,0.38,0.45,0.52,0.24,0.31,0.44,0.72,0.52,0.52,0.58,0.47
Debt / FCF Ratio,2.45,3.61,7.87,2.43,2.59,5.55,7.99,4.65,17.26,6.40,7.29
Return on Equity (ROE),9.44%,7.62%,9.73%,10.36%,10.32%,6.74%,9.63%,9.37%,6.69%,9.59%,9.75%
Return on Assets (ROA),1.17%,0.95%,1.25%,1.39%,1.44%,1.00%,1.52%,1.52%,1.04%,1.28%,1.30%
Earnings Yield,8.87%,5.43%,8.47%,10.08%,7.31%,6.42%,8.23%,10.02%,3.40%,4.03%,4.63%
FCF Yield,15.33%,9.25%,6.03%,9.73%,8.79%,7.98%,7.99%,12.46%,2.20%,4.29%,3.57%
Dividend Yield,1.08%,0.78%,1.03%,1.24%,0.79%,1.05%,1.07%,1.36%,0.92%,0.89%,1.04%
Payout Ratio,12.26%,17.72%,14.93%,14.87%,13.41%,18.25%,12.43%,12.65%,20.64%,19.43%,19.17%
Buyback Yield / Dilution,-0.76%,-0.63%,-0.68%,-0.27%,-0.36%,1.44%,0.89%,-20.40%,-47.10%,-15.16%,-8.11%
Total Shareholder Return,0.32%,0.15%,0.35%,0.97%,0.43%,2.49%,1.96%,-19.04%,-46.17%,-14.27%,-7.07%
