Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,445.55,418.97,444.54,651.14,703.28,488.32,420.67,415.96,431.76,389.67,344.61
Revenue Growth (YoY),10.50%,-5.75%,-31.73%,-7.41%,44.02%,16.08%,1.13%,-3.66%,10.80%,13.08%,-1.20%
Cost of Revenue,201.24,194.22,215.58,284.23,342.64,244.73,207.27,201.17,218.09,197.48,171.31
Gross Profit,244.31,224.75,228.96,366.91,360.64,243.59,213.4,214.79,213.66,192.19,173.3
"Selling, General & Admin",113.07,106.03,97.83,91.47,100.65,91.39,91.88,88.56,87.53,81.01,76.85
Research & Development,102.47,100.79,96.07,93.89,84.93,81.71,73.47,70.58,68.5,62.31,57.55
Other Operating Expenses,9.88,-,-,1.13,-,-,-,-,-,-,-
Operating Expenses,238.97,206.82,193.9,186.5,185.58,173.1,165.35,159.14,156.03,143.32,134.39
Operating Income,5.34,17.93,35.06,180.41,175.06,70.49,48.05,55.65,57.64,48.87,38.91
Interest & Investment Income,13.13,13.13,11.25,3.01,1.68,5.26,5.69,4.22,2.76,1.18,-
Currency Exchange Gain (Loss),-0.3,-0.3,-0.4,-,-0.6,-0.5,-0.3,-0.1,-0.1,-0.1,-0.5
Other Non Operating Income (Expenses),-1.03,-,-,-,-,-,-,-,-,-,0.93
EBT Excluding Unusual Items,17.14,30.75,45.91,183.43,176.14,75.25,53.45,59.76,60.3,49.95,39.33
Legal Settlements,-,-,-,-,-,-,168.97,-,-,-,-
Pretax Income,17.14,30.75,45.91,183.43,176.14,75.25,222.41,59.76,60.3,49.95,39.33
Income Tax Expense,-0.81,-1.48,-9.83,12.58,11.72,4.08,28.95,-10.22,32.69,1.05,0.18
Net Income,17.94,32.23,55.74,170.85,164.41,71.18,193.47,69.98,27.61,48.9,39.15
Net Income to Common,17.94,32.23,55.74,170.85,164.41,71.18,193.47,69.98,27.61,48.9,39.15
Net Income Growth,-51.98%,-42.17%,-67.38%,3.92%,131.00%,-63.21%,176.45%,153.48%,-43.54%,24.89%,-34.25%
Shares Outstanding (Basic),56,57,57,58,60,60,59,59,59,58,58
Shares Outstanding (Diluted),57,57,58,58,61,61,60,60,61,59,59
Shares Change (YoY),-0.75%,-0.85%,-1.28%,-5.04%,1.02%,2.03%,-1.10%,-1.30%,3.13%,-0.26%,-3.67%
EPS (Basic),0.32,0.57,0.97,2.96,2.73,1.19,3.31,1.19,0.47,0.85,0.68
EPS (Diluted),0.32,0.56,0.97,2.93,2.67,1.17,3.24,1.16,0.45,0.82,0.66
EPS Growth,-51.13%,-42.27%,-66.89%,9.74%,128.20%,-63.89%,179.31%,157.78%,-45.45%,25.00%,-31.61%
Free Cash Flow,79.65,63.9,44.88,176.13,183.6,55.04,200.39,59.29,49.54,85.7,80.83
Free Cash Flow Per Share,1.40,1.12,0.78,3.02,2.99,0.91,3.36,0.98,0.81,1.45,1.36
Dividend Per Share,0.840,0.810,0.770,0.720,0.540,0.420,0.350,0.320,0.280,0.260,0.240
Dividend Growth,5.00%,5.20%,6.94%,33.33%,28.57%,20.00%,9.38%,14.29%,7.69%,8.33%,9.09%
Gross Margin,54.83%,53.64%,51.50%,56.35%,51.28%,49.88%,50.73%,51.64%,49.49%,49.32%,50.29%
Operating Margin,1.20%,4.28%,7.89%,27.71%,24.89%,14.44%,11.42%,13.38%,13.35%,12.54%,11.29%
Profit Margin,4.03%,7.69%,12.54%,26.24%,23.38%,14.58%,45.99%,16.83%,6.40%,12.55%,11.36%
Free Cash Flow Margin,17.88%,15.25%,10.10%,27.05%,26.11%,11.27%,47.63%,14.25%,11.47%,21.99%,23.46%
EBITDA,34.7,52.51,72.44,217.76,210.01,98.59,72.46,79.83,82.09,72.35,62.41
EBITDA Margin,7.79%,12.53%,16.29%,33.44%,29.86%,20.19%,17.22%,19.19%,19.01%,18.57%,18.11%
D&A For EBITDA,29.36,34.58,37.38,37.35,34.95,28.1,24.4,24.19,24.46,23.48,23.5
EBIT,5.34,17.93,35.06,180.41,175.06,70.49,48.05,55.65,57.64,48.87,38.91
EBIT Margin,1.20%,4.28%,7.89%,27.71%,24.89%,14.44%,11.42%,13.38%,13.35%,12.54%,11.29%
Effective Tax Rate,-,-,-,6.86%,6.65%,5.42%,13.01%,-,54.21%,2.11%,0.46%
Advertising Expenses,-,1.5,1.3,1.4,1.3,1.2,1.4,1.2,1.3,1.3,1.1
