Period Ending,"Sep '25Sep 28, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Dec '22Dec 25, 2022","Dec '21Dec 26, 2021","Dec '20Dec 27, 2020","Dec '19Dec 29, 2019","Dec '18Dec 30, 2018","Dec '17Dec 31, 2017","Dec '16Dec 25, 2016","Dec '15Dec 27, 2015"
Cash & Equivalents,612.58,"2,041",697.75,400.99,427.66,547.62,260.57,338.39,581.51,292.54,439.64
Short-Term Investments,-,10.22,-,-,-,-,-,-,-,-,-
Cash & Short-Term Investments,612.58,"2,051",697.75,400.99,427.66,547.62,260.57,338.39,581.51,292.54,439.64
Cash Growth,-67.55%,193.95%,74.01%,-6.24%,-21.91%,110.17%,-23.00%,-41.81%,98.78%,-33.46%,-23.69%
Accounts Receivable,"1,100",967.95,"1,020",977.29,939.37,685.41,689.85,526.92,543.28,433.17,340.23
Other Receivables,98.76,102.43,220.5,244.82,84.54,101.35,108.39,69.81,20.02,15.77,81.99
Receivables,"1,208","1,079","1,292","1,256","1,043",812.47,802.43,601.36,568.43,449.56,423.07
Inventory,"1,969","1,783","1,985","1,990","1,576","1,359","1,384","1,160","1,255",975.61,801.36
Prepaid Expenses,253.24,193.53,193.49,192.62,219.48,156.78,126.22,108.63,101.78,76.49,73.93
Restricted Cash,2.76,2.32,33.48,33.77,22.46,0.78,20.01,23.19,8.02,4.98,-
Other Current Assets,21.27,10.42,2.34,18.48,18.09,26.26,5.48,3.57,1.48,10.7,8.23
Total Current Assets,"4,067","5,120","4,204","3,892","3,306","2,903","2,598","2,235","2,516","1,810","1,746"
"Property, Plant & Equipment","3,600","3,394","3,425","3,247","3,269","2,946","2,894","2,162","2,095","1,834","1,353"
Goodwill,"1,328","1,239","1,286","1,228","1,337","1,005",973.75,949.75,"1,002",887.22,156.57
Other Intangible Assets,834.86,806.23,853.98,846.02,963.24,589.91,596.05,564.13,617.16,471.59,47.45
Long-Term Deferred Tax Assets,29.51,29.48,4.89,1.97,5.31,5.47,4.43,4.25,-,-,-
Other Long-Term Assets,93.44,62.02,35.65,41.57,32.41,24.78,36.33,16.72,18.17,19.26,15.67
Total Assets,"9,952","10,651","9,810","9,256","8,913","7,474","7,102","5,931","6,249","5,022","3,318"
Accounts Payable,"1,507","1,427","1,452","1,600","1,400","1,038",997.6,835.09,735.92,794.85,489.95
Accrued Expenses,818.09,835.74,768.12,653.53,572.63,543.13,498.25,377.74,406.09,340.04,309.53
Short-Term Debt,-,-,-,-,-,-,-,-,-,-,28.73
Current Portion of Long-Term Debt,0.91,0.32,-,25.31,25.41,25.68,26.39,30.41,47.78,15.71,0.09
Current Portion of Leases,58.07,63.86,68.11,80.19,83.88,72.01,66.24,-,-,-,-
Current Income Taxes Payable,147.67,60.1,31.68,58.41,81.98,-,7.08,8.22,222.07,27.58,13.23
Current Unearned Revenue,55.98,48.9,84.96,34.49,22.32,65.92,41.77,33.33,36.61,-,-
Other Current Liabilities,101.1,116.44,91.17,118.15,204.21,192.48,10.83,11.44,4.06,6.98,5.44
Total Current Liabilities,"2,689","2,552","2,496","2,570","2,391","1,938","1,648","1,296","1,453","1,185",846.96
Long-Term Debt,"3,090","3,205","3,339","3,164","3,188","2,254","2,274","2,291","2,626","1,396",985.51
Long-Term Leases,194.97,197.2,205.16,233.36,274.98,218.68,237.53,3.71,9.24,-,-
Pension & Post-Retirement Benefits,-,2.37,5.31,26.17,41.78,92.13,60.88,48.25,54.96,58.02,59.76
Long-Term Deferred Tax Liabilities,407.77,422.95,385.55,364.18,369.19,339.83,301.91,237.42,208.49,251.81,131.88
Other Long-Term Liabilities,14.79,17.67,34.87,44.84,59.96,56.64,43.95,34.53,41.4,44.7,32.52
Total Liabilities,"6,397","6,397","6,466","6,402","6,324","4,899","4,566","3,912","4,393","2,936","2,057"
Common Stock,2.63,2.62,2.62,2.62,2.61,2.61,2.61,2.6,2.6,307.29,2.6
Additional Paid-In Capital,"2,014","1,994","1,979","1,970","1,964","1,954","1,955","1,945","1,933","3,100","1,676"
Retained Earnings,"2,158","3,158","2,071","1,749","1,004",972.57,877.81,421.89,173.94,-782.79,-261.25
Treasury Stock,-544.69,-544.69,-544.69,-544.69,-345.13,-345.13,-234.89,-231.99,-231.76,-217.12,-99.23
Comprehensive Income & Other,-87.37,-370.3,-176.48,-336.45,-48,-20.62,-75.13,-127.83,-31.14,-329.86,-58.93
Total Common Equity,"3,542","4,239","3,331","2,841","2,577","2,564","2,526","2,010","1,846","2,078","1,259"
Minority Interest,13.74,13.99,13.21,12.46,11.85,11.59,10.4,9.79,9.51,8.27,2.95
Shareholders' Equity,"3,556","4,253","3,345","2,853","2,589","2,575","2,536","2,020","1,856","2,086","1,262"
Total Liabilities & Equity,"9,952","10,651","9,810","9,256","8,913","7,474","7,102","5,931","6,249","5,022","3,318"
Total Debt,"3,344","3,466","3,612","3,503","3,572","2,571","2,604","2,326","2,683","1,412","1,014"
Net Cash (Debt),"-2,732","-1,415","-2,915","-3,102","-3,144","-2,023","-2,343","-1,987","-2,102","-1,119",-574.68
Net Cash Per Share,-11.46,-5.95,-12.28,-12.90,-12.88,-8.22,-9.38,-7.98,-8.44,-4.40,-2.22
Filing Date Shares Outstanding,237.55,237.12,236.79,236.47,243.9,243.51,249.57,248.97,248.75,248.37,254.82
Total Common Shares Outstanding,237.55,237.12,236.79,236.47,243.68,243.51,249.57,248.97,248.75,249.05,254.82
Working Capital,"1,378","2,568","1,709","1,321",915.13,965.13,950.08,938.43,"1,064",624.73,899.26
Book Value Per Share,14.91,17.88,14.07,12.01,10.58,10.53,10.12,8.07,7.42,8.34,4.94
Tangible Book Value,"1,379","2,194","1,191",766.85,276.59,968.6,955.86,495.92,227.1,719.05,"1,055"
Tangible Book Value Per Share,5.81,9.25,5.03,3.24,1.14,3.98,3.83,1.99,0.91,2.89,4.14
Land,217.71,215.31,273.85,263.49,260.08,255.17,222.08,196.77,205.09,150.13,105.17
Buildings,"2,397","2,308","2,171","2,065","2,043","1,984","1,754","1,698","1,682","1,487","1,131"
Machinery,"4,482","4,268","4,047","3,729","3,671","3,304","3,204","2,677","2,592","2,327","1,711"
Construction In Progress,491.5,299.93,458.15,358.82,229.84,199.16,229.02,269.17,187.09,255.09,152.62
