Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,762",749,201,184,300,455,131,165,88,116,36
Market Cap Growth,318.14%,273.16%,9.19%,-38.70%,-34.02%,245.72%,-20.40%,88.40%,-24.59%,223.55%,-37.52%
Enterprise Value,"2,319",739,194,154,244,429,132,153,85,96,29
Last Close Price,22.62,10.67,3.17,2.92,4.75,9.50,4.86,7.00,4.80,6.44,2.28
PB Ratio,5.19,6.88,2.78,2.14,2.69,7.89,4.01,6.20,2.55,3.10,0.47
P/TBV Ratio,5.19,6.88,2.78,2.14,2.69,7.89,4.01,6.20,2.55,3.10,0.47
Debt / Equity Ratio,0,0,0,0.00,0.00,0.17,0.85,0.88,0.67,0.52,-
Quick Ratio,41.17,6.92,0.82,1.85,8.38,6.39,4.00,8.93,5.42,11.90,5.33
Current Ratio,42.25,7.01,0.88,1.90,8.55,6.55,4.18,9.01,5.50,11.99,5.65
Return on Equity (ROE),-14.54%,-15.99%,-23.74%,-29.09%,-42.49%,-488.27%,-38.04%,-154.94%,-23.06%,-81.51%,-7.71%
Return on Assets (ROA),-14.81%,-32.15%,-23.84%,-16.03%,-22.87%,-19.62%,-20.06%,-18.22%,-15.54%,-8.35%,-4.93%
Return on Capital (ROIC),-15.41%,-35.61%,-27.50%,-18.17%,-28.43%,-28.92%,-34.91%,-32.66%,-27.17%,-11.69%,-4.97%
Return on Capital Employed (ROCE),-14.10%,-46.60%,-46.20%,-33.00%,-34.30%,-31.40%,-35.90%,-28.50%,-28.50%,-11.70%,-14.90%
Earnings Yield,-1.60%,-1.93%,-9.35%,-15.62%,-11.99%,-48.54%,-8.59%,-28.63%,-9.46%,-39.71%,-30.40%
FCF Yield,-2.20%,-1.94%,-10.78%,-13.72%,-9.66%,-6.45%,-20.82%,-16.78%,-24.39%,-9.73%,-29.95%
Buyback Yield / Dilution,-25.30%,-3.84%,-0.32%,-15.51%,-59.32%,-34.42%,-17.40%,-17.87%,-5.77%,-13.34%,-10.23%
