Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"4,793","5,312","4,072","2,567","1,308","1,079","2,366","3,213","2,286",897.73,"1,866"
Other Revenue,44.71,65.67,74.58,80.36,49.11,45.66,104.86,113.83,70.76,18.13,24.93
Revenue,"4,838","5,378","4,146","2,648","1,357","1,124","2,471","3,327","2,357",915.87,"1,891"
Revenue Growth (YoY),-16.59%,29.70%,56.61%,95.09%,20.71%,-54.50%,-25.74%,41.17%,157.32%,-51.57%,-40.57%
Cost of Revenue,"3,644","3,920","2,811","1,847","1,082",801.92,"1,774","2,402","1,718",648.78,"1,232"
Gross Profit,"1,194","1,458","1,335",801.04,275.13,322.33,696.99,924.51,639.14,267.09,658.91
"Selling, General & Admin",266.09,268.34,169.96,116.59,92.38,97.61,133.51,134.07,105.85,69.21,74.91
Other Operating Expenses,21.12,-10.71,-4.57,-12.59,2.19,10.14,11.6,11.39,0.99,-,-
Operating Expenses,"1,233","1,316",890.31,587.94,676.15,775.97,952.77,995.98,861.18,737.64,786.67
Operating Income,-39.66,142.54,444.83,213.1,-401.02,-453.64,-255.78,-71.47,-222.04,-470.55,-127.76
Interest Expense,-70.56,-71.96,-52.87,-40.26,-41.98,-40.77,-75.2,-51.58,-37.47,-40.37,-36.48
Interest & Investment Income,5.14,5.73,6.12,0.36,0.22,1.25,6.01,5.6,1.87,0.33,0.96
Other Non Operating Income (Expenses),0.01,-0.98,1.9,-3.27,-0.28,0.76,0.39,0.75,0.34,0.07,0.03
EBT Excluding Unusual Items,-105.06,75.33,399.98,169.93,-443.05,-492.4,-324.58,-116.7,-257.3,-510.52,-163.24
Merger & Restructuring Charges,-4.47,-33.04,-98.08,-2.07,-12.06,-46.64,-,-2.74,-74.45,-,-
Impairment of Goodwill,-,-885.24,-,-,-,-395.06,-17.8,-211.13,-,-,-124.56
Gain (Loss) on Sale of Assets,-,-,-,-,1.43,3.08,13.9,28.96,33.51,14.77,10.61
Asset Writedown,-27.8,-114,-,-,-266.1,-,-201.9,-65.8,-29,-,-153
Legal Settlements,-,-,5.2,-,-,-,-,-,-0.56,-0.45,-12.26
Pretax Income,-137.33,-956.95,307.1,167.86,-719.78,-931.02,-530.38,-367.41,-327.8,-496.2,-442.45
Income Tax Expense,-2.08,9.45,61.15,13.2,-62.7,-127.33,-104.68,-45.99,-333.71,-177.56,-147.96
Earnings From Continuing Operations,-135.25,-966.4,245.95,154.66,-657.08,-803.69,-425.7,-321.42,5.91,-318.63,-294.49
Earnings From Discontinued Operations,-,-,-,-,2.53,-,-,-,-,-,-
Net Income to Company,-135.25,-966.4,245.95,154.66,-654.55,-803.69,-425.7,-321.42,5.91,-318.63,-294.49
Minority Interest in Earnings,-0.87,-1.63,0.34,-,-,-,-,-,-,-,-
Net Income,-136.12,-968.03,246.29,154.66,-654.55,-803.69,-425.7,-321.42,5.91,-318.63,-294.49
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,0.17,-,-3.02
Net Income to Common,-136.12,-968.03,246.29,154.66,-654.55,-803.69,-425.7,-321.42,5.74,-318.63,-291.46
Net Income Growth,-,-,59.25%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),386,397,280,216,195,188,203,219,198,146,145
Shares Outstanding (Diluted),386,397,280,219,195,188,203,219,200,146,145
Shares Change (YoY),-4.48%,41.83%,27.59%,12.55%,3.73%,-7.40%,-7.14%,9.39%,36.74%,0.52%,0.03%
EPS (Basic),-0.35,-2.44,0.88,0.72,-3.36,-4.27,-2.10,-1.47,0.03,-2.18,-2.00
EPS (Diluted),-0.36,-2.44,0.88,0.70,-3.36,-4.27,-2.10,-1.47,0.03,-2.18,-2.00
EPS Growth,-,-,25.71%,-,-,-,-,-,-,-,-
Free Cash Flow,288.66,497.15,390.22,129.39,-70.82,133.38,348.69,89.21,-266.38,185.24,255.66
Free Cash Flow Per Share,0.75,1.25,1.39,0.59,-0.36,0.71,1.72,0.41,-1.33,1.27,1.76
Dividend Per Share,0.320,0.320,0.320,0.200,0.080,0.100,0.160,0.140,0.080,0.160,0.400
Dividend Growth,-,-,60.00%,150.00%,-20.00%,-37.50%,14.29%,75.00%,-50.00%,-60.00%,-
Gross Margin,24.67%,27.11%,32.20%,30.25%,20.27%,28.67%,28.21%,27.79%,27.12%,29.16%,34.84%
Operating Margin,-0.82%,2.65%,10.73%,8.05%,-29.55%,-40.35%,-10.35%,-2.15%,-9.42%,-51.38%,-6.75%
Profit Margin,-2.81%,-18.00%,5.94%,5.84%,-48.23%,-71.49%,-17.23%,-9.66%,0.24%,-34.79%,-15.41%
Free Cash Flow Margin,5.97%,9.24%,9.41%,4.89%,-5.22%,11.86%,14.11%,2.68%,-11.30%,20.23%,13.52%
EBITDA,934.26,"1,200","1,176",697.05,182.06,208.97,546.19,779.05,532.31,197.89,584
EBITDA Margin,19.31%,22.32%,28.37%,26.33%,13.42%,18.59%,22.11%,23.42%,22.59%,21.61%,30.88%
