Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,653.03,607.57,554.46,489.72,411.17,362.96,321.61,278.89,230.83,197.93,164.28
Revenue Growth (YoY),10.13%,9.58%,13.22%,19.10%,13.28%,12.86%,15.32%,20.82%,16.62%,20.48%,22.99%
Cost of Revenue,114.64,111.48,107.49,102.79,89.44,79.23,69.52,66.19,51.58,43.13,34.33
Gross Profit,538.4,496.09,446.97,386.94,321.73,283.74,252.09,212.7,179.25,154.8,129.96
"Selling, General & Admin",209.23,197.04,173.43,155.2,125.46,114.54,111.6,109.09,99.19,88.1,74.71
Research & Development,116.63,111.85,110.47,101.19,81.29,72.55,68.24,53.26,42.82,36.59,30.44
Operating Expenses,325.87,308.89,283.9,256.39,206.75,187.08,179.84,162.34,142.01,124.69,105.15
Operating Income,212.53,187.2,163.07,130.55,114.98,96.65,72.25,50.36,37.24,30.11,24.81
Interest Expense,-,-,-,-,-,-0.01,-0.11,-0.17,-0,-0.03,-0.01
Interest & Investment Income,25.1,25.78,16.91,5.19,2.29,5.39,8.44,6.08,2.67,1.32,0.57
Currency Exchange Gain (Loss),-1.45,-3.19,-0.7,-1.77,-0.3,0.26,-0.35,-0.58,-0.36,-0.77,-0.44
Other Non Operating Income (Expenses),0.06,0.03,-0.11,-0.27,-0.25,-0.28,-0.25,-0.22,-0.02,0.85,0.45
EBT Excluding Unusual Items,236.23,209.82,179.17,133.7,116.72,102.01,79.98,55.48,39.54,31.48,25.37
Gain (Loss) on Sale of Investments,-,-,-0.52,-,-0.02,0.03,-,-,-,-1,-0.59
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-0.01,-0.16,-0.06,-0.01
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-0.26
Other Unusual Items,-,-,-,-,-27.3,-,-,-,-,-,-
Pretax Income,236.23,209.82,178.65,133.7,89.4,102.04,79.98,55.47,39.38,30.43,24.52
Income Tax Expense,47.1,36.14,27.06,25.71,18.44,10.47,10.65,-1.84,-1.06,11.21,8.66
Net Income,189.14,173.68,151.6,107.99,70.96,91.57,69.34,57.3,40.44,19.22,15.87
Net Income to Common,189.14,173.68,151.6,107.99,70.96,91.57,69.34,57.3,40.44,19.22,15.87
Net Income Growth,11.05%,14.57%,40.38%,52.19%,-22.51%,32.07%,21.00%,41.70%,110.36%,21.17%,-47.54%
Shares Outstanding (Basic),36,37,37,38,39,39,39,39,37,35,34
Shares Outstanding (Diluted),37,37,38,39,40,41,41,42,40,38,38
Shares Change (YoY),-2.33%,-0.66%,-4.43%,-1.93%,-1.53%,-1.32%,-1.46%,4.56%,4.44%,0.48%,2.73%
EPS (Basic),5.21,4.72,4.11,2.81,1.82,2.34,1.77,1.47,1.08,0.55,0.47
EPS (Diluted),5.16,4.65,4.03,2.74,1.77,2.25,1.68,1.37,1.01,0.50,0.42
EPS Growth,13.91%,15.38%,47.08%,54.80%,-21.33%,33.93%,22.63%,35.64%,102.00%,19.05%,-48.15%
Free Cash Flow,271.36,231.76,235.82,183.49,176.19,150.05,133.03,102.69,69.83,46.07,45.91
Free Cash Flow Per Share,7.40,6.21,6.27,4.66,4.39,3.68,3.22,2.45,1.74,1.20,1.20
Gross Margin,82.45%,81.65%,80.61%,79.01%,78.25%,78.17%,78.38%,76.27%,77.65%,78.21%,79.11%
Operating Margin,32.55%,30.81%,29.41%,26.66%,27.96%,26.63%,22.47%,18.06%,16.13%,15.21%,15.10%
Profit Margin,28.96%,28.59%,27.34%,22.05%,17.26%,25.23%,21.56%,20.55%,17.52%,9.71%,9.66%
Free Cash Flow Margin,41.55%,38.15%,42.53%,37.47%,42.85%,41.34%,41.37%,36.82%,30.25%,23.27%,27.94%
EBITDA,227.99,205.71,190.06,165.17,150.88,129.5,103.45,79.27,57.88,47.1,39.17
EBITDA Margin,34.91%,33.86%,34.28%,33.73%,36.70%,35.68%,32.17%,28.42%,25.07%,23.80%,23.84%
D&A For EBITDA,15.46,18.51,26.99,34.62,35.9,32.85,31.2,28.9,20.64,16.99,14.36
EBIT,212.53,187.2,163.07,130.55,114.98,96.65,72.25,50.36,37.24,30.11,24.81
EBIT Margin,32.55%,30.81%,29.41%,26.66%,27.96%,26.63%,22.47%,18.06%,16.13%,15.21%,15.10%
Effective Tax Rate,19.94%,17.22%,15.14%,19.23%,20.62%,10.26%,13.31%,-,-,36.82%,35.30%
Advertising Expenses,-,2.9,3,3.3,2.1,1.6,1.5,0.09,0.48,0.12,6.1
