Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '11Dec 31, 2011","Dec '10Dec 31, 2010"
Market Capitalization,"2,627","2,134",69,80,99,348,22,3,0,0,2
Market Cap Growth,2200.11%,3012.13%,-14.80%,-19.05%,-71.46%,1477.29%,680.31%,908.04%,-33.24%,-72.73%,-97.60%
Enterprise Value,"2,024","2,139",67,79,89,346,23,3,1,1,2
Last Close Price,11.50,16.55,0.91,1.51,3.41,14.11,3.00,3.00,0.80,1.20,4.40
PE Ratio,-,-,-,-,-,-,-,-,-,3.20,-
PS Ratio,4720.55,5721.26,191.54,591.81,-,-,-,-,-,0.12,0.40
PB Ratio,2.45,19.89,1.00,1.24,6.14,23.90,-7.85,-1.87,-187.19,-0.50,-1.51
P/TBV Ratio,3.16,49.93,65.06,-,6.14,23.90,-,-,-,-,-
EV/Sales Ratio,3707.75,5735.02,186.76,584.21,-,-,-,-,-,0.18,0.49
Debt / Equity Ratio,0.00,0.01,0.01,0.02,0.00,0.02,-0.57,-2.09,-,-0.32,-0.27
Asset Turnover,0.00,0.00,0.01,0.00,-,-,-,-,-,6.88,3.59
Inventory Turnover,0.58,5.74,-,-,-,-,-,-,-,10.07,5.23
Quick Ratio,154.36,17.32,0.44,1.16,15.47,21.92,0.03,0.53,-,0.23,0.15
Current Ratio,154.87,17.36,0.55,1.19,15.91,21.98,0.04,0.54,-,0.32,0.37
Return on Equity (ROE),-14.57%,-77.89%,-40.38%,-63.89%,-181.30%,-420.56%,-,-,-,-,-
Return on Assets (ROA),-4.84%,-14.22%,-21.46%,-37.38%,-65.78%,-140.62%,-163.70%,-,-,-13.30%,-54.32%
Return on Capital (ROIC),-4.98%,-18.21%,-24.17%,-43.44%,-69.04%,-159.52%,-707.27%,-438.77%,-,-,-
Return on Capital Employed (ROCE),-4.20%,-17.40%,-37.70%,-38.80%,-105.70%,-119.00%,90.60%,382.30%,11666.70%,12.70%,91.30%
Earnings Yield,-2.65%,-3.21%,-39.41%,-32.28%,-28.06%,-7.10%,-37.95%,-371.22%,-62.32%,31.25%,-64.92%
FCF Yield,-1.22%,-1.04%,-29.79%,-20.19%,-6.88%,-3.32%,-10.26%,-83.65%,-,-1.85%,-12.15%
Buyback Yield / Dilution,-60.05%,-40.94%,-81.60%,-25.80%,-4.26%,-279.87%,-55.84%,-400.58%,-169.25%,-,-
