Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,15.75,27.12,15.84,106.48,524,37.51,7.28,11.28,13.11,25.1,10.58
Revenue Growth (YoY),-44.90%,71.17%,-85.12%,-79.68%,1296.82%,415.23%,-35.48%,-13.91%,-47.78%,137.27%,72.25%
Cost of Revenue,138.9,159.96,210.41,192.12,161.84,122.4,94.74,73.06,67.41,72.69,56.49
Gross Profit,-123.15,-132.84,-194.57,-85.64,362.16,-84.89,-87.46,-61.78,-54.3,-47.59,-45.91
"Selling, General & Admin",54,51.43,74.23,55.06,56.29,42.58,33.54,25.31,24.64,24.9,23.38
Other Operating Expenses,-4.86,-2.2,-4.37,-6.05,-5.83,-2.04,0.14,-0.6,-1.66,-1.47,-0.78
Operating Expenses,47.36,49.23,69.86,49.01,50.46,40.54,33.68,24.71,22.98,23.43,22.6
Operating Income,-170.51,-182.07,-264.43,-134.65,311.7,-125.43,-121.14,-86.48,-77.28,-71.03,-68.51
Interest Expense,-62.3,-63.74,-41.56,-11.7,-7.47,-3.83,-3.81,-2.16,-2.23,-2.17,-2.57
Interest & Investment Income,15.39,21.42,19.56,0.61,0.16,0.94,3.55,2.73,0.12,0.07,0.12
Currency Exchange Gain (Loss),9.45,-10.51,-1.69,23.24,29.66,-13.61,-0.27,4.38,-3.57,1.03,-2.5
Other Non Operating Income (Expenses),-7.22,-,-,2.76,-0.16,0.48,-2.53,0.21,-2.44,0.79,-7.16
EBT Excluding Unusual Items,-215.2,-234.9,-288.11,-119.75,333.89,-141.44,-124.2,-81.32,-85.4,-71.31,-80.62
Merger & Restructuring Charges,-5.19,-5.19,-2.55,-,-,-,-,-0.1,-2.56,-0.9,-
Gain (Loss) on Sale of Investments,-,-,-,0.3,3,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,1.15,1.15,-,-,-,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-,-,-5.5,-,-,-1.3
Other Unusual Items,-5.51,1.82,-15.9,-8.81,-4.08,-,-,3.85,8.5,-0.02,-1.34
Pretax Income,-224.74,-237.13,-306.56,-128.26,332.81,-141.44,-124.2,-83.07,-79.46,-72.23,-83.26
Income Tax Expense,10.4,2.43,1.92,-1.47,3.22,-16.42,-,0.23,-0.2,1.15,-1.18
Net Income,-235.15,-239.56,-308.48,-126.79,329.59,-125.02,-124.2,-83.3,-79.26,-73.37,-82.08
Net Income to Common,-235.15,-239.56,-308.48,-126.79,329.59,-125.02,-124.2,-83.3,-79.26,-73.37,-82.08
Shares Outstanding (Basic),54,49,48,47,46,44,40,36,27,25,22
Shares Outstanding (Diluted),54,49,48,47,47,44,40,36,27,25,22
Shares Change (YoY),11.86%,2.05%,2.00%,-0.23%,5.34%,11.17%,12.23%,32.08%,7.78%,13.38%,28.98%
EPS (Basic),-4.34,-4.92,-6.47,-2.71,7.17,-2.81,-3.11,-2.34,-2.94,-2.93,-3.72
EPS (Diluted),-4.34,-4.92,-6.47,-2.71,7.04,-2.81,-3.11,-2.34,-2.94,-2.93,-3.72
Free Cash Flow,-153.6,-186.1,-153.08,-162.75,270.52,-142.1,-104.34,-78.42,-68.73,-87.48,-0.14
Free Cash Flow Per Share,-2.84,-3.83,-3.21,-3.48,5.78,-3.20,-2.61,-2.20,-2.55,-3.49,-0.01
Gross Margin,-,-,-,-80.42%,69.11%,-226.28%,-,-,-,-189.63%,-
Operating Margin,-1082.54%,-671.38%,-1669.05%,-126.45%,59.48%,-334.34%,-1663.78%,-766.42%,-589.61%,-283.00%,-647.68%
Profit Margin,-1492.90%,-883.35%,-1947.09%,-119.07%,62.90%,-333.27%,-1705.82%,-738.25%,-604.72%,-292.35%,-775.98%
Free Cash Flow Margin,-975.16%,-686.22%,-966.25%,-152.84%,51.63%,-378.79%,-1432.98%,-694.98%,-524.38%,-348.54%,-1.31%
EBITDA,-154.37,-169.43,-252.53,-126.11,319,-114.78,-114.47,-79.57,-69.74,-65.23,-63.71
EBITDA Margin,-,-,-,-118.43%,60.88%,-,-,-,-,-259.88%,-
D&A For EBITDA,16.15,12.64,11.9,8.54,7.3,10.65,6.67,6.92,7.54,5.8,4.8
EBIT,-170.51,-182.07,-264.43,-134.65,311.7,-125.43,-121.14,-86.48,-77.28,-71.03,-68.51
EBIT Margin,-,-,-,-126.45%,59.48%,-,-,-,-,-283.00%,-
Effective Tax Rate,-,-,-,-,0.97%,-,-,-,-,-,-
Revenue as Reported,15.75,27.12,15.84,106.48,524,37.51,7.28,11.28,13.11,25.1,10.58
