Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,161","3,393","3,195",567,"2,603","1,147",28,22,321,17,9
Market Cap Growth,61.01%,6.21%,463.32%,-78.22%,126.90%,4042.15%,26.54%,-93.18%,1756.53%,83.28%,-82.80%
Enterprise Value,"5,702","2,878","2,927",332,"2,540","1,117",14,23,313,3,-7
Last Close Price,13.88,10.21,15.47,3.39,22.33,16.99,1.12,1.51,28.40,3.42,2.17
PE Ratio,34.51,31.02,-,-,-,-,-,-,-,-,-
PS Ratio,7.25,9.01,11.38,2.19,12.21,94.97,4.05,2.79,1190.74,178.86,93.07
PB Ratio,1.47,1.08,1.69,0.49,1.93,4.14,1.06,4.87,6.47,1.16,0.59
P/TBV Ratio,1.54,1.14,1.71,0.50,2.61,4.15,1.08,4.85,8.30,1.24,0.65
P/OCF Ratio,-,-,96.56,1070.07,-,-,-,-,-,-,-
EV/Sales Ratio,8.95,7.64,10.43,1.28,11.91,92.48,1.98,2.87,1160.61,27.70,-
EV/EBITDA Ratio,11.21,9.46,26.44,-,-,-,-,-,-,-,-
EV/EBIT Ratio,31.30,31.17,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.25,0.20,0.01,0.02,0.01,-,0.01,0.38,0.00,0.01,0.13
Debt / EBITDA Ratio,1.69,1.98,0.19,-,27.09,-,-,-,-,-,-
Asset Turnover,0.17,0.13,0.17,0.18,0.24,0.08,0.31,0.24,0.01,0.01,0.00
Quick Ratio,1.00,2.78,5.27,2.28,3.17,93.19,2.21,0.03,40.03,12.36,9.02
Current Ratio,1.47,3.74,8.33,3.65,5.14,98.57,3.75,0.35,40.74,13.03,9.16
Return on Equity (ROE),5.24%,4.35%,-3.26%,-40.77%,-1.90%,-9.30%,-132.16%,-222.88%,-50.90%,-20.38%,-44.06%
Return on Assets (ROA),3.08%,1.93%,-5.25%,-9.98%,-1.84%,-5.04%,-26.51%,-52.12%,-14.29%,-15.36%,-21.58%
Return on Capital (ROIC),3.18%,2.04%,-5.74%,-11.19%,-2.03%,-5.15%,-35.77%,-61.66%,-15.30%,-17.50%,-24.21%
Return on Capital Employed (ROCE),4.40%,2.40%,-,-,-,-,-,-,-,-,-
Earnings Yield,3.18%,3.22%,-1.55%,-89.85%,-0.59%,-1.23%,-72.35%,-265.00%,-6.18%,-24.70%,-92.81%
FCF Yield,-19.23%,-27.64%,-12.24%,-60.45%,-19.52%,-3.84%,-78.78%,-179.29%,-1.38%,-31.91%,-72.79%
Buyback Yield / Dilution,-69.12%,-82.22%,-25.53%,-49.20%,-122.63%,-114.19%,-46.21%,-122.66%,-48.07%,-4.86%,-8.32%
