Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Revenue,"122,781","97,063","81,319","78,223","59,349","48,187","48,412","43,144","24,617","13,073","6,136"
Revenue Growth (YoY),46.76%,19.36%,3.96%,31.80%,23.16%,-0.46%,12.21%,75.26%,88.31%,113.05%,40.55%
Operations & Maintenance,157,157,243,177,-,-,-,-,-,-,-
"Selling, General & Admin","1,033","1,396","1,801","2,130","2,468",255,118,214,414,221.11,82.87
Depreciation & Amortization,"22,938","20,670","17,583","15,901","13,764","12,026","11,240","9,496","7,124","3,828","2,085"
Other Operating Expenses,"38,132","22,545","16,887","17,114","6,708","5,531","4,472","2,903","2,882","1,330",528.88
Total Operating Expenses,"62,260","44,768","36,514","35,322","22,940","17,812","15,830","12,613","10,420","5,379","2,696"
Operating Income,"60,521","52,295","44,805","42,901","36,409","30,375","32,582","30,531","14,197","7,694","3,440"
Interest Expense,"-54,568","-49,601","-42,051","-43,066","-35,667","-34,988","-32,913","-25,938","-14,419","-7,640","-4,201"
Interest Income,"3,941","3,966","4,087","2,176","1,801","1,889","2,179","1,471","1,152","1,027",830.15
Net Interest Expense,"-50,627","-45,635","-37,964","-40,890","-33,866","-33,099","-30,734","-24,467","-13,267","-6,613","-3,371"
Income (Loss) on Equity Investments,97,-22,-155,93,-,-45,-53,-40,-,-,-
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,42.66,0.03
Other Non-Operating Income (Expenses),-502,-502,"-2,589","-2,757","-14,470","-2,499","-1,965",-698,-64,237.55,-135.56
EBT Excluding Unusual Items,"9,489","6,136","4,097",-653,"-11,927","-5,268",-170,"5,326",866,"1,362",-66.58
Gain (Loss) on Sale of Investments,103,103,90,114,21,-389,-82,288,278,9.64,-
Gain (Loss) on Sale of Assets,"3,074","3,074","3,642",-2,223,-205,115,-197,-53,-1.67,-0.02
Asset Writedown,-13,-13,-105,-630,-129,-447,-,-,-,-67.72,-
Insurance Settlements,907,907,758,470,265,63,34,41,31,145.16,-
Other Unusual Items,-173,-173,-340,"-1,769",-686,"1,118",-520,-523,-281,-429.26,"1,077"
Pretax Income,"13,387","10,034","8,142","-2,470","-12,233","-5,128",-623,"4,935",841,"1,018","1,010"
Income Tax Expense,"4,323","5,443","3,995","2,559","3,895","2,904","2,158","1,801",321,508.31,97.01
Earnings From Continuing Ops.,"9,064","4,591","4,147","-5,029","-16,128","-8,032","-2,781","3,134",520,509.36,913.14
Minority Interest in Earnings,-777,-777,-743,212,51,214,85,-488,-220,-171.12,-96.71
Net Income,"8,287","3,814","3,404","-4,817","-16,077","-7,818","-2,696","2,646",300,338.24,816.43
Preferred Dividends & Other Adjustments,-145,-145,-230,-100,-,-,-,-,-,-,-
Net Income to Common,"8,432","3,959","3,634","-4,717","-16,077","-7,818","-2,696","2,646",300,338.24,816.43
Net Income Growth,317.90%,12.04%,-,-,-,-,-,782.00%,-11.31%,-58.57%,-
Shares Outstanding (Basic),363,363,366,383,370,401,381,380,339,282,225
Shares Outstanding (Diluted),368,366,366,383,370,401,381,386,346,300,239
Shares Change (YoY),1.18%,-0.07%,-4.22%,3.48%,-7.85%,5.38%,-1.34%,11.48%,15.17%,25.82%,23.44%
EPS (Basic),23.24,10.92,9.94,-12.33,-43.49,-19.49,-7.08,6.97,0.88,1.20,3.63
EPS (Diluted),23.24,10.81,9.92,-12.33,-43.49,-19.49,-7.08,6.86,0.87,1.13,3.42
EPS Growth,413.66%,8.97%,-,-,-,-,-,688.51%,-23.01%,-66.96%,-
Free Cash Flow,"-3,084","-26,094","-84,908","-20,792","-47,440","7,599","-4,211","-31,199","-32,386","-58,845","-31,091"
Free Cash Flow Per Share,-8.38,-71.27,-231.75,-54.35,-128.34,18.94,-11.06,-80.87,-93.58,-195.83,-130.19
Profit Margin,6.87%,4.08%,4.47%,-6.03%,-27.09%,-16.22%,-5.57%,6.13%,1.22%,2.59%,13.30%
Free Cash Flow Margin,-2.51%,-26.88%,-104.41%,-26.58%,-79.93%,15.77%,-8.70%,-72.31%,-131.56%,-450.13%,-506.70%
EBITDA,"83,314","72,820","61,782","58,341","49,886","42,133","43,562","39,836","21,304","11,510","5,514"
EBITDA Margin,67.86%,75.02%,75.98%,74.58%,84.06%,87.44%,89.98%,92.33%,86.54%,88.05%,89.87%
D&A For EBITDA,"22,793","20,525","16,977","15,440","13,477","11,758","10,980","9,305","7,107","3,816","2,075"
EBIT,"60,521","52,295","44,805","42,901","36,409","30,375","32,582","30,531","14,197","7,694","3,440"
EBIT Margin,49.29%,53.88%,55.10%,54.84%,61.35%,63.04%,67.30%,70.77%,57.67%,58.85%,56.06%
Effective Tax Rate,32.29%,54.25%,49.07%,-,-,-,-,36.49%,38.17%,49.95%,9.60%
Revenue as Reported,"134,072","109,070","96,531","89,309","69,195","54,491","53,303","47,902","27,795","15,507","8,581"
