Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"2,317","2,038","2,260","2,321","1,610",922.19,858.58,759.98,532.54,477.11,304.61
Revenue Growth (YoY),13.79%,-9.83%,-2.65%,44.19%,74.58%,7.41%,12.97%,42.71%,11.62%,56.63%,53.41%
Cost of Revenue,"1,757","1,709","2,097","2,023","1,365",743.53,645.83,534.92,440.57,393.63,280.54
Gross Profit,559.43,328.55,163.06,298.71,244.48,178.67,212.75,225.06,91.98,83.48,24.07
"Selling, General & Admin",880.9,862.29,961.89,940,887.5,619.05,400.17,323.89,253.83,261.15,229.92
Research & Development,36.1,39.3,21.82,20.91,23.17,19.55,23.56,18.84,15.08,10.2,9.66
Amortization of Goodwill & Intangibles,-,-,-,-,-,5.18,4.76,4.2,4.2,4.21,3.7
Operating Expenses,917,901.59,983.7,960.9,910.67,643.77,428.49,346.94,273.11,275.56,243.27
Operating Income,-357.58,-573.04,-820.64,-662.19,-666.19,-465.11,-215.74,-121.88,-181.13,-192.08,-219.2
Interest Expense,-916.75,-726.7,-653.65,-256.11,-306.31,-227.69,-174.25,-131.77,-92.26,-73.34,-33.24
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-1.37
Other Non Operating Income (Expenses),6.33,91.17,-4.54,70.95,1.24,5.28,-9.25,2.79,-1.87,0.84,-
EBT Excluding Unusual Items,"-1,268","-1,209","-1,479",-847.35,-971.26,-687.52,-399.24,-250.86,-275.26,-264.58,-253.81
Impairment of Goodwill,"-3,122","-3,122","-1,158",-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-51.3,-51.3,-58.7,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-0.4
Pretax Income,"-4,441","-4,382","-2,696",-847.35,-971.26,-687.52,-399.24,-250.86,-275.26,-264.58,-254.21
Income Tax Expense,-207.52,-26.82,-12.69,2.29,9.27,-60.57,-8.22,9.32,12.35,56.26,-5.3
Earnings From Continuing Operations,"-4,234","-4,355","-2,683",-849.65,-980.53,-626.95,-391.02,-260.19,-287.62,-320.84,-248.91
Minority Interest in Earnings,"1,767","1,509","1,078","1,023",901.11,453.55,417.36,286.84,413.1,395.97,220.66
Net Income,"-2,467","-2,846","-1,604",173.38,-79.42,-173.39,26.34,26.66,125.49,75.13,-28.25
Preferred Dividends & Other Adjustments,-,-,-,-2.26,-,-,-,-,-,-,24.89
Net Income to Common,"-2,467","-2,846","-1,604",175.64,-79.42,-173.39,26.34,26.66,125.49,75.13,-53.14
Net Income Growth,-,-,-,-,-,-,-1.21%,-78.76%,67.03%,-,-
Shares Outstanding (Basic),227,222,217,211,205,140,116,110,105,102,55
Shares Outstanding (Diluted),227,222,217,219,205,140,124,117,108,105,55
Shares Change (YoY),2.77%,2.57%,-1.15%,6.84%,46.94%,12.70%,5.78%,8.23%,3.09%,90.53%,141.68%
EPS (Basic),-10.85,-12.81,-7.41,0.83,-0.39,-1.24,0.23,0.24,1.19,0.73,-0.96
EPS (Diluted),-10.85,-12.81,-7.41,0.80,-0.39,-1.24,0.21,0.23,1.16,0.72,-0.96
EPS Growth,-,-,-,-,-,-,-8.70%,-80.17%,61.11%,-,-
Free Cash Flow,"-3,661","-3,467","-3,429","-2,860","-2,503","-1,288","-1,045",-873.78,-873.42,-890.94,-713.18
Free Cash Flow Per Share,-16.10,-15.60,-15.83,-13.05,-12.20,-9.22,-8.44,-7.46,-8.07,-8.49,-12.95
Gross Margin,24.15%,16.12%,7.22%,12.87%,15.19%,19.37%,24.78%,29.61%,17.27%,17.50%,7.90%
Operating Margin,-15.43%,-28.12%,-36.31%,-28.52%,-41.38%,-50.43%,-25.13%,-16.04%,-34.01%,-40.26%,-71.96%
Profit Margin,-106.50%,-139.67%,-71.00%,7.57%,-4.93%,-18.80%,3.07%,3.51%,23.56%,15.75%,-17.44%
Free Cash Flow Margin,-158.01%,-170.15%,-151.73%,-123.19%,-155.49%,-139.63%,-121.71%,-114.97%,-164.01%,-186.74%,-234.13%
EBITDA,345.92,47.84,-288.97,-211.15,-278.09,-222.17,-28.58,34.13,-52.45,-93.58,-147.83
EBITDA Margin,14.93%,2.35%,-12.79%,-9.10%,-17.27%,-24.09%,-3.33%,4.49%,-9.85%,-19.61%,-48.53%
D&A For EBITDA,703.49,620.88,531.67,451.05,388.1,242.94,187.16,156.01,128.69,98.49,71.37
EBIT,-357.58,-573.04,-820.64,-662.19,-666.19,-465.11,-215.74,-121.88,-181.13,-192.08,-219.2
EBIT Margin,-15.43%,-28.12%,-36.31%,-28.52%,-41.38%,-50.43%,-25.13%,-16.04%,-34.01%,-40.26%,-71.96%
Revenue as Reported,"2,317","2,038","2,260","2,321","1,610",922.19,858.58,759.98,532.54,477.11,304.61
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,34.8
