Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Jun '16Jun 30, 2016"
Revenue,"1,045",901.46,"2,977","3,110","1,964","1,459","1,426",937.24,607.05,489.95,489.84
Revenue Growth (YoY),2.35%,-69.72%,-4.30%,58.38%,34.58%,2.36%,52.11%,54.39%,23.90%,0.02%,50.69%
Cost of Revenue,"1,020","1,738","2,213","2,266","1,335",997.91,946.32,618,392.28,329.21,337.89
Gross Profit,25.48,-836.96,763.63,844.65,629.32,461.36,479.34,319.24,214.77,160.75,151.96
"Selling, General & Admin",227.63,292.14,310.43,272.18,201.2,159.1,137.35,97.57,68.71,51.52,46.97
Research & Development,229.99,272.87,321.48,289.81,219.63,163.12,121.35,82.25,54.97,38.22,33.23
Other Operating Expenses,0.96,7.73,0.52,-2.6,-0.86,-,-,-,-,-,-
Operating Expenses,458.59,572.74,632.44,559.39,419.97,322.23,258.7,179.82,123.68,89.74,80.2
Operating Income,-433.11,"-1,410",131.19,285.26,209.35,139.13,220.64,139.42,91.09,71.01,71.76
Interest Expense,-14.47,-19.89,-13.97,-11.48,-9.28,-4.89,-4.81,-2.54,-,-,-
Interest & Investment Income,35.53,34.32,33.16,13.48,3.76,3.82,4.71,5.63,4.4,4.07,1.11
Earnings From Equity Investments,-1.41,-1.9,-0.35,-,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),-9.24,-13.51,24.18,-1.55,-22.49,33.07,-10.34,-4.73,8.49,-4.41,0.03
Other Non Operating Income (Expenses),-29.65,-15.49,-2.35,11.02,8,-10.89,-0.82,0.58,-1.71,-0.09,-0.14
EBT Excluding Unusual Items,-452.34,"-1,426",171.85,296.73,189.33,160.24,209.39,138.37,102.26,70.58,72.76
Merger & Restructuring Charges,-20.04,-49.15,-60.19,-,-,-,-,-,-,-,-
Impairment of Goodwill,0.05,-2.25,-,-90.1,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-0.78,-2.03,-0.13,-0.43,0.1,-,-0.09,-1.24,-2.02,-0.86,-0.53
Gain (Loss) on Sale of Assets,-6.07,-,-,-,-,-,-5.27,-,-,-,-
Asset Writedown,-57.87,-247.2,-30.79,-29.04,-2.21,-1.47,-,-,-,-,-
Legal Settlements,-,-,-,-,-,4.9,-4.9,-,-,-,-
Other Unusual Items,1.27,16.58,-,-,-,-,-20.53,-,-,-,-
Pretax Income,-535.78,"-1,710",80.75,177.16,187.22,163.67,178.6,137.12,100.24,69.72,72.23
Income Tax Expense,24.99,96.15,46.42,83.38,18.05,23.34,33.65,9.08,16.07,6.27,-4.38
Earnings From Continuing Operations,-560.77,"-1,806",34.33,93.78,169.17,140.32,144.96,128.05,84.17,63.45,76.61
Minority Interest in Earnings,-,-,-,-,-,-,1.59,0.79,-,-,-
Net Income,-560.77,"-1,806",34.33,93.78,169.17,140.32,146.55,128.83,84.17,63.45,76.61
Net Income to Common,-560.77,"-1,806",34.33,93.78,169.17,140.32,146.55,128.83,84.17,63.45,76.61
Net Income Growth,-,-,-63.39%,-44.56%,20.56%,-4.25%,13.75%,53.06%,32.65%,-17.17%,262.71%
Shares Outstanding (Basic),58,57,57,55,52,50,48,45,42,41,40
Shares Outstanding (Diluted),58,57,57,58,56,53,50,48,45,44,44
Shares Change (YoY),2.49%,-0.27%,-1.49%,3.81%,6.02%,5.18%,4.62%,5.62%,2.82%,-0.44%,190.62%
EPS (Basic),-9.61,-31.64,0.61,1.70,3.24,2.79,3.06,2.85,1.99,1.56,1.92
EPS (Diluted),-9.61,-31.64,0.60,1.65,3.06,2.66,2.90,2.69,1.85,1.44,1.73
EPS Growth,-,-,-63.68%,-46.02%,15.06%,-8.32%,7.86%,45.41%,28.27%,-16.63%,536.54%
Free Cash Flow,63.01,-421.48,-350.64,-138.06,64.88,95.87,186.44,150.47,115.28,61.32,36.84
Free Cash Flow Per Share,1.08,-7.38,-6.13,-2.38,1.16,1.82,3.71,3.14,2.54,1.39,0.83
Gross Margin,2.44%,-92.84%,25.66%,27.16%,32.05%,31.62%,33.62%,34.06%,35.38%,32.81%,31.02%
Operating Margin,-41.43%,-156.38%,4.41%,9.17%,10.66%,9.53%,15.48%,14.88%,15.00%,14.49%,14.65%
Profit Margin,-53.65%,-200.38%,1.15%,3.02%,8.61%,9.62%,10.28%,13.75%,13.87%,12.95%,15.64%
Free Cash Flow Margin,6.03%,-46.76%,-11.78%,-4.44%,3.30%,6.57%,13.08%,16.05%,18.99%,12.52%,7.52%
EBITDA,-397.03,"-1,350",188.38,334.94,248.88,170.97,247.54,152.04,98.24,75.95,75.61
EBITDA Margin,-37.98%,-149.74%,6.33%,10.77%,12.67%,11.72%,17.36%,16.22%,16.18%,15.50%,15.43%
D&A For EBITDA,36.08,59.87,57.2,49.68,39.54,31.83,26.9,12.62,7.16,4.94,3.85
EBIT,-433.11,"-1,410",131.19,285.26,209.35,139.13,220.64,139.42,91.09,71.01,71.76
EBIT Margin,-41.43%,-156.38%,4.41%,9.17%,10.66%,9.53%,15.48%,14.88%,15.00%,14.49%,14.65%
Effective Tax Rate,-,-,57.49%,47.06%,9.64%,14.26%,18.84%,6.62%,16.03%,8.99%,-
Advertising Expenses,-,12.02,13.48,11.09,6.32,-,-,-,-,-,-
