Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Jan '16Jan 3, 2016","Dec '14Dec 28, 2014","Dec '13Dec 29, 2013","Apr '13Apr 28, 2013","Apr '12Apr 29, 2012","May '11May 1, 2011"
Market Capitalization,"8,515",-,-,-,-,-,-,-,-,-,-
Enterprise Value,"10,133",-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.36,0.39,0.32,0.33,-,0.47,0.59,0.71,0.81,0.58,0.60
Debt / EBITDA Ratio,1.36,1.50,2.98,1.74,-,2.25,2.47,4.12,3.37,1.97,1.85
Debt / FCF Ratio,5.13,3.15,3.83,13.87,-,7.02,5.33,9.29,-,7.09,4.83
Asset Turnover,1.38,1.16,1.08,-,-,1.44,1.50,-,1.75,1.74,1.59
Inventory Turnover,5.16,4.97,4.96,-,-,5.89,5.92,-,5.38,5.64,5.40
Quick Ratio,1.23,0.94,0.53,0.50,-,1.00,0.93,0.80,0.60,0.93,0.88
Current Ratio,3.10,2.46,2.01,2.14,-,2.42,2.55,2.71,2.03,2.90,2.72
Return on Equity (ROE),14.03%,11.78%,-1.77%,-,-,9.56%,12.54%,-,5.66%,10.41%,16.52%
Return on Assets (ROA),6.94%,5.24%,1.21%,-,-,4.88%,5.44%,-,4.16%,6.37%,7.49%
Return on Capital (ROIC),8.86%,6.98%,1.64%,-,-,6.75%,7.46%,-,5.75%,8.68%,10.02%
Return on Capital Employed (ROCE),12.30%,10.90%,2.40%,7.50%,-,9.40%,10.10%,5.70%,8.40%,12.20%,14.40%
Payout Ratio,45.10%,30.22%,1900.00%,57.01%,40.68%,6.63%,-,-,-,-,-
Buyback Yield / Dilution,-2.42%,-,-,-,-,-,-,-,10.46%,100.00%,-6.43%
