Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Mar '99Mar 31, 1999","Mar '98Mar 31, 1998","Mar '97Mar 31, 1997"
Market Capitalization,"4,278","3,875","4,762","2,350","6,663","7,802",-,-,-,-,-
Market Cap Growth,-4.57%,-18.64%,102.65%,-64.73%,-14.60%,-,-,-,-,-,-
Enterprise Value,"6,315","5,925","6,843","4,018","8,374","10,699",-,-,-,-,-
Last Close Price,15.26,13.68,16.85,8.33,23.55,27.44,-,-,-,-,-
PE Ratio,76.90,87.39,93.21,-,57.76,-,-,-,-,-,-
Forward PE,16.29,18.03,18.81,8.38,24.18,50.40,-,-,-,-,-
PS Ratio,3.76,3.52,4.54,2.34,7.15,9.54,-,-,-,-,-
PB Ratio,7.88,9.57,10.73,6.71,11.37,16.66,-,-,-,-,-
P/FCF Ratio,50.05,85.93,-,24.59,37.14,116.31,-,-,-,-,-
P/OCF Ratio,18.08,17.29,-,8.45,23.67,64.70,-,-,-,-,-
PEG Ratio,-,1.50,0.79,0.47,1.34,1.70,-,-,-,-,-
EV/Sales Ratio,5.49,5.38,6.52,4.00,8.99,13.08,-,-,-,-,-
EV/EBITDA Ratio,11.60,11.81,14.04,8.45,18.26,27.19,-,-,-,-,-
EV/EBIT Ratio,15.89,17.66,20.93,12.26,27.41,43.15,-,-,-,-,-
EV/FCF Ratio,72.91,131.39,-,42.04,46.68,159.51,-,-,-,-,-
Debt / Equity Ratio,4.14,5.81,5.24,5.80,3.12,4.08,-4.54,37.85,0.45,0.61,-
Debt / EBITDA Ratio,4.09,4.56,4.64,4.14,3.86,4.68,8.03,6.95,1.58,2.14,-
Debt / FCF Ratio,26.32,52.13,-,21.26,10.19,28.46,31.03,47.66,-,7.14,-
Asset Turnover,0.36,0.36,0.34,0.34,0.34,0.31,0.29,-,0.41,-,-
Inventory Turnover,8.99,9.47,10.18,9.07,8.74,9.80,9.64,-,-,-,-
Quick Ratio,2.04,2.32,2.05,0.70,1.50,1.67,1.45,1.69,5.08,3.33,-
Current Ratio,2.38,2.75,2.42,0.82,2.15,2.24,2.04,2.18,5.59,3.68,-
Return on Equity (ROE),10.86%,10.46%,12.94%,-49.89%,22.22%,-,-,-,10.31%,-,-
Return on Assets (ROA),7.84%,6.76%,6.54%,6.94%,6.88%,5.80%,4.87%,-,6.04%,-,-
Return on Capital (ROIC),8.78%,7.59%,7.93%,8.54%,7.97%,6.74%,5.70%,-,7.00%,-,-
Return on Capital Employed (ROCE),13.50%,11.60%,11.30%,14.10%,11.60%,9.50%,8.40%,6.80%,9.90%,8.50%,-
Earnings Yield,1.28%,1.15%,1.08%,-9.94%,1.75%,-0.50%,-,-,-,-,-
FCF Yield,2.00%,1.16%,-7.62%,4.07%,2.69%,0.86%,-,-,-,-,-
Buyback Yield / Dilution,-0.56%,-0.60%,-1.12%,-0.26%,-17.54%,-2.28%,0.00%,99.96%,-24.46%,-29.95%,-
