Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,701","3,070","3,134","2,489","3,782","2,938","3,617","2,646","2,760","2,167","1,891"
Market Cap Growth,-17.52%,-2.04%,25.89%,-34.19%,28.72%,-18.76%,36.68%,-4.12%,27.36%,14.60%,-7.50%
Enterprise Value,"3,127","3,108","3,072","2,461","3,648","2,837","3,611","2,423","2,589","1,984","1,740"
Last Close Price,36.98,41.58,40.28,29.93,42.46,31.82,38.53,26.68,27.00,20.67,17.47
PE Ratio,47.86,18.12,18.27,11.52,19.84,-,25.60,20.49,23.40,17.92,16.74
Forward PE,18.35,14.62,15.59,11.66,16.21,23.14,20.99,15.64,19.52,16.66,14.02
PS Ratio,1.11,1.35,1.58,1.17,2.03,2.44,2.02,1.58,1.76,1.55,1.35
PB Ratio,3.16,3.50,3.70,2.95,4.61,3.72,4.30,3.25,3.41,2.92,2.79
P/TBV Ratio,8.99,5.58,5.99,4.43,7.11,5.96,7.32,5.15,5.49,4.70,4.83
P/FCF Ratio,20.22,17.83,14.94,9.90,24.75,78.06,16.79,18.65,19.28,15.74,16.23
P/OCF Ratio,15.41,15.50,13.67,9.29,23.72,66.47,15.47,17.14,17.48,14.11,13.91
PEG Ratio,-,2.97,2.97,2.97,2.97,1.59,2.62,2.61,1.86,1.59,1.84
EV/Sales Ratio,1.32,1.36,1.55,1.16,1.96,2.36,2.02,1.44,1.65,1.42,1.24
EV/EBITDA Ratio,16.50,11.52,12.89,8.08,14.49,44.39,17.35,12.61,13.88,10.52,8.97
EV/EBIT Ratio,19.27,12.28,13.56,8.56,15.22,57.24,19.05,13.98,15.67,11.76,9.96
EV/FCF Ratio,23.46,18.05,14.65,9.78,23.87,75.36,16.76,17.08,18.09,14.41,14.94
Debt / Equity Ratio,0.61,0.18,0.16,0.13,0.14,0.17,0.20,-,-,-,-
Debt / EBITDA Ratio,2.07,0.46,0.48,0.31,0.37,1.18,0.64,-,-,-,-
Debt / FCF Ratio,4.05,0.89,0.66,0.43,0.73,3.53,0.80,-,-,-,-
Asset Turnover,1.37,1.65,1.52,1.62,1.50,1.00,1.52,1.58,1.55,1.49,1.54
Inventory Turnover,3.75,5.53,5.02,5.16,6.16,6.19,8.03,8.38,8.41,7.91,9.29
Quick Ratio,0.98,1.46,1.58,1.84,1.54,2.46,1.99,2.37,2.35,2.00,1.74
Current Ratio,1.91,2.16,2.26,2.63,2.17,2.96,2.56,3.13,3.12,2.89,2.63
Return on Equity (ROE),7.12%,20.41%,20.57%,26.10%,23.89%,-2.24%,17.12%,16.07%,15.37%,17.08%,16.86%
Return on Assets (ROA),5.87%,11.46%,10.87%,13.75%,12.02%,2.56%,10.08%,10.18%,10.23%,11.25%,11.96%
Return on Capital (ROIC),8.28%,15.69%,14.60%,19.07%,16.15%,3.20%,12.96%,13.35%,13.32%,14.86%,16.20%
Return on Capital Employed (ROCE),11.40%,25.40%,23.30%,30.70%,26.00%,5.50%,19.00%,20.40%,19.40%,21.70%,23.60%
Earnings Yield,2.09%,5.52%,5.47%,8.68%,5.04%,-0.63%,3.91%,4.88%,4.27%,5.58%,5.97%
FCF Yield,4.95%,5.61%,6.69%,10.11%,4.04%,1.28%,5.96%,5.36%,5.19%,6.35%,6.16%
Dividend Yield,2.25%,2.02%,2.08%,2.81%,1.41%,0.47%,1.48%,1.99%,-,-,-
Payout Ratio,107.60%,36.04%,36.83%,30.55%,25.78%,-,34.27%,36.64%,-,-,-
Buyback Yield / Dilution,1.86%,3.49%,4.49%,4.36%,-3.81%,5.99%,2.85%,0.75%,2.90%,2.59%,3.98%
Total Shareholder Return,4.15%,5.51%,6.57%,7.17%,-2.39%,6.46%,4.33%,2.73%,2.90%,2.59%,3.98%
