Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,738","5,685","6,027","5,341","4,927","4,008","3,872","3,589","3,428","2,491","1,921"
Market Cap Growth,-15.12%,-5.67%,12.85%,8.41%,22.93%,3.50%,7.90%,4.70%,37.61%,29.68%,25.28%
Enterprise Value,"5,640","6,394","6,732","6,046","5,627","4,725","4,452","4,028","3,866","2,913","2,300"
PE Ratio,12.09,28.74,16.93,24.76,12.49,16.27,14.26,20.06,20.30,15.72,11.58
PS Ratio,0.91,1.17,1.42,1.50,1.46,1.37,1.36,1.39,1.39,1.09,0.90
PB Ratio,1.44,1.82,2.04,2.11,1.65,1.46,1.76,2.00,2.00,1.63,1.37
P/FCF Ratio,4.11,5.32,8.19,6.88,6.58,7.53,8.67,8.18,9.38,8.00,5.26
P/OCF Ratio,3.99,5.17,7.94,6.66,6.39,7.23,8.11,7.89,9.03,7.56,5.03
EV/Sales Ratio,1.08,1.32,1.59,1.70,1.67,1.62,1.56,1.56,1.57,1.27,1.08
EV/EBITDA Ratio,9.10,18.04,13.00,17.20,9.54,12.01,10.48,14.33,11.42,9.57,7.32
EV/EBIT Ratio,9.58,20.00,13.80,19.56,10.53,14.14,12.04,17.06,13.50,12.00,9.03
EV/FCF Ratio,4.89,5.98,9.14,7.79,7.51,8.88,9.97,9.18,10.58,9.36,6.30
Debt / Equity Ratio,0.26,0.18,0.19,0.22,0.18,0.22,0.26,0.25,0.26,0.29,0.28
Debt / EBITDA Ratio,1.43,1.53,1.04,1.52,0.91,1.46,1.33,1.57,1.30,1.44,1.23
Debt / FCF Ratio,0.78,0.52,0.74,0.71,0.73,1.11,1.30,1.00,1.20,1.41,1.06
Quick Ratio,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.20,0.17,0.18,0.17
Current Ratio,0.35,0.37,0.33,0.35,0.35,0.34,0.33,0.34,0.33,0.34,0.32
Asset Turnover,0.37,0.38,0.37,0.34,0.34,0.32,0.34,0.33,0.33,0.32,0.32
Return on Equity (ROE),12.22%,6.82%,13.33%,8.16%,14.12%,9.99%,13.63%,10.21%,10.41%,10.82%,12.41%
Return on Assets (ROA),2.59%,1.58%,2.70%,1.82%,3.32%,2.26%,2.76%,1.89%,2.38%,2.13%,2.36%
Return on Capital (ROIC),9.12%,5.57%,9.27%,5.85%,9.74%,6.84%,9.23%,6.73%,8.68%,8.08%,9.27%
Earnings Yield,8.39%,3.64%,6.06%,4.21%,8.20%,6.15%,7.01%,4.99%,4.93%,6.36%,8.64%
FCF Yield,24.33%,18.80%,12.22%,14.54%,15.21%,13.27%,11.53%,12.23%,10.66%,12.50%,19.02%
Dividend Yield,2.19%,1.55%,1.29%,1.34%,1.33%,1.50%,1.39%,1.34%,1.26%,1.60%,1.95%
Payout Ratio,24.19%,45.47%,22.73%,33.85%,17.21%,22.12%,17.55%,23.53%,21.94%,21.30%,18.72%
Buyback Yield / Dilution,-0.04%,-0.50%,-0.15%,-0.34%,-0.62%,-0.48%,-0.49%,-0.60%,-1.04%,-1.02%,-1.40%
Total Shareholder Return,2.15%,1.05%,1.14%,1.00%,0.71%,1.02%,0.90%,0.74%,0.22%,0.59%,0.55%
