Period Ending,"Nov '25Nov 18, 2025","Aug '25Aug 30, 2025","Aug '24Aug 31, 2024","Aug '23Aug 26, 2023","Aug '22Aug 27, 2022","Aug '21Aug 28, 2021","Aug '20Aug 29, 2020","Aug '19Aug 31, 2019","Aug '18Aug 25, 2018","Aug '17Aug 26, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"1,966","2,879","3,163","3,430","3,163","3,386","2,422","2,422","1,269",838,121
Market Cap Growth,-41.72%,-9.00%,-7.79%,8.47%,-6.59%,39.81%,-0.03%,90.88%,51.39%,592.60%,-
Enterprise Value,"2,172","3,085","3,232","3,729","3,561","3,820","2,988","2,366","1,372",838,120
Last Close Price,20.19,28.63,31.59,34.46,31.51,35.35,25.39,29.63,17.98,11.88,10.23
PE Ratio,19.30,27.78,22.71,25.68,29.13,82.82,36.90,-,33.95,1862.85,-
Forward PE,10.36,14.80,16.66,19.31,20.48,26.42,27.34,41.59,30.94,-,-
PS Ratio,1.40,1.98,2.38,2.76,2.71,3.37,2.97,4.63,2.90,2.12,-
PB Ratio,1.11,1.59,1.83,2.18,2.20,2.85,2.13,3.40,1.89,1.40,24.21
P/TBV Ratio,-,-,-,-,-,-,-,-,-,-,24.21
P/FCF Ratio,12.45,18.23,15.07,21.50,30.00,26.83,42.35,33.64,21.41,-,-
P/OCF Ratio,11.02,16.13,14.67,20.05,28.59,25.63,41.10,33.16,20.79,-,-
PEG Ratio,2.57,2.62,2.00,2.49,1.65,1.29,2.31,2.28,1.41,-,-
EV/Sales Ratio,1.50,2.13,2.43,3.00,3.05,3.80,3.66,4.52,3.14,2.11,-
EV/EBITDA Ratio,8.28,11.76,12.94,16.56,16.03,19.48,23.01,25.87,18.43,12.54,-
EV/EBIT Ratio,9.02,12.81,14.13,18.20,17.55,21.46,26.25,28.23,20.55,14.65,-
EV/FCF Ratio,13.76,19.54,15.39,23.38,33.78,30.28,52.26,32.86,23.16,-,-
Debt / Equity Ratio,0.17,0.17,0.25,0.21,0.32,0.42,0.55,0.27,0.28,0.32,0.04
Debt / EBITDA Ratio,1.10,1.10,1.67,1.37,1.94,2.45,4.56,2.09,2.57,2.88,-
Debt / FCF Ratio,1.93,1.93,2.08,2.05,4.31,3.97,10.92,2.65,3.23,-,-
Asset Turnover,0.60,0.60,0.59,0.59,0.56,0.50,0.52,0.50,0.46,0.60,-
Inventory Turnover,5.97,5.97,6.31,6.52,6.49,7.62,10.13,8.99,8.63,8.25,-
Quick Ratio,2.12,2.12,2.61,2.59,1.96,1.64,2.60,6.47,4.86,2.82,3.05
Current Ratio,3.64,3.64,4.05,4.14,3.44,2.63,3.64,7.45,6.07,4.03,4.13
Return on Equity (ROE),5.86%,5.86%,8.45%,8.88%,8.27%,3.51%,7.09%,-3.64%,5.88%,-0.71%,-
Return on Assets (ROA),6.23%,6.23%,6.31%,6.11%,6.12%,5.48%,4.52%,4.95%,4.40%,5.45%,-
Return on Capital (ROIC),7.04%,7.04%,7.04%,6.76%,7.08%,6.44%,5.33%,5.93%,5.04%,6.52%,-
Return on Capital Employed (ROCE),10.60%,10.60%,9.80%,10.20%,10.20%,9.20%,5.90%,7.70%,7.10%,6.40%,-0.20%
Earnings Yield,5.27%,3.60%,4.40%,3.89%,3.43%,1.21%,2.71%,-1.04%,2.95%,-0.24%,-0.24%
FCF Yield,8.03%,5.49%,6.64%,4.65%,3.33%,3.73%,2.36%,2.97%,4.67%,-0.76%,-0.27%
Buyback Yield / Dilution,-0.23%,-0.23%,-0.40%,-0.29%,-3.31%,1.00%,-21.81%,-10.92%,-2.15%,-536.14%,-
