Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Interest and Dividend Income,"1,611","1,397",987.6,219,102.4,130.9,198.9,123.3,69.7,55.2,39.4
Total Interest Expense,"1,382","1,184",859.7,180.2,90.9,104,154.7,80.7,42.1,28.3,17.1
Net Interest Income,229,213.3,127.9,38.8,11.5,26.9,44.2,42.6,27.6,26.9,22.3
Brokerage Commission,618.7,548,498.4,507.9,487.2,403.6,372.4,391.8,318.6,224.3,192.5
Trading & Principal Transactions,"1,252","1,190","1,080","1,145",892,622.2,415.8,354.1,297,321.2,328.6
Asset Management Fee,181.5,167.2,159,111.3,91,83.7,79.6,71.1,65,42.2,42.5
Other Revenue,"127,131","96,586","58,131","64,053","40,962","52,899","31,830","26,682","28,673","14,112","34,090"
Revenue,"129,412","98,704","59,996","65,856","42,443","54,036","32,742","27,542","29,382","14,727","34,676"
Revenue Growth (YoY),53.56%,64.52%,-8.90%,55.16%,-21.45%,65.03%,18.88%,-6.26%,99.51%,-57.53%,1.95%
Salaries & Employee Benefits,"1,009",934.4,853.7,792.2,671.4,517.2,393.1,337.7,295.7,263.9,251.1
Cost of Services Provided,"127,871","97,298","58,696","64,669","41,520","53,319","32,216","27,069","28,984","14,361","34,309"
Other Operating Expenses,61.4,65.1,66.4,60.6,46.3,29,23.2,20.1,25.8,21.9,21.7
Total Operating Expenses,"129,009","98,351","59,684","65,582","42,285","53,898","32,647","27,442","29,366","14,660","34,595"
Operating Income,403.3,353.3,312.5,273.4,158.4,137.8,95.5,100.5,15.3,66.9,81
Other Non-Operating Income (Expenses),-,-,-0.2,-,0.1,-,-,-,-,-,-
EBT Excluding Unusual Items,403.3,353.3,312.3,273.4,158.5,137.8,95.5,100.5,15.3,66.9,81
Merger & Restructuring Charges,-10.1,-8,-14.9,-2.6,-,-10.9,-,-1,-,-,-
Legal Settlements,6.8,8.8,2.1,6.4,-,-,-,2,-,-,-
Other Unusual Items,-,-,23.5,-,-4.4,79.8,5.5,-,-0.1,5.8,-2.9
Pretax Income,397.7,354.1,323,277.2,154.1,206.7,111,101.5,15.2,72.7,78.1
Income Tax Expense,100.8,93.3,84.5,70.1,37.8,37.1,25.9,46,8.8,18,22.4
Earnings From Continuing Ops.,296.9,260.8,238.5,207.1,116.3,169.6,85.1,55.5,6.4,54.7,55.7
Net Income,296.9,260.8,238.5,207.1,116.3,169.6,85.1,55.5,6.4,54.7,55.7
Preferred Dividends & Other Adjustments,9.9,9.1,8.1,6.1,3.5,4,1.5,0.9,0.1,1,1.3
Net Income to Common,287,251.7,230.4,201,112.8,165.6,83.6,54.6,6.3,53.7,54.4
Net Income Growth,26.45%,9.35%,15.16%,78.07%,-31.43%,99.30%,53.33%,767.19%,-88.30%,-1.80%,188.60%
Shares Outstanding (Basic),47,46,45,44,43,42,42,42,41,41,42
Shares Outstanding (Diluted),49,47,46,45,44,43,43,43,42,42,43
Shares Change (YoY),4.04%,2.25%,2.75%,1.98%,2.60%,0.87%,0.42%,1.32%,0.33%,-1.62%,-1.05%
EPS (Basic),6.15,5.49,5.13,4.56,2.62,3.91,1.98,1.31,0.15,1.30,1.31
EPS (Diluted),5.86,5.31,4.97,4.45,2.55,3.83,1.95,1.28,0.14,1.29,1.28
EPS Growth,21.85%,6.85%,11.69%,74.30%,-33.33%,96.13%,52.96%,825.69%,-89.31%,1.04%,191.61%
Free Cash Flow,989.9,441.7,-70.6,-279,"2,061","1,934",183.7,-486.1,"1,021",-43.2,28.8
Free Cash Flow Per Share,20.21,9.31,-1.52,-6.18,46.54,44.81,4.29,-11.41,24.29,-1.03,0.68
Operating Margin,0.31%,0.36%,0.52%,0.41%,0.37%,0.26%,0.29%,0.36%,0.05%,0.45%,0.23%
Profit Margin,0.22%,0.26%,0.38%,0.30%,0.27%,0.31%,0.26%,0.20%,0.02%,0.36%,0.16%
Free Cash Flow Margin,0.77%,0.45%,-0.12%,-0.42%,4.86%,3.58%,0.56%,-1.76%,3.48%,-0.29%,0.08%
Effective Tax Rate,25.35%,26.35%,26.16%,25.29%,24.53%,17.95%,23.33%,45.32%,57.89%,24.76%,28.68%
Revenue as Reported,"130,794","99,888","60,856","66,036","42,534","54,140","32,897","27,623","29,424","14,755","34,693"
