Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"4,222","2,365","5,562","2,951","5,209","25,908","11,064","5,213",-,-
Market Cap Growth,24.17%,-57.47%,88.46%,-43.34%,-79.90%,134.16%,112.22%,-,-,-
Enterprise Value,"6,260","3,416","5,365","3,131","5,561","25,126","11,594","5,668",-,-
Last Close Price,16.15,7.97,18.03,9.44,16.86,83.92,39.89,18.44,-,-
PE Ratio,-,-,16.95,-,-,157.54,55.37,66.97,-,-
Forward PE,7.60,6.53,15.35,19.35,29.58,86.58,41.92,27.62,-,-
PS Ratio,1.67,1.15,2.38,1.73,6.34,42.49,18.61,13.20,-,-
PB Ratio,1.92,1.24,1.84,1.21,2.13,8.98,7.45,3.96,-,-
P/TBV Ratio,2.29,2.30,4.61,3.64,5.49,9.70,7.90,4.22,-,-
P/FCF Ratio,-,-,33.20,17.76,11.50,-,-,-,-,-
P/OCF Ratio,-,-,16.38,9.27,8.05,2382.02,-,-,-,-
PEG Ratio,0.32,0.33,0.25,0.22,1.25,2.91,0.79,0.41,-,-
EV/Sales Ratio,2.34,1.66,2.29,1.84,6.77,41.21,19.50,14.35,-,-
EV/EBITDA Ratio,4.56,3.30,4.43,3.93,22.81,82.06,31.50,28.68,-,-
EV/EBIT Ratio,5.07,3.70,4.96,4.85,36.41,97.83,35.41,32.61,-,-
EV/FCF Ratio,-,-,32.03,18.84,12.28,-,-,-,-,-
Debt / Equity Ratio,1.42,1.09,0.38,0.43,0.61,0.41,1.13,0.56,4.31,0.07
Debt / EBITDA Ratio,2.26,1.99,0.93,1.32,6.16,3.83,4.56,3.71,11.99,0.33
Debt / FCF Ratio,-,-,6.79,6.32,3.31,-,-,-,-,-
Asset Turnover,0.26,0.25,0.25,0.21,0.12,0.12,0.14,0.15,0.14,-
Quick Ratio,1.20,1.06,1.04,1.04,1.17,2.12,1.54,2.04,1.56,1.06
Current Ratio,1.43,1.37,1.29,1.22,1.31,2.19,1.55,2.05,1.57,1.06
Return on Equity (ROE),-8.45%,-11.37%,11.59%,-3.96%,-9.63%,7.99%,14.54%,10.95%,-19.62%,-
Return on Assets (ROA),7.44%,6.90%,7.22%,5.06%,1.44%,3.25%,5.00%,4.22%,1.39%,-
Return on Capital (ROIC),15.25%,15.90%,16.97%,10.53%,2.47%,4.93%,7.97%,8.01%,4.56%,-
Return on Capital Employed (ROCE),30.60%,26.90%,26.40%,20.00%,4.40%,7.30%,17.00%,9.30%,4.10%,11.20%
Earnings Yield,-4.90%,-10.36%,5.90%,-3.33%,-4.68%,0.64%,1.81%,1.49%,-,-
FCF Yield,-5.79%,-31.51%,3.01%,5.63%,8.70%,-0.24%,-6.71%,-12.67%,-,-
Buyback Yield / Dilution,10.22%,5.50%,-2.37%,-0.96%,-5.16%,-4.10%,-20.44%,-8.68%,-12.73%,-
