Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,112.72,94.82,224.95,71.66,171.33,168.13,57.95,2.36
Short-Term Investments,289.11,196.56,2.5,145.37,0.48,-,-,-
Cash & Short-Term Investments,401.84,291.38,227.44,217.03,171.82,168.13,57.95,2.36
Cash Growth,26.78%,28.11%,4.80%,26.31%,2.19%,190.12%,2360.81%,-
Accounts Receivable,72.62,46.76,16.62,-,-,-,-,-
Other Receivables,1.72,1.3,1.09,3.58,0.09,0.02,0.04,0
Receivables,74.34,48.06,17.71,3.58,0.09,0.02,0.04,0
Inventory,3.84,2.62,3.11,-,-,-,-,-
Prepaid Expenses,21.7,14.65,7.87,4.77,4.05,2.49,0.02,0
Restricted Cash,-,-,-,-,-,0.02,0.02,0.02
Total Current Assets,501.7,356.71,256.13,225.38,175.95,170.66,58.03,2.38
"Property, Plant & Equipment",15.98,2.87,3.35,1.53,1.83,1.24,0.28,0.01
Long-Term Investments,3,3,0.86,0.48,0.66,-,-,-
Other Intangible Assets,7.61,8.33,3.87,-,-,-,-,-
Other Long-Term Assets,6.27,6.09,1.29,0.48,0.46,0.08,0.01,-
Total Assets,534.56,376.99,265.49,227.86,178.91,171.97,58.32,2.39
Accounts Payable,40.64,27.74,17.77,5.5,2.86,2.24,0.46,0.18
Accrued Expenses,19.98,19.14,13.9,9.21,7.26,2.87,0.3,0
Current Portion of Leases,0.08,0.61,0.4,0.72,0.61,0.28,0.06,-
Current Income Taxes Payable,-,-,-,-,0.06,-,-,-
Current Unearned Revenue,-,-,-,-,0.7,-,-,-
Other Current Liabilities,56.35,33.12,4.87,-,-,-,-,0
Total Current Liabilities,117.05,80.61,36.94,15.43,11.48,5.39,0.82,0.18
Long-Term Debt,72.28,71.85,29.82,19.43,-,-,-,-
Long-Term Leases,10.15,-,-,-,0.59,0.55,0.1,-
Other Long-Term Liabilities,-,-,1.75,0.1,0.11,0.06,-,-
Total Liabilities,199.48,152.46,68.5,34.96,12.18,5.99,0.92,0.18
Common Stock,0.01,0.01,0.01,0.01,0,0,0,0
Additional Paid-In Capital,753.04,584.56,441.64,301.73,213.4,198.82,0.03,0.01
Retained Earnings,-418.26,-360.21,-244.66,-108.76,-46.67,-32.85,-6.03,-1.36
Comprehensive Income & Other,0.29,0.18,-0,-0.07,-,-,-,-
Total Common Equity,335.08,224.53,196.99,192.9,166.73,165.98,-6.01,-1.35
Shareholders' Equity,335.08,224.53,196.99,192.9,166.73,165.98,57.4,2.21
Total Liabilities & Equity,534.56,376.99,265.49,227.86,178.91,171.97,58.32,2.39
Total Debt,82.51,72.45,30.22,20.16,1.19,0.83,0.16,-
Net Cash (Debt),319.33,218.92,197.23,196.87,170.62,167.3,57.79,2.36
Net Cash Growth,31.21%,11.00%,0.18%,15.38%,1.99%,189.50%,2353.84%,-
Net Cash Per Share,7.84,5.82,6.71,8.00,8.30,26.95,24.46,1.34
Filing Date Shares Outstanding,42.45,38.38,34.22,26.73,20.71,20.32,19.26,1.76
Total Common Shares Outstanding,42.45,38.35,34.21,26.73,20.7,20.32,2.65,1.76
Working Capital,384.65,276.09,219.2,209.95,164.47,165.27,57.21,2.2
Book Value Per Share,7.89,5.85,5.76,7.22,8.06,8.17,-2.27,-0.77
Tangible Book Value,327.48,216.21,193.12,192.9,166.73,165.98,-6.01,-1.35
Tangible Book Value Per Share,7.71,5.64,5.64,7.22,8.06,8.17,-2.27,-0.77
Machinery,4.49,3.5,2.08,1.08,0.85,0.54,0.12,0.01
Leasehold Improvements,3.88,0.79,0.68,0.43,0.13,0.14,0.07,-
