Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"3,035","3,118","3,124","4,923","7,906","9,102","4,088","2,911","2,694","2,593","1,603"
Investment Securities,66.05,364.47,806.89,818.55,358.43,368.01,234.61,112.97,12.57,9.22,8.09
Trading Asset Securities,2.22,23.2,32.94,13.5,37.79,102.72,48.68,21.81,16.72,37.88,35.29
Mortgage-Backed Securities,"4,533","4,032","3,336","2,767","3,225","2,829",5.27,7.24,10.95,15.65,21.9
Total Investments,"4,602","4,419","4,176","3,599","3,622","3,300",288.56,142.02,40.23,62.75,65.28
Gross Loans,"24,294","22,543","20,421","19,351","22,872","24,502","24,737","22,677","20,772","17,570","16,769"
Allowance for Loan Losses,-274.03,-271.71,-249.97,-253.47,-211.87,-254.62,-195.05,-191.52,-184.66,-168.13,-141.11
Other Adjustments to Gross Loans,-101.81,-92.76,-80.26,-63.58,-65.01,-70.97,-90.38,-108.45,-97.93,-71.56,-57.19
Net Loans,"23,918","22,178","20,091","19,034","22,595","24,176","24,451","22,377","20,490","17,330","16,571"
"Property, Plant & Equipment",88.35,251.64,120.18,106.27,76.23,91.51,111.21,23.8,25.18,19.78,23.56
Goodwill,1.5,1.5,1.5,1.5,15.09,15.09,15.09,15.09,15.09,15.09,15.09
Other Intangible Assets,-,-,-,-,2.17,2.57,3.01,3.48,3.95,4.42,4.87
Loans Held for Sale,-,-,44.11,36.36,8.12,283.17,"2,577","1,969","1,011",968.93,86.08
Accrued Interest Receivable,124.4,122.4,129,108.5,57.5,62.5,65,556.53,458.88,350.2,290.52
Restricted Cash,30,71.3,119,89.2,40.3,108.3,340,183,212.5,246.7,187.7
Long-Term Deferred Tax Assets,-,158.32,185.06,182.41,66.34,29.21,21.06,34.1,27.7,58.89,55.78
Other Real Estate Owned & Foreclosed,-,-,-,-,-,-,-,0.08,11.74,18.96,0.51
Other Long-Term Assets,738.42,411.55,366.86,334.86,342.94,555.83,587.91,42.47,85.33,28.54,0.42
Total Assets,"32,537","30,732","28,356","28,415","34,732","37,726","32,548","28,258","25,076","21,697","18,904"
Interest Bearing Deposits,"19,816","17,258","14,667","12,980","14,533","17,880","16,532","12,889","10,845","8,797","8,423"
Institutional Deposits,-,495.49,376.37,258.44,186.03,375.67,508.22,399.52,465.33,225.5,274.4
Non-Interest Bearing Deposits,"7,690","7,485","7,328","9,618","13,390","12,741","9,438","7,317","7,813","7,994","6,387"
Total Deposits,"27,505","25,239","22,372","22,857","28,109","30,997","26,479","20,606","19,123","17,017","15,085"
Short-Term Borrowings,275,942.91,"1,571",92.9,40.62,211.01,193.08,682.55,382.42,135.82,178.47
Current Portion of Long-Term Debt,-,-,199.5,"1,200","2,200","3,000","2,400","3,900","2,800","2,000",-
Current Portion of Leases,-,21.13,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,9.36,23.68,33.23,24,7.7,11.15,12.76,20.68,7.68,5.5,5.1
