Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,144.96,162.19,151.79,180.57,172.57,199.09,146.63,100.89,121.99,91.61,64.24
Short-Term Investments,-,-,1.07,23.74,74.46,32.46,124.27,65.15,59.76,66.1,31.6
Cash & Short-Term Investments,144.96,162.19,152.86,204.31,247.03,231.55,270.89,166.03,181.75,157.71,95.84
Cash Growth,-22.70%,6.10%,-25.18%,-17.29%,6.68%,-14.52%,63.16%,-8.65%,15.24%,64.57%,-13.60%
Receivables,183.9,206.88,241.39,218.47,194.55,145.39,122.53,137.47,120.3,116.83,93.39
Inventory,203.19,189.45,179.73,171.64,141.12,116.75,103.15,91.05,85.65,60.15,57.1
Other Current Assets,77.46,49.79,43.43,27.07,22.86,16.92,24.34,18.06,10.67,13.33,7.56
Total Current Assets,609.51,608.3,617.42,621.48,605.56,510.61,520.92,412.61,398.37,348.03,253.89
"Property, Plant & Equipment",311.06,319.12,342.44,324.53,288.8,281.74,248.29,154.04,145.35,135.12,132.36
Long-Term Investments,258.61,253.83,252.15,272.71,36.03,0.28,-,-,2.61,40.39,0.39
Goodwill,978.91,980.94,972.66,872.74,822.1,843.07,728.31,732.67,597.89,579.03,430.88
Other Intangible Assets,350.11,365.6,507.08,534.65,531.52,615.97,516.55,579.43,446.33,452.04,310.52
Long-Term Deferred Tax Assets,-,10.31,-,-,-,-,-,-,-,-,-
Other Long-Term Assets,17.96,19.78,12.12,12.59,10.8,11.3,13.52,5.67,2.66,3.62,1.54
Total Assets,"2,526","2,558","2,704","2,639","2,295","2,263","2,028","1,884","1,593","1,558","1,130"
Accounts Payable,30.16,25.31,37.97,25.68,33.87,29.38,23.09,16.21,18.45,16.86,20.65
Accrued Expenses,62.78,90.35,74.7,51.63,79.84,66.58,40.18,55.03,44.07,45.12,23.24
