Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,531.9,329,233.66,2.79,6.69,0.15,0.15,0.15,0.15,0.15,0.15
Revenue Growth (YoY),100.88%,40.80%,8290.02%,-58.36%,4300.66%,-,-,-,-,-0.25%,-
Cost of Revenue,77.97,38.49,14.13,0.27,0.79,-,-,-,-,-,-
Gross Profit,453.93,290.52,219.53,2.52,5.9,0.15,0.15,0.15,0.15,0.15,0.15
"Selling, General & Admin",208.25,154.3,122.71,95.48,128.09,107.85,15.03,15.16,16.33,9.89,15.63
Research & Development,142.9,94.29,76.19,125.35,222.58,165.9,154.18,159.39,102.53,69.23,47.71
Operating Expenses,351.15,248.59,198.9,220.84,350.67,273.75,169.21,174.55,118.86,79.12,63.33
Operating Income,102.78,41.93,20.63,-218.32,-344.77,-273.59,-169.06,-174.4,-118.71,-78.97,-63.18
Interest Expense,-27.26,-24.03,-12.62,-10.19,-5.64,-6.33,-5.29,-0.88,-0.85,-,-
Interest & Investment Income,-,-,-,-,-,-,-,-,-,0.32,0.17
Other Non Operating Income (Expenses),12.23,7.69,5.04,4.7,2.31,0.54,1.47,1.8,1.08,0.39,0.06
Pretax Income,87.75,25.59,13.06,-223.81,-348.1,-279.38,-172.87,-173.48,-118.48,-78.25,-62.95
Income Tax Expense,-359.72,2.21,0.39,-,-,-,-,-,-,-,-
Net Income,447.47,23.38,12.67,-223.81,-348.1,-279.38,-172.87,-173.48,-118.48,-78.25,-62.95
Net Income to Common,447.47,23.38,12.67,-223.81,-348.1,-279.38,-172.87,-173.48,-118.48,-78.25,-62.95
Net Income Growth,-,84.52%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),146,145,142,135,132,115,88,75,62,49,46
Shares Outstanding (Diluted),162,160,149,135,132,115,88,75,62,49,46
Shares Change (YoY),11.64%,7.96%,9.67%,2.41%,14.64%,30.51%,17.10%,21.58%,26.57%,7.44%,33.98%
EPS (Basic),3.06,0.16,0.09,-1.65,-2.63,-2.42,-1.96,-2.30,-1.91,-1.60,-1.38
EPS (Diluted),2.78,0.15,0.09,-1.65,-2.63,-2.42,-1.96,-2.30,-1.91,-1.60,-1.38
EPS Growth,-,68.03%,-,-,-,-,-,-,-,-,-
Free Cash Flow,-70.24,-40.56,-31.41,-176.18,-296.04,-214.86,-132.94,-129.02,-93.76,-61.93,-44.73
Free Cash Flow Per Share,-0.43,-0.25,-0.21,-1.30,-2.24,-1.86,-1.50,-1.71,-1.51,-1.26,-0.98
Gross Margin,85.34%,88.30%,93.95%,90.48%,88.19%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,19.32%,12.74%,8.83%,-7838.99%,-5154.28%,-179996.05%,-111220.40%,-114736.84%,-78100.00%,-51953.29%,-41461.87%
Profit Margin,84.13%,7.11%,5.42%,-8036.34%,-5204.08%,-183803.29%,-113730.92%,-114132.90%,-77944.74%,-51482.24%,-41310.04%
Free Cash Flow Margin,-13.21%,-12.33%,-13.44%,-6326.18%,-4425.70%,-141357.90%,-87458.55%,-84878.29%,-61685.53%,-40744.08%,-29355.69%
EBITDA,102.83,42,20.84,-218.01,-344.49,-273.44,-168.96,-174.31,-118.63,-78.91,-63.16
EBITDA Margin,19.33%,12.77%,8.92%,-,-,-,-,-,-,-,-
D&A For EBITDA,0.05,0.07,0.21,0.3,0.28,0.16,0.1,0.09,0.08,0.06,0.02
EBIT,102.78,41.93,20.63,-218.32,-344.77,-273.59,-169.06,-174.4,-118.71,-78.97,-63.18
EBIT Margin,19.32%,12.74%,8.83%,-,-,-,-,-,-,-,-
Effective Tax Rate,-,8.64%,2.99%,-,-,-,-,-,-,-,-
Revenue as Reported,531.9,329,233.66,2.79,6.69,0.15,0.15,-,-,-,-
