Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,532","4,320","2,416","1,584","2,488","6,703","1,089",315,579,222,627
Market Cap Growth,16.49%,78.80%,52.51%,-36.33%,-62.88%,515.51%,245.87%,-45.66%,161.07%,-64.58%,5.42%
Enterprise Value,"4,655","4,233","2,297","1,491","2,159","6,490","1,056",217,488,161,533
Last Close Price,31.00,30.10,17.08,11.83,19.00,52.02,11.10,4.10,8.20,4.65,11.93
PE Ratio,11.17,184.75,190.66,-,-,-,-,-,-,-,-
Forward PE,20.79,45.21,-,-,-,-,-,-,-,-,-
PS Ratio,8.51,13.13,10.34,568.84,371.96,44096.70,7164.19,2071.38,3811.50,1459.97,4111.80
PB Ratio,7.28,19.43,15.05,27.04,10.49,12.91,28.20,13.10,8.65,6.19,6.17
P/TBV Ratio,7.46,19.43,15.05,27.41,10.53,12.93,28.80,13.55,8.75,6.33,6.22
EV/Sales Ratio,8.75,12.87,9.83,535.24,322.82,42698.06,6947.94,1428.94,3208.48,1062.05,3495.04
EV/EBITDA Ratio,45.27,100.79,110.20,-,-,-,-,-,-,-,-
EV/EBIT Ratio,45.29,100.95,111.33,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.42,1.14,0.69,1.42,0.34,0.08,1.06,0.00,0.00,0.00,0.00
Debt / EBITDA Ratio,2.43,5.74,4.82,-,-,-,-,-,-,-,-
Asset Turnover,0.66,0.73,0.89,0.01,0.01,0,0.00,0.00,0.00,0.00,0.00
Inventory Turnover,0.67,0.51,-,-,-,-,-,-,-,-,-
Quick Ratio,2.53,4.85,5.00,3.04,4.84,6.92,1.66,1.77,3.03,2.66,7.35
Current Ratio,3.83,6.25,5.92,3.16,5.06,6.99,1.77,2.03,3.34,3.01,8.25
Return on Equity (ROE),111.96%,12.21%,11.57%,-151.36%,-92.03%,-100.14%,-551.85%,-381.16%,-230.36%,-113.87%,-69.30%
Return on Assets (ROA),7.98%,5.78%,4.93%,-47.61%,-42.87%,-43.36%,-85.68%,-120.44%,-97.52%,-58.67%,-39.44%
Return on Capital (ROIC),9.82%,7.00%,6.24%,-59.52%,-49.04%,-53.28%,-203.75%,-238.97%,-143.99%,-71.67%,-43.35%
Return on Capital Employed (ROCE),11.80%,8.60%,7.50%,-,-,-,-,-,-,-,-
Earnings Yield,9.87%,0.54%,0.52%,-14.13%,-13.99%,-4.17%,-15.88%,-55.10%,-20.45%,-35.26%,-10.05%
FCF Yield,-1.55%,-0.94%,-1.30%,-11.12%,-11.90%,-3.21%,-12.21%,-40.98%,-16.18%,-27.91%,-7.14%
Buyback Yield / Dilution,-11.64%,-7.96%,-9.67%,-2.41%,-14.64%,-30.51%,-17.10%,-21.58%,-26.57%,-7.44%,-33.98%
