Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,421","4,259","3,091","2,158","2,851","3,925","4,879","6,122","6,778","4,249","5,780"
Market Cap Growth,76.01%,37.78%,43.23%,-24.29%,-27.37%,-19.55%,-20.30%,-9.68%,59.50%,-26.48%,-22.80%
Enterprise Value,"15,231","10,739","10,087","9,287","8,576","9,865","10,792","9,190","10,364","8,161","11,453"
Last Close Price,50.40,21.97,15.81,11.09,19.62,26.74,33.26,41.72,42.28,25.33,33.00
PE Ratio,7.78,16.83,-,12.19,4.83,-,32.74,-,77.91,-,-
Forward PE,12.90,8.11,8.04,14.08,20.11,121.23,17.99,22.30,34.23,18.39,49.12
PS Ratio,1.52,0.73,0.55,0.38,0.67,1.03,1.13,1.55,1.72,1.05,0.88
PB Ratio,2.52,1.19,0.90,0.59,1.04,1.73,1.82,2.19,2.07,1.26,1.55
P/TBV Ratio,-,-,-,-,-,-,-,31.23,3.70,2.35,2.82
P/FCF Ratio,7.80,4.01,7.56,4.46,13.20,19.72,75.06,38.26,39.87,26.73,9.15
P/OCF Ratio,4.92,2.66,2.53,1.68,2.98,4.78,6.09,7.73,8.27,4.84,3.50
PEG Ratio,0.70,-,-,-,-,-,0.34,0.79,0.95,0.14,3.07
EV/Sales Ratio,2.72,1.85,1.78,1.65,2.01,2.59,2.49,2.33,2.63,2.02,1.74
EV/EBITDA Ratio,6.00,4.46,4.95,4.17,5.63,7.45,6.95,7.49,8.27,6.58,5.26
EV/EBIT Ratio,9.92,7.79,11.45,10.48,20.92,47.89,23.82,21.67,23.50,21.04,12.75
EV/FCF Ratio,14.12,10.10,24.66,19.19,39.70,49.57,166.03,57.44,60.97,51.33,18.12
Debt / Equity Ratio,2.56,1.91,2.26,2.17,3.25,2.97,2.78,1.69,1.17,1.18,1.09
Debt / EBITDA Ratio,3.09,2.61,3.51,3.53,5.85,5.10,4.79,3.84,3.07,3.21,1.87
Debt / FCF Ratio,7.85,6.42,19.04,16.27,41.26,33.95,114.54,29.48,22.59,25.06,6.45
Asset Turnover,0.38,0.41,0.39,0.38,0.31,0.30,0.37,0.40,0.41,0.40,0.55
Inventory Turnover,20.14,31.91,30.76,25.97,23.94,30.73,33.83,26.60,21.85,16.55,15.73
Quick Ratio,0.70,0.44,0.65,0.77,0.34,0.66,0.87,0.39,0.55,0.60,0.53
Current Ratio,0.93,0.77,0.82,0.98,0.50,0.89,1.10,0.57,0.88,0.88,0.77
Return on Equity (ROE),32.68%,7.72%,-7.03%,0.50%,22.74%,-13.12%,3.54%,0.23%,0.30%,-1.97%,-9.68%
Return on Assets (ROA),6.47%,6.10%,3.84%,3.77%,1.86%,1.02%,2.44%,2.68%,2.89%,2.42%,4.71%
Return on Capital (ROIC),8.39%,7.97%,4.84%,4.78%,2.48%,1.34%,3.21%,3.62%,3.81%,3.20%,6.80%
Return on Capital Employed (ROCE),12.60%,13.00%,7.20%,7.30%,3.80%,2.10%,4.30%,5.60%,6.00%,5.00%,11.30%
Earnings Yield,13.01%,5.94%,-2.65%,8.20%,20.70%,-8.77%,3.05%,-0.16%,1.28%,-0.75%,-9.67%
FCF Yield,12.81%,24.96%,13.23%,22.43%,7.58%,5.07%,1.33%,2.61%,2.51%,3.74%,10.93%
Dividend Yield,5.95%,7.97%,-,-,-,-,-,6.33%,6.24%,10.42%,8.00%
Payout Ratio,65.75%,-,-,-,-,-,179.19%,-,304.60%,-,-
Buyback Yield / Dilution,1.06%,-0.68%,-22.70%,-38.13%,0.04%,-0.03%,-0.35%,-0.41%,-0.05%,-0.18%,-0.14%
Total Shareholder Return,7.01%,7.29%,-22.70%,-38.13%,0.04%,-0.03%,-0.35%,5.92%,6.20%,10.24%,7.86%
