Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,664.23,484.69,342.57,108.81,5.52,4.02,2.45,0.14,-,-,-
Revenue Growth (YoY),55.35%,41.49%,214.82%,1870.12%,37.33%,64.26%,1681.41%,-,-,-,-
Cost of Revenue,305.95,185.2,134.99,44.29,1.85,1.56,1.79,-,-,-,-
Gross Profit,358.28,299.49,207.58,64.52,3.67,2.46,0.66,0.14,-,-,-
"Selling, General & Admin",168.71,128.18,84.72,59.2,34.16,18.88,11.1,6.44,2.77,0.01,0.04
Research & Development,153.75,120.45,87.62,55.06,24.82,17.81,14.87,13.17,2.33,0.01,0.05
Other Operating Expenses,7.72,0.18,-0.13,0.63,-,-,-,-,-,-,-
Operating Expenses,330.18,248.81,172.21,114.89,62.75,40.46,28.94,19.62,5.09,0.02,0.08
Operating Income,28.1,50.68,35.37,-50.37,-59.08,-38,-28.28,-19.49,-5.09,-0.02,-0.08
Interest Expense,-10.64,-4.48,-0.53,-0.22,-0.12,-0.15,-0.08,-0.01,-0,-0.01,-0.01
Interest & Investment Income,9.84,6.72,0.69,0,-,0.05,0.07,0.23,0.03,-,-
Currency Exchange Gain (Loss),13.4,11.58,-0.66,-0.76,1.23,-3.04,-0.32,1.05,-0.23,-,-
Other Non Operating Income (Expenses),-19.57,-18.37,-8.85,-4.33,10.25,9.34,8.34,7.14,0.31,-,-
EBT Excluding Unusual Items,21.14,46.12,26.02,-55.68,-47.71,-31.79,-20.27,-11.08,-4.98,-0.03,-0.1
Merger & Restructuring Charges,-5.36,-5.06,-,-,-,-,-,-,-,-,-
Asset Writedown,0.5,0.48,-0.55,-,-,-,-,-,-,-,-
Other Unusual Items,-7.24,-6.85,-23.36,-11.36,-10.8,-5.19,-1.6,-,-,-,-
Pretax Income,9.04,34.69,2.1,-67.03,-58.51,-36.98,-21.86,-11.08,-4.98,-0.03,-0.1
Income Tax Expense,-1.8,3.8,-1.45,3.71,0.03,-2.35,-2.29,-1.33,-,-,-
Net Income,10.84,30.89,3.55,-70.74,-58.54,-34.63,-19.58,-9.75,-4.98,-0.03,-0.1
Net Income to Common,10.84,30.89,3.55,-70.74,-58.54,-34.63,-19.58,-9.75,-4.98,-0.03,-0.1
Net Income Growth,-66.76%,769.68%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),254,331,319,311,282,257,233,202,128,-,-
Shares Outstanding (Diluted),260,345,324,311,282,257,233,202,128,-,-
Shares Change (YoY),-37.99%,6.64%,4.21%,10.08%,9.69%,10.21%,15.49%,57.92%,-,-,-
EPS (Basic),0.04,0.09,0.01,-0.23,-0.21,-0.13,-0.08,-0.05,-0.04,-,-
EPS (Diluted),0.04,0.09,0.01,-0.23,-0.21,-0.14,-0.08,-0.05,-0.04,-,-
EPS Growth,-45.24%,715.36%,-,-,-,-,-,-,-,-,-
Free Cash Flow,9.64,17.77,9.68,-48.26,-44.11,1.32,-16.68,-14.62,-4.72,-,-
Free Cash Flow Per Share,0.04,0.05,0.03,-0.15,-0.16,0.01,-0.07,-0.07,-0.04,-,-
Gross Margin,53.94%,61.79%,60.60%,59.29%,66.46%,61.17%,27.03%,100.00%,-,-,-
Operating Margin,4.23%,10.46%,10.32%,-46.29%,-1069.60%,-944.81%,-1155.12%,-14177.96%,-,-,-
Profit Margin,1.63%,6.37%,1.04%,-65.01%,-1059.90%,-861.06%,-799.63%,-7092.31%,-,-,-
Free Cash Flow Margin,1.45%,3.67%,2.83%,-44.35%,-798.67%,32.84%,-681.09%,-10640.52%,-,-,-
EBITDA,36.41,54.2,38.97,-47.3,-55.79,-34.67,-25.48,-19.48,-5.09,-,-
EBITDA Margin,5.48%,11.18%,11.38%,-43.47%,-,-,-,-,-,-,-
D&A For EBITDA,8.31,3.52,3.6,3.07,3.29,3.33,2.8,0,0,-,-
EBIT,28.1,50.68,35.37,-50.37,-59.08,-38,-28.28,-19.49,-5.09,-0.02,-0.08
EBIT Margin,4.23%,10.46%,10.32%,-46.29%,-,-,-,-,-,-,-
Effective Tax Rate,-,10.95%,-,-,-,-,-,-,-,-,-
