Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,498","2,524","2,199","2,218","2,267","1,685","1,998","1,714","1,903","2,052","1,063"
Market Cap Growth,2.50%,14.77%,-0.85%,-2.19%,34.53%,-15.65%,16.54%,-9.92%,-7.23%,93.02%,97.07%
Last Close Price,32.02,33.29,28.13,28.06,27.87,20.20,23.03,19.31,24.26,25.78,15.83
PE Ratio,14.42,15.60,14.31,11.74,10.53,11.58,14.40,12.81,21.71,30.51,17.04
PS Ratio,3.15,3.64,3.26,3.27,3.25,2.82,3.60,3.27,4.29,5.56,3.61
PB Ratio,1.04,1.17,1.07,1.17,1.18,0.95,1.21,1.11,1.67,1.89,1.30
P/FCF Ratio,12.54,31.12,18.77,6.11,4.65,20.53,-,5.78,14.91,12.33,18.40
P/OCF Ratio,10.26,18.24,13.63,5.34,4.37,13.18,193.74,5.40,13.49,11.12,13.11
Debt / Equity Ratio,0.18,0.16,0.28,0.21,0.28,0.57,0.50,0.71,0.70,0.66,0.57
Debt / FCF Ratio,2.11,4.36,4.93,1.11,1.10,12.42,-,3.69,6.26,4.33,8.07
Return on Equity (ROE),7.48%,7.73%,7.87%,10.01%,12.16%,9.86%,9.00%,10.28%,8.33%,7.58%,9.13%
Return on Assets (ROA),0.93%,0.95%,0.95%,1.18%,1.45%,1.27%,1.24%,1.40%,1.13%,1.01%,1.16%
Earnings Yield,6.76%,6.41%,6.99%,8.52%,9.50%,8.63%,6.95%,7.80%,4.61%,3.28%,5.87%
FCF Yield,7.98%,3.21%,5.33%,16.38%,21.50%,4.87%,-1.32%,17.31%,6.71%,8.11%,5.44%
Dividend Yield,3.36%,3.00%,3.48%,3.17%,2.80%,3.56%,3.04%,3.21%,2.27%,1.98%,2.97%
Payout Ratio,46.59%,46.38%,46.44%,33.20%,25.67%,35.90%,35.58%,33.53%,39.28%,45.42%,35.24%
Buyback Yield / Dilution,-1.15%,-0.67%,-2.87%,-0.02%,-0.30%,-0.22%,-1.26%,-14.26%,-9.50%,-11.38%,-45.31%
Total Shareholder Return,2.22%,2.33%,0.61%,3.15%,2.50%,3.34%,1.78%,-11.05%,-7.23%,-9.40%,-42.34%
