Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,825.95,844.74,775.31,473.63,400.5,417.45,448.53,413.08,369.1,329.79,325.59
Interest Income on Investments,123.09,115.59,103.52,68.2,42.01,50.89,61.96,72.53,80.69,82.29,86.64
Total Interest Income,949.04,960.33,878.83,541.83,442.51,468.34,510.49,485.61,449.8,412.08,412.23
Interest Paid on Deposits,282.9,329.38,245.95,29.07,16.95,37.49,79.17,53.94,22.72,12.75,12.6
Interest Paid on Borrowings,37.04,46.53,80,18.06,7.22,4.31,4.73,12.26,19.53,11.8,7.86
Total Interest Expense,319.94,375.91,325.95,47.13,24.16,41.8,83.9,66.19,42.25,24.55,20.46
Net Interest Income,629.1,584.42,552.88,494.71,418.35,426.54,426.59,419.42,407.55,387.53,391.77
Net Interest Income Growth (YoY),11.28%,5.71%,11.76%,18.25%,-1.92%,-0.01%,1.71%,2.91%,5.17%,-1.08%,-3.35%
Trust Income,38.3,37.25,35.09,35.01,35.19,31.63,30.68,30.34,30.34,30.49,31.37
Mortgage Banking Activities,32.94,26.63,26.22,28.31,63.75,125.82,29.82,34.67,29.9,28.21,30.18
Gain (Loss) on Sale of Investments,-8.64,-190.42,-7.95,-6.21,-8.01,-5.7,-7.64,-8.71,-9.55,-10.23,-10.05
Other Non-Interest Income,57.05,58.74,51.66,52.16,97.74,90.56,91.59,84.83,89.96,80.21,74.29
Total Non-Interest Income,163.36,-23.42,148.43,151.42,221.91,274.59,187.05,184.84,184.66,173.94,173.15
Non-Interest Income Growth (YoY),-,-,-1.97%,-31.76%,-19.19%,46.81%,1.20%,0.09%,6.16%,0.46%,0.00%
Revenues Before Loan Losses,792.46,561,701.31,646.13,640.26,701.13,613.63,604.26,592.21,561.48,564.91
Provision for Loan Losses,19.12,41.26,24.58,22.89,-24.45,45.05,10.84,16.99,7.7,14.71,11.8
Revenue,773.34,519.75,676.73,623.24,664.71,656.08,602.8,587.27,584.51,546.76,553.11
Revenue Growth (YoY),55.58%,-23.20%,8.58%,-6.24%,1.31%,8.84%,2.64%,0.47%,6.91%,-1.15%,-3.15%
Salaries and Employee Benefits,270.3,259.02,262.12,249.36,272.95,262.76,242.93,234.16,224.96,215.97,226.53
Occupancy Expenses,29.23,29.13,28.51,27.99,27.04,26.49,26.15,26.7,25.77,24.98,25.32
Federal Deposit Insurance,-,-,-,-,-,-,-,-,11.01,11.24,10.73
"Selling, General & Administrative",32.98,32.13,32,29.03,29.94,28.47,28.52,28.7,28.76,27.91,27.53
Other Non-Interest Expense,171.97,165.41,166.11,156.61,148.53,142.48,127.5,123.67,114.82,114.75,106.66
Total Non-Interest Expense,504.49,485.69,488.73,462.98,478.46,460.2,429,415.24,408.99,395.44,401.66
EBT Excluding Unusual Items,268.85,34.06,188,160.26,186.25,195.88,173.79,172.03,175.53,151.33,151.45
Asset Writedown,-,-,-0.47,-0.4,-0.14,-1.7,-,-0.17,-0.34,-0.75,-
Legal Settlements,-,-,-6.5,-100.75,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-5,-,-,-,-17.64,-1.3,-
Pretax Income,268.85,34.06,181.03,59.11,175.41,189.78,173.79,171.85,154.35,139.46,151.45
Income Tax Expense,46.28,-11.15,27.74,-1.81,28.05,29.76,23.33,22.27,48.72,31.05,35.41
Earnings From Continuing Operations,222.57,45.21,153.29,60.92,147.37,160.03,150.46,149.58,105.63,108.41,116.04
Earnings From Discontinued Operations,-,177.8,12.2,10.97,-,-,-,-,-,-,-
Net Income,222.57,223.01,165.49,71.89,147.37,160.03,150.46,149.58,105.63,108.41,116.04
Net Income to Common,222.57,223.01,165.49,71.89,147.37,160.03,150.46,149.58,105.63,108.41,116.04
Net Income Growth,9.74%,34.76%,130.21%,-51.22%,-7.91%,6.36%,0.59%,41.61%,-2.56%,-6.57%,-6.09%
Basic Shares Outstanding,61,61,61,61,63,64,65,68,68,68,68
Diluted Shares Outstanding,61,61,61,61,63,64,65,68,68,68,68
Shares Change (YoY),-0.75%,0.25%,-0.33%,-2.45%,-1.06%,-1.74%,-4.27%,-0.34%,0.15%,0.14%,0.14%
EPS (Basic),3.67,3.65,2.71,1.17,2.35,2.52,2.33,2.22,1.56,1.60,1.72
EPS (Diluted),3.66,3.65,2.70,1.17,2.34,2.51,2.32,2.21,1.56,1.60,1.71
EPS Growth,10.82%,35.09%,130.99%,-50.06%,-6.77%,8.19%,4.98%,42.03%,-2.69%,-6.71%,-6.24%
Dividend Per Share,0.950,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920
Effective Tax Rate,17.21%,-,15.32%,-,15.99%,15.68%,13.43%,12.96%,31.56%,22.27%,23.38%
